,timeStamp,resourceId,value,subjectId
17,"10/15/2023, 03:22:11",13.1.85,1,lumi.158d0008f34cd6
16,"10/15/2023, 03:24:00",13.1.85,2,lumi.158d0008f34cd6
15,"10/15/2023, 03:24:22",13.1.85,1,lumi.158d0008f34cd6
14,"10/15/2023, 03:25:32",13.1.85,1,lumi.158d0008f34cd6
13,"10/15/2023, 22:38:24",13.1.85,2,lumi.158d0008f34cd6
12,"10/16/2023, 11:43:18",13.1.85,1,lumi.158d0008f34cd6
11,"10/16/2023, 11:48:33",13.1.85,1,lumi.158d0008f34cd6
10,"10/16/2023, 11:50:18",13.1.85,1,lumi.158d0008f34cd6
9,"10/16/2023, 12:11:00",13.1.85,1,lumi.158d0008f34cd6
8,"10/16/2023, 15:36:34",13.1.85,1,lumi.158d0008f34cd6
7,"10/16/2023, 16:12:58",13.1.85,1,lumi.158d0008f34cd6
6,"10/16/2023, 19:11:31",13.1.85,1,lumi.158d0008f34cd6
5,"10/16/2023, 21:57:11",13.1.85,2,lumi.158d0008f34cd6
4,"10/16/2023, 22:11:07",13.1.85,1,lumi.158d0008f34cd6
3,"10/16/2023, 22:12:01",13.1.85,2,lumi.158d0008f34cd6
2,"10/16/2023, 22:14:19",13.1.85,1,lumi.158d0008f34cd6
1,"10/16/2023, 22:27:46",13.1.85,1,lumi.158d0008f34cd6
0,"10/16/2023, 22:29:50",13.1.85,1,lumi.158d0008f34cd6
