,timeStamp,resourceId,value,subjectId
41,"10/25/2023, 10:52:43",13.1.85,1,lumi.158d0008f3467a
40,"10/25/2023, 10:52:45",13.1.85,2,lumi.158d0008f3467a
39,"10/25/2023, 10:54:11",13.1.85,1,lumi.158d0008f3467a
38,"10/25/2023, 10:54:30",13.1.85,2,lumi.158d0008f3467a
37,"10/25/2023, 10:55:10",13.1.85,1,lumi.158d0008f3467a
36,"10/25/2023, 10:56:08",13.1.85,1,lumi.158d0008f3467a
35,"10/25/2023, 10:57:07",13.1.85,1,lumi.158d0008f3467a
34,"10/25/2023, 10:58:05",13.1.85,1,lumi.158d0008f3467a
33,"10/25/2023, 10:59:03",13.1.85,1,lumi.158d0008f3467a
32,"10/25/2023, 10:59:50",13.1.85,2,lumi.158d0008f3467a
31,"10/25/2023, 11:01:53",13.1.85,2,lumi.158d0008f3467a
30,"10/25/2023, 11:01:54",13.1.85,1,lumi.158d0008f3467a
29,"10/25/2023, 11:01:57",13.1.85,3,lumi.158d0008f3467a
28,"10/25/2023, 11:09:34",13.1.85,1,lumi.158d0008f3467a
27,"10/25/2023, 11:12:27",13.1.85,1,lumi.158d0008f3467a
26,"10/25/2023, 11:20:11",13.1.85,1,lumi.158d0008f3467a
25,"10/25/2023, 11:23:21",13.1.85,1,lumi.158d0008f3467a
24,"10/25/2023, 11:24:04",13.1.85,2,lumi.158d0008f3467a
23,"10/25/2023, 11:25:06",13.1.85,1,lumi.158d0008f3467a
22,"10/25/2023, 11:25:06",13.1.85,3,lumi.158d0008f3467a
21,"10/25/2023, 11:25:47",13.1.85,2,lumi.158d0008f3467a
20,"10/25/2023, 11:26:07",13.1.85,1,lumi.158d0008f3467a
19,"10/25/2023, 11:46:51",13.1.85,1,lumi.158d0008f3467a
18,"10/25/2023, 13:29:57",13.1.85,1,lumi.158d0008f3467a
17,"10/25/2023, 13:35:30",13.1.85,1,lumi.158d0008f3467a
16,"10/25/2023, 19:51:07",13.1.85,1,lumi.158d0008f3467a
15,"10/25/2023, 20:18:41",13.1.85,1,lumi.158d0008f3467a
14,"10/25/2023, 20:19:40",13.1.85,1,lumi.158d0008f3467a
13,"10/25/2023, 20:19:55",13.1.85,2,lumi.158d0008f3467a
12,"10/25/2023, 20:20:57",13.1.85,1,lumi.158d0008f3467a
11,"10/25/2023, 20:21:55",13.1.85,2,lumi.158d0008f3467a
10,"10/25/2023, 20:21:56",13.1.85,1,lumi.158d0008f3467a
9,"10/25/2023, 20:22:57",13.1.85,1,lumi.158d0008f3467a
8,"10/25/2023, 20:23:55",13.1.85,1,lumi.158d0008f3467a
7,"10/25/2023, 20:24:57",13.1.85,1,lumi.158d0008f3467a
6,"10/25/2023, 20:25:28",13.1.85,2,lumi.158d0008f3467a
5,"10/25/2023, 20:26:29",13.1.85,1,lumi.158d0008f3467a
4,"10/25/2023, 20:27:01",13.1.85,2,lumi.158d0008f3467a
3,"10/25/2023, 20:31:09",13.1.85,2,lumi.158d0008f3467a
2,"10/25/2023, 20:31:20",13.1.85,1,lumi.158d0008f3467a
1,"10/25/2023, 20:33:08",13.1.85,1,lumi.158d0008f3467a
0,"10/25/2023, 20:33:18",13.1.85,2,lumi.158d0008f3467a
