,timeStamp,resourceId,value,subjectId
238,"10/29/2023, 00:30:10",0.3.85,101780,lumi.54ef4410004b18a1
237,"10/29/2023, 00:33:16",0.1.85,2477,lumi.54ef4410004b18a1
236,"10/29/2023, 00:33:16",0.2.85,4665,lumi.54ef4410004b18a1
235,"10/29/2023, 00:33:16",0.3.85,101700,lumi.54ef4410004b18a1
234,"10/29/2023, 01:20:53",0.3.85,101810,lumi.54ef4410004b18a1
233,"10/29/2023, 01:28:00",0.1.85,2479,lumi.54ef4410004b18a1
232,"10/29/2023, 01:28:00",0.2.85,4662,lumi.54ef4410004b18a1
231,"10/29/2023, 01:28:00",0.3.85,101800,lumi.54ef4410004b18a1
230,"10/29/2023, 02:22:44",0.1.85,2483,lumi.54ef4410004b18a1
229,"10/29/2023, 02:22:44",0.2.85,4606,lumi.54ef4410004b18a1
228,"10/29/2023, 02:22:44",0.3.85,101700,lumi.54ef4410004b18a1
227,"10/29/2023, 03:17:29",0.1.85,2471,lumi.54ef4410004b18a1
226,"10/29/2023, 03:17:29",0.2.85,4650,lumi.54ef4410004b18a1
225,"10/29/2023, 03:17:29",0.3.85,101800,lumi.54ef4410004b18a1
224,"10/29/2023, 04:12:13",0.1.85,2449,lumi.54ef4410004b18a1
223,"10/29/2023, 04:12:13",0.2.85,4554,lumi.54ef4410004b18a1
222,"10/29/2023, 04:12:13",0.3.85,101800,lumi.54ef4410004b18a1
221,"10/29/2023, 04:50:32",0.1.85,2432,lumi.54ef4410004b18a1
220,"10/29/2023, 05:06:57",0.1.85,2429,lumi.54ef4410004b18a1
219,"10/29/2023, 05:06:57",0.2.85,4502,lumi.54ef4410004b18a1
218,"10/29/2023, 05:06:57",0.3.85,101800,lumi.54ef4410004b18a1
217,"10/29/2023, 05:14:06",0.3.85,101840,lumi.54ef4410004b18a1
216,"10/29/2023, 06:01:41",0.1.85,2421,lumi.54ef4410004b18a1
215,"10/29/2023, 06:01:41",0.2.85,4426,lumi.54ef4410004b18a1
214,"10/29/2023, 06:01:41",0.3.85,101800,lumi.54ef4410004b18a1
213,"10/29/2023, 06:29:48",0.3.85,101870,lumi.54ef4410004b18a1
212,"10/29/2023, 06:56:26",0.1.85,2415,lumi.54ef4410004b18a1
211,"10/29/2023, 06:56:26",0.2.85,4404,lumi.54ef4410004b18a1
210,"10/29/2023, 06:56:26",0.3.85,101800,lumi.54ef4410004b18a1
209,"10/29/2023, 07:19:26",0.3.85,101900,lumi.54ef4410004b18a1
208,"10/29/2023, 07:45:31",0.3.85,101930,lumi.54ef4410004b18a1
207,"10/29/2023, 07:51:10",0.1.85,2414,lumi.54ef4410004b18a1
206,"10/29/2023, 07:51:10",0.2.85,4397,lumi.54ef4410004b18a1
205,"10/29/2023, 07:51:10",0.3.85,101900,lumi.54ef4410004b18a1
204,"10/29/2023, 08:07:04",0.3.85,101960,lumi.54ef4410004b18a1
203,"10/29/2023, 08:43:21",0.3.85,101990,lumi.54ef4410004b18a1
202,"10/29/2023, 08:45:54",0.1.85,2405,lumi.54ef4410004b18a1
201,"10/29/2023, 08:45:54",0.2.85,4424,lumi.54ef4410004b18a1
200,"10/29/2023, 08:45:54",0.3.85,101900,lumi.54ef4410004b18a1
199,"10/29/2023, 09:40:38",0.1.85,2416,lumi.54ef4410004b18a1
198,"10/29/2023, 09:40:38",0.2.85,4502,lumi.54ef4410004b18a1
197,"10/29/2023, 09:40:38",0.3.85,101900,lumi.54ef4410004b18a1
196,"10/29/2023, 10:35:23",0.1.85,2415,lumi.54ef4410004b18a1
195,"10/29/2023, 10:35:23",0.2.85,4547,lumi.54ef4410004b18a1
194,"10/29/2023, 10:35:23",0.3.85,101900,lumi.54ef4410004b18a1
193,"10/29/2023, 11:04:35",0.3.85,101960,lumi.54ef4410004b18a1
192,"10/29/2023, 11:07:52",0.2.85,4994,lumi.54ef4410004b18a1
191,"10/29/2023, 11:09:52",0.2.85,5849,lumi.54ef4410004b18a1
190,"10/29/2023, 11:11:09",0.2.85,6464,lumi.54ef4410004b18a1
189,"10/29/2023, 11:11:31",0.1.85,2483,lumi.54ef4410004b18a1
188,"10/29/2023, 11:12:47",0.2.85,5862,lumi.54ef4410004b18a1
187,"10/29/2023, 11:30:07",0.1.85,2491,lumi.54ef4410004b18a1
186,"10/29/2023, 11:30:07",0.2.85,6049,lumi.54ef4410004b18a1
185,"10/29/2023, 11:30:07",0.3.85,101900,lumi.54ef4410004b18a1
184,"10/29/2023, 11:39:05",0.3.85,101930,lumi.54ef4410004b18a1
183,"10/29/2023, 11:57:19",0.3.85,101900,lumi.54ef4410004b18a1
182,"10/29/2023, 12:21:56",0.3.85,101870,lumi.54ef4410004b18a1
181,"10/29/2023, 12:24:51",0.1.85,2493,lumi.54ef4410004b18a1
180,"10/29/2023, 12:24:51",0.2.85,6176,lumi.54ef4410004b18a1
179,"10/29/2023, 12:24:51",0.3.85,101800,lumi.54ef4410004b18a1
178,"10/29/2023, 12:40:23",0.3.85,101840,lumi.54ef4410004b18a1
177,"10/29/2023, 13:06:06",0.3.85,101810,lumi.54ef4410004b18a1
176,"10/29/2023, 13:19:36",0.1.85,2498,lumi.54ef4410004b18a1
175,"10/29/2023, 13:19:36",0.2.85,5970,lumi.54ef4410004b18a1
174,"10/29/2023, 13:19:36",0.3.85,101800,lumi.54ef4410004b18a1
173,"10/29/2023, 13:35:08",0.3.85,101780,lumi.54ef4410004b18a1
172,"10/29/2023, 14:02:07",0.3.85,101750,lumi.54ef4410004b18a1
171,"10/29/2023, 14:14:20",0.1.85,2521,lumi.54ef4410004b18a1
170,"10/29/2023, 14:14:20",0.2.85,5822,lumi.54ef4410004b18a1
169,"10/29/2023, 14:14:20",0.3.85,101700,lumi.54ef4410004b18a1
168,"10/29/2023, 14:32:58",0.1.85,2534,lumi.54ef4410004b18a1
167,"10/29/2023, 14:39:43",0.3.85,101720,lumi.54ef4410004b18a1
166,"10/29/2023, 15:09:05",0.1.85,2526,lumi.54ef4410004b18a1
165,"10/29/2023, 15:09:05",0.2.85,5324,lumi.54ef4410004b18a1
164,"10/29/2023, 15:09:05",0.3.85,101700,lumi.54ef4410004b18a1
163,"10/29/2023, 15:13:19",0.2.85,5259,lumi.54ef4410004b18a1
162,"10/29/2023, 15:34:17",0.2.85,5879,lumi.54ef4410004b18a1
161,"10/29/2023, 16:03:49",0.1.85,2495,lumi.54ef4410004b18a1
160,"10/29/2023, 16:03:49",0.2.85,6243,lumi.54ef4410004b18a1
159,"10/29/2023, 16:03:49",0.3.85,101700,lumi.54ef4410004b18a1
158,"10/29/2023, 16:12:37",0.1.85,2481,lumi.54ef4410004b18a1
157,"10/29/2023, 16:43:59",0.3.85,101750,lumi.54ef4410004b18a1
156,"10/29/2023, 16:50:54",0.2.85,6487,lumi.54ef4410004b18a1
155,"10/29/2023, 16:58:34",0.1.85,2466,lumi.54ef4410004b18a1
154,"10/29/2023, 16:58:34",0.2.85,6498,lumi.54ef4410004b18a1
153,"10/29/2023, 16:58:34",0.3.85,101700,lumi.54ef4410004b18a1
152,"10/29/2023, 17:35:15",0.3.85,101780,lumi.54ef4410004b18a1
151,"10/29/2023, 17:53:18",0.1.85,2465,lumi.54ef4410004b18a1
150,"10/29/2023, 17:53:18",0.2.85,6544,lumi.54ef4410004b18a1
149,"10/29/2023, 17:53:18",0.3.85,101800,lumi.54ef4410004b18a1
148,"10/29/2023, 17:54:15",0.3.85,101810,lumi.54ef4410004b18a1
147,"10/29/2023, 18:39:29",0.3.85,101840,lumi.54ef4410004b18a1
146,"10/29/2023, 18:43:08",0.1.85,2426,lumi.54ef4410004b18a1
145,"10/29/2023, 18:48:03",0.1.85,2435,lumi.54ef4410004b18a1
144,"10/29/2023, 18:48:03",0.2.85,6212,lumi.54ef4410004b18a1
143,"10/29/2023, 18:48:03",0.3.85,101800,lumi.54ef4410004b18a1
142,"10/29/2023, 19:42:47",0.1.85,2412,lumi.54ef4410004b18a1
141,"10/29/2023, 19:42:47",0.2.85,6159,lumi.54ef4410004b18a1
140,"10/29/2023, 19:42:47",0.3.85,101800,lumi.54ef4410004b18a1
139,"10/29/2023, 19:43:33",0.3.85,101870,lumi.54ef4410004b18a1
138,"10/29/2023, 20:21:51",0.3.85,101900,lumi.54ef4410004b18a1
137,"10/29/2023, 20:37:32",0.1.85,2398,lumi.54ef4410004b18a1
136,"10/29/2023, 20:37:32",0.2.85,6048,lumi.54ef4410004b18a1
135,"10/29/2023, 20:37:32",0.3.85,101800,lumi.54ef4410004b18a1
134,"10/29/2023, 21:12:24",0.3.85,101930,lumi.54ef4410004b18a1
133,"10/29/2023, 21:32:16",0.1.85,2383,lumi.54ef4410004b18a1
132,"10/29/2023, 21:32:16",0.2.85,5986,lumi.54ef4410004b18a1
131,"10/29/2023, 21:32:16",0.3.85,101900,lumi.54ef4410004b18a1
130,"10/29/2023, 21:47:48",0.1.85,2375,lumi.54ef4410004b18a1
129,"10/29/2023, 21:57:17",0.3.85,101960,lumi.54ef4410004b18a1
128,"10/29/2023, 22:27:01",0.1.85,2375,lumi.54ef4410004b18a1
127,"10/29/2023, 22:27:01",0.2.85,5928,lumi.54ef4410004b18a1
126,"10/29/2023, 22:27:01",0.3.85,101900,lumi.54ef4410004b18a1
125,"10/29/2023, 22:28:41",0.2.85,5885,lumi.54ef4410004b18a1
124,"10/29/2023, 22:36:21",0.3.85,101990,lumi.54ef4410004b18a1
123,"10/29/2023, 23:01:42",0.3.85,101960,lumi.54ef4410004b18a1
122,"10/29/2023, 23:21:45",0.1.85,2411,lumi.54ef4410004b18a1
121,"10/29/2023, 23:21:45",0.2.85,5978,lumi.54ef4410004b18a1
120,"10/29/2023, 23:21:45",0.3.85,101900,lumi.54ef4410004b18a1
119,"10/30/2023, 00:01:11",0.1.85,2426,lumi.54ef4410004b18a1
118,"10/30/2023, 00:16:30",0.1.85,2421,lumi.54ef4410004b18a1
117,"10/30/2023, 00:16:30",0.2.85,5867,lumi.54ef4410004b18a1
116,"10/30/2023, 00:16:30",0.3.85,101900,lumi.54ef4410004b18a1
115,"10/30/2023, 01:11:14",0.1.85,2405,lumi.54ef4410004b18a1
114,"10/30/2023, 01:11:14",0.2.85,5744,lumi.54ef4410004b18a1
113,"10/30/2023, 01:11:14",0.3.85,101900,lumi.54ef4410004b18a1
112,"10/30/2023, 01:34:37",0.3.85,101990,lumi.54ef4410004b18a1
111,"10/30/2023, 02:05:59",0.1.85,2407,lumi.54ef4410004b18a1
110,"10/30/2023, 02:05:59",0.2.85,5637,lumi.54ef4410004b18a1
109,"10/30/2023, 02:05:59",0.3.85,101900,lumi.54ef4410004b18a1
108,"10/30/2023, 02:49:47",0.3.85,101960,lumi.54ef4410004b18a1
107,"10/30/2023, 03:00:43",0.1.85,2436,lumi.54ef4410004b18a1
106,"10/30/2023, 03:00:43",0.2.85,6057,lumi.54ef4410004b18a1
105,"10/30/2023, 03:00:43",0.3.85,101900,lumi.54ef4410004b18a1
104,"10/30/2023, 03:07:19",0.2.85,6492,lumi.54ef4410004b18a1
103,"10/30/2023, 03:30:39",0.3.85,101930,lumi.54ef4410004b18a1
102,"10/30/2023, 03:55:28",0.1.85,2436,lumi.54ef4410004b18a1
101,"10/30/2023, 03:55:28",0.2.85,6290,lumi.54ef4410004b18a1
100,"10/30/2023, 03:55:28",0.3.85,101900,lumi.54ef4410004b18a1
99,"10/30/2023, 04:19:45",0.3.85,101960,lumi.54ef4410004b18a1
98,"10/30/2023, 04:50:12",0.1.85,2412,lumi.54ef4410004b18a1
97,"10/30/2023, 04:50:12",0.2.85,6297,lumi.54ef4410004b18a1
96,"10/30/2023, 04:50:12",0.3.85,101900,lumi.54ef4410004b18a1
