,timeStamp,resourceId,value,subjectId
206,"11/20/2023, 04:00:29",0.12.85,7.95,lumi.54ef44100062a003
205,"11/20/2023, 04:00:29",0.13.85,21234.20,lumi.54ef44100062a003
204,"11/20/2023, 04:07:21",0.12.85,7.95,lumi.54ef44100062a003
203,"11/20/2023, 04:07:21",0.13.85,21235.12,lumi.54ef44100062a003
202,"11/20/2023, 04:12:37",0.12.85,8.34,lumi.54ef44100062a003
201,"11/20/2023, 04:12:37",0.13.85,21235.82,lumi.54ef44100062a003
200,"11/20/2023, 04:18:43",0.12.85,8.21,lumi.54ef44100062a003
199,"11/20/2023, 04:18:43",0.13.85,21236.63,lumi.54ef44100062a003
198,"11/20/2023, 04:23:57",0.12.85,8.08,lumi.54ef44100062a003
197,"11/20/2023, 04:23:57",0.13.85,21237.33,lumi.54ef44100062a003
196,"11/20/2023, 04:29:41",0.12.85,8.08,lumi.54ef44100062a003
195,"11/20/2023, 04:29:41",0.13.85,21238.10,lumi.54ef44100062a003
194,"11/20/2023, 04:36:42",0.12.85,7.95,lumi.54ef44100062a003
193,"11/20/2023, 04:36:42",0.13.85,21239.03,lumi.54ef44100062a003
192,"11/20/2023, 04:42:55",0.12.85,8.08,lumi.54ef44100062a003
191,"11/20/2023, 04:42:55",0.13.85,21239.86,lumi.54ef44100062a003
190,"11/20/2023, 04:48:34",0.12.85,7.95,lumi.54ef44100062a003
189,"11/20/2023, 04:48:34",0.13.85,21240.62,lumi.54ef44100062a003
188,"11/20/2023, 04:56:42",0.12.85,8.21,lumi.54ef44100062a003
187,"11/20/2023, 04:56:42",0.13.85,21241.71,lumi.54ef44100062a003
186,"11/20/2023, 05:03:09",0.12.85,8.08,lumi.54ef44100062a003
185,"11/20/2023, 05:03:09",0.13.85,21242.56,lumi.54ef44100062a003
184,"11/20/2023, 05:10:17",0.12.85,8.21,lumi.54ef44100062a003
183,"11/20/2023, 05:10:17",0.13.85,21243.52,lumi.54ef44100062a003
182,"11/20/2023, 05:15:32",0.12.85,8.21,lumi.54ef44100062a003
181,"11/20/2023, 05:15:32",0.13.85,21244.22,lumi.54ef44100062a003
180,"11/20/2023, 05:20:45",0.12.85,7.95,lumi.54ef44100062a003
179,"11/20/2023, 05:20:45",0.13.85,21244.91,lumi.54ef44100062a003
178,"11/20/2023, 05:27:05",0.12.85,8.21,lumi.54ef44100062a003
177,"11/20/2023, 05:27:05",0.13.85,21245.76,lumi.54ef44100062a003
176,"11/20/2023, 05:33:56",0.13.85,21246.68,lumi.54ef44100062a003
175,"11/20/2023, 05:39:55",0.13.85,21247.47,lumi.54ef44100062a003
174,"11/20/2023, 05:45:37",0.12.85,8.21,lumi.54ef44100062a003
173,"11/20/2023, 05:45:37",0.13.85,21248.24,lumi.54ef44100062a003
172,"11/20/2023, 05:51:03",0.12.85,7.83,lumi.54ef44100062a003
171,"11/20/2023, 05:51:03",0.13.85,21248.96,lumi.54ef44100062a003
170,"11/20/2023, 05:56:56",0.12.85,8.21,lumi.54ef44100062a003
169,"11/20/2023, 05:56:56",0.13.85,21249.74,lumi.54ef44100062a003
168,"11/20/2023, 06:02:34",0.12.85,8.08,lumi.54ef44100062a003
167,"11/20/2023, 06:02:34",0.13.85,21250.49,lumi.54ef44100062a003
166,"11/20/2023, 06:07:44",0.12.85,8.08,lumi.54ef44100062a003
165,"11/20/2023, 06:07:44",0.13.85,21251.18,lumi.54ef44100062a003
164,"11/20/2023, 06:13:22",0.12.85,7.95,lumi.54ef44100062a003
163,"11/20/2023, 06:13:22",0.13.85,21251.94,lumi.54ef44100062a003
162,"11/20/2023, 06:20:35",0.12.85,8.08,lumi.54ef44100062a003
161,"11/20/2023, 06:20:35",0.13.85,21252.90,lumi.54ef44100062a003
160,"11/20/2023, 06:26:27",0.12.85,8.21,lumi.54ef44100062a003
159,"11/20/2023, 06:26:27",0.13.85,21253.68,lumi.54ef44100062a003
158,"11/20/2023, 06:33:43",0.12.85,8.21,lumi.54ef44100062a003
157,"11/20/2023, 06:33:43",0.13.85,21254.65,lumi.54ef44100062a003
156,"11/20/2023, 06:40:49",0.12.85,7.95,lumi.54ef44100062a003
155,"11/20/2023, 06:40:49",0.13.85,21255.60,lumi.54ef44100062a003
154,"11/20/2023, 06:46:23",0.12.85,8.21,lumi.54ef44100062a003
153,"11/20/2023, 06:46:23",0.13.85,21256.34,lumi.54ef44100062a003
152,"11/20/2023, 06:52:07",0.12.85,8.08,lumi.54ef44100062a003
151,"11/20/2023, 06:52:07",0.13.85,21257.11,lumi.54ef44100062a003
150,"11/20/2023, 06:59:13",0.12.85,8.34,lumi.54ef44100062a003
149,"11/20/2023, 06:59:13",0.13.85,21258.05,lumi.54ef44100062a003
148,"11/20/2023, 07:04:18",0.12.85,8.08,lumi.54ef44100062a003
147,"11/20/2023, 07:04:18",0.13.85,21258.73,lumi.54ef44100062a003
146,"11/20/2023, 07:10:48",0.12.85,7.95,lumi.54ef44100062a003
145,"11/20/2023, 07:10:48",0.13.85,21259.60,lumi.54ef44100062a003
144,"11/20/2023, 07:18:20",0.12.85,8.21,lumi.54ef44100062a003
143,"11/20/2023, 07:18:20",0.13.85,21260.61,lumi.54ef44100062a003
142,"11/20/2023, 07:24:12",0.12.85,8.21,lumi.54ef44100062a003
141,"11/20/2023, 07:24:12",0.13.85,21261.39,lumi.54ef44100062a003
140,"11/20/2023, 07:30:40",0.12.85,7.95,lumi.54ef44100062a003
139,"11/20/2023, 07:30:40",0.13.85,21262.25,lumi.54ef44100062a003
138,"11/20/2023, 07:37:00",0.12.85,8.21,lumi.54ef44100062a003
137,"11/20/2023, 07:37:00",0.13.85,21263.10,lumi.54ef44100062a003
136,"11/20/2023, 07:42:37",0.12.85,7.95,lumi.54ef44100062a003
135,"11/20/2023, 07:42:37",0.13.85,21263.85,lumi.54ef44100062a003
134,"11/20/2023, 07:47:50",0.12.85,8.21,lumi.54ef44100062a003
133,"11/20/2023, 07:47:50",0.13.85,21264.54,lumi.54ef44100062a003
132,"11/20/2023, 07:54:51",0.13.85,21265.48,lumi.54ef44100062a003
131,"11/20/2023, 08:02:58",0.12.85,8.21,lumi.54ef44100062a003
