,timeStamp,resourceId,value,subjectId
11,"11/26/2023, 10:40:09",3.1.85,0,lumi.54ef4410003fe82c
10,"11/26/2023, 10:40:09",3.1.85,1,lumi.54ef4410003fe82c
9,"11/26/2023, 10:40:55",3.1.85,0,lumi.54ef4410003fe82c
8,"11/26/2023, 10:40:55",3.1.85,1,lumi.54ef4410003fe82c
7,"11/26/2023, 10:40:57",3.1.85,0,lumi.54ef4410003fe82c
6,"11/26/2023, 10:40:58",3.1.85,1,lumi.54ef4410003fe82c
5,"11/26/2023, 10:40:59",3.1.85,0,lumi.54ef4410003fe82c
4,"11/26/2023, 10:42:07",3.1.85,1,lumi.54ef4410003fe82c
3,"11/26/2023, 18:02:36",3.1.85,0,lumi.54ef4410003fe82c
2,"11/26/2023, 18:02:37",3.1.85,1,lumi.54ef4410003fe82c
1,"11/26/2023, 18:02:37",3.1.85,0,lumi.54ef4410003fe82c
0,"11/26/2023, 18:02:37",3.1.85,1,lumi.54ef4410003fe82c
