,timeStamp,resourceId,value,subjectId
19,"11/30/2023, 01:27:25",0.3.85,0,lumi.54ef44100065cf48
18,"11/30/2023, 01:51:40",0.3.85,178,lumi.54ef44100065cf48
17,"11/30/2023, 02:03:40",0.3.85,0,lumi.54ef44100065cf48
16,"11/30/2023, 03:16:37",0.3.85,0,lumi.54ef44100065cf48
15,"11/30/2023, 04:11:14",0.3.85,0,lumi.54ef44100065cf48
14,"11/30/2023, 06:00:26",0.3.85,0,lumi.54ef44100065cf48
13,"11/30/2023, 06:55:02",0.3.85,0,lumi.54ef44100065cf48
12,"11/30/2023, 07:24:50",0.3.85,18,lumi.54ef44100065cf48
11,"11/30/2023, 07:24:55",0.3.85,1,lumi.54ef44100065cf48
10,"11/30/2023, 07:49:38",0.3.85,7,lumi.54ef44100065cf48
9,"11/30/2023, 07:53:23",0.3.85,8,lumi.54ef44100065cf48
8,"11/30/2023, 08:20:21",0.3.85,15,lumi.54ef44100065cf48
7,"11/30/2023, 08:44:14",0.3.85,22,lumi.54ef44100065cf48
6,"11/30/2023, 08:44:26",0.3.85,22,lumi.54ef44100065cf48
5,"11/30/2023, 09:28:25",0.3.85,29,lumi.54ef44100065cf48
4,"11/30/2023, 09:37:46",0.3.85,36,lumi.54ef44100065cf48
3,"11/30/2023, 09:38:50",0.3.85,37,lumi.54ef44100065cf48
2,"11/30/2023, 09:57:14",0.3.85,43,lumi.54ef44100065cf48
1,"11/30/2023, 10:33:27",0.3.85,49,lumi.54ef44100065cf48
0,"11/30/2023, 11:29:24",0.3.85,51,lumi.54ef44100065cf48
