,timeStamp,resourceId,value,subjectId
299,"12/02/2023, 01:42:41",3.1.85,1,lumi.54ef44100051b0d7
298,"12/02/2023, 01:43:45",3.1.85,1,lumi.54ef44100051b0d7
297,"12/02/2023, 01:44:58",3.1.85,1,lumi.54ef44100051b0d7
296,"12/02/2023, 01:45:58",3.1.85,1,lumi.54ef44100051b0d7
295,"12/02/2023, 01:46:57",3.1.85,1,lumi.54ef44100051b0d7
294,"12/02/2023, 01:47:55",3.1.85,1,lumi.54ef44100051b0d7
293,"12/02/2023, 01:49:07",3.1.85,1,lumi.54ef44100051b0d7
292,"12/02/2023, 01:50:07",3.1.85,1,lumi.54ef44100051b0d7
291,"12/02/2023, 01:51:21",3.1.85,1,lumi.54ef44100051b0d7
290,"12/02/2023, 01:52:20",3.1.85,1,lumi.54ef44100051b0d7
289,"12/02/2023, 01:53:24",3.1.85,1,lumi.54ef44100051b0d7
288,"12/02/2023, 01:54:28",3.1.85,1,lumi.54ef44100051b0d7
287,"12/02/2023, 01:55:28",3.1.85,1,lumi.54ef44100051b0d7
286,"12/02/2023, 01:56:38",3.1.85,1,lumi.54ef44100051b0d7
285,"12/02/2023, 01:58:03",3.1.85,1,lumi.54ef44100051b0d7
284,"12/02/2023, 01:59:41",3.1.85,1,lumi.54ef44100051b0d7
283,"12/02/2023, 02:01:02",3.1.85,1,lumi.54ef44100051b0d7
282,"12/02/2023, 02:02:02",3.1.85,1,lumi.54ef44100051b0d7
281,"12/02/2023, 02:03:01",3.1.85,1,lumi.54ef44100051b0d7
280,"12/02/2023, 02:04:15",3.1.85,1,lumi.54ef44100051b0d7
279,"12/02/2023, 02:05:21",3.1.85,1,lumi.54ef44100051b0d7
278,"12/02/2023, 02:06:20",3.1.85,1,lumi.54ef44100051b0d7
277,"12/02/2023, 02:07:20",3.1.85,1,lumi.54ef44100051b0d7
276,"12/02/2023, 02:08:24",3.1.85,1,lumi.54ef44100051b0d7
275,"12/02/2023, 02:09:48",3.1.85,1,lumi.54ef44100051b0d7
274,"12/02/2023, 02:10:53",3.1.85,1,lumi.54ef44100051b0d7
273,"12/02/2023, 02:12:06",3.1.85,1,lumi.54ef44100051b0d7
272,"12/02/2023, 02:13:08",3.1.85,1,lumi.54ef44100051b0d7
271,"12/02/2023, 02:14:08",3.1.85,1,lumi.54ef44100051b0d7
270,"12/02/2023, 02:15:06",3.1.85,1,lumi.54ef44100051b0d7
269,"12/02/2023, 02:16:05",3.1.85,1,lumi.54ef44100051b0d7
268,"12/02/2023, 02:17:04",3.1.85,1,lumi.54ef44100051b0d7
267,"12/02/2023, 02:18:19",3.1.85,1,lumi.54ef44100051b0d7
266,"12/02/2023, 02:19:54",3.1.85,1,lumi.54ef44100051b0d7
265,"12/02/2023, 02:20:57",3.1.85,1,lumi.54ef44100051b0d7
264,"12/02/2023, 02:21:59",3.1.85,1,lumi.54ef44100051b0d7
263,"12/02/2023, 02:22:58",3.1.85,1,lumi.54ef44100051b0d7
262,"12/02/2023, 02:25:29",3.1.85,1,lumi.54ef44100051b0d7
261,"12/02/2023, 02:30:40",3.1.85,1,lumi.54ef44100051b0d7
260,"12/02/2023, 02:31:38",3.1.85,1,lumi.54ef44100051b0d7
259,"12/02/2023, 02:32:36",3.1.85,1,lumi.54ef44100051b0d7
258,"12/02/2023, 02:33:36",3.1.85,1,lumi.54ef44100051b0d7
257,"12/02/2023, 02:34:35",3.1.85,1,lumi.54ef44100051b0d7
256,"12/02/2023, 02:35:39",3.1.85,1,lumi.54ef44100051b0d7
255,"12/02/2023, 02:36:45",3.1.85,1,lumi.54ef44100051b0d7
254,"12/02/2023, 02:37:51",3.1.85,1,lumi.54ef44100051b0d7
253,"12/02/2023, 02:39:00",3.1.85,1,lumi.54ef44100051b0d7
252,"12/02/2023, 02:40:13",3.1.85,1,lumi.54ef44100051b0d7
251,"12/02/2023, 02:41:16",3.1.85,1,lumi.54ef44100051b0d7
250,"12/02/2023, 02:42:15",3.1.85,1,lumi.54ef44100051b0d7
249,"12/02/2023, 02:43:23",3.1.85,1,lumi.54ef44100051b0d7
248,"12/02/2023, 02:44:32",3.1.85,1,lumi.54ef44100051b0d7
247,"12/02/2023, 02:45:32",3.1.85,1,lumi.54ef44100051b0d7
246,"12/02/2023, 02:46:56",3.1.85,1,lumi.54ef44100051b0d7
245,"12/02/2023, 02:48:09",3.1.85,1,lumi.54ef44100051b0d7
244,"12/02/2023, 02:49:15",3.1.85,1,lumi.54ef44100051b0d7
243,"12/02/2023, 02:50:13",3.1.85,1,lumi.54ef44100051b0d7
242,"12/02/2023, 03:56:37",3.1.85,1,lumi.54ef44100051b0d7
241,"12/02/2023, 05:11:44",3.1.85,1,lumi.54ef44100051b0d7
240,"12/02/2023, 05:18:25",3.1.85,1,lumi.54ef44100051b0d7
239,"12/02/2023, 05:38:08",3.1.85,1,lumi.54ef44100051b0d7
238,"12/02/2023, 06:47:59",3.1.85,1,lumi.54ef44100051b0d7
237,"12/02/2023, 07:15:58",3.1.85,1,lumi.54ef44100051b0d7
236,"12/02/2023, 07:29:16",3.1.85,1,lumi.54ef44100051b0d7
235,"12/02/2023, 07:36:57",3.1.85,1,lumi.54ef44100051b0d7
234,"12/02/2023, 07:40:17",3.1.85,1,lumi.54ef44100051b0d7
233,"12/02/2023, 08:25:50",3.1.85,1,lumi.54ef44100051b0d7
232,"12/02/2023, 08:30:16",3.1.85,1,lumi.54ef44100051b0d7
231,"12/02/2023, 08:34:08",3.1.85,1,lumi.54ef44100051b0d7
230,"12/02/2023, 09:05:53",3.1.85,1,lumi.54ef44100051b0d7
229,"12/02/2023, 09:49:10",3.1.85,1,lumi.54ef44100051b0d7
228,"12/02/2023, 09:52:10",3.1.85,1,lumi.54ef44100051b0d7
227,"12/02/2023, 09:54:56",3.1.85,1,lumi.54ef44100051b0d7
226,"12/02/2023, 09:57:08",3.1.85,1,lumi.54ef44100051b0d7
225,"12/02/2023, 10:26:05",3.1.85,1,lumi.54ef44100051b0d7
224,"12/02/2023, 10:49:03",3.1.85,1,lumi.54ef44100051b0d7
223,"12/02/2023, 10:51:47",3.1.85,1,lumi.54ef44100051b0d7
222,"12/02/2023, 10:53:40",3.1.85,1,lumi.54ef44100051b0d7
221,"12/02/2023, 10:58:32",3.1.85,1,lumi.54ef44100051b0d7
220,"12/02/2023, 10:59:53",3.1.85,1,lumi.54ef44100051b0d7
219,"12/02/2023, 11:04:05",3.1.85,1,lumi.54ef44100051b0d7
218,"12/02/2023, 11:05:36",3.1.85,1,lumi.54ef44100051b0d7
217,"12/02/2023, 11:16:15",3.1.85,1,lumi.54ef44100051b0d7
216,"12/02/2023, 11:19:05",3.1.85,1,lumi.54ef44100051b0d7
215,"12/02/2023, 11:22:32",3.1.85,1,lumi.54ef44100051b0d7
214,"12/02/2023, 11:26:52",3.1.85,1,lumi.54ef44100051b0d7
213,"12/02/2023, 11:27:57",3.1.85,1,lumi.54ef44100051b0d7
212,"12/02/2023, 11:36:46",3.1.85,1,lumi.54ef44100051b0d7
211,"12/02/2023, 11:38:55",3.1.85,1,lumi.54ef44100051b0d7
210,"12/02/2023, 11:42:29",3.1.85,1,lumi.54ef44100051b0d7
209,"12/02/2023, 11:43:27",3.1.85,1,lumi.54ef44100051b0d7
208,"12/02/2023, 11:44:42",3.1.85,1,lumi.54ef44100051b0d7
207,"12/02/2023, 11:45:40",3.1.85,1,lumi.54ef44100051b0d7
206,"12/02/2023, 11:46:44",3.1.85,1,lumi.54ef44100051b0d7
205,"12/02/2023, 22:56:58",3.1.85,1,lumi.54ef44100051b0d7
204,"12/02/2023, 22:57:58",3.1.85,1,lumi.54ef44100051b0d7
203,"12/02/2023, 23:08:09",3.1.85,1,lumi.54ef44100051b0d7
202,"12/02/2023, 23:09:38",3.1.85,1,lumi.54ef44100051b0d7
201,"12/02/2023, 23:11:01",3.1.85,1,lumi.54ef44100051b0d7
200,"12/02/2023, 23:12:51",3.1.85,1,lumi.54ef44100051b0d7
199,"12/02/2023, 23:13:52",3.1.85,1,lumi.54ef44100051b0d7
198,"12/02/2023, 23:15:07",3.1.85,1,lumi.54ef44100051b0d7
197,"12/02/2023, 23:16:26",3.1.85,1,lumi.54ef44100051b0d7
196,"12/02/2023, 23:17:29",3.1.85,1,lumi.54ef44100051b0d7
195,"12/02/2023, 23:18:32",3.1.85,1,lumi.54ef44100051b0d7
194,"12/02/2023, 23:19:30",3.1.85,1,lumi.54ef44100051b0d7
193,"12/02/2023, 23:20:29",3.1.85,1,lumi.54ef44100051b0d7
192,"12/02/2023, 23:21:27",3.1.85,1,lumi.54ef44100051b0d7
191,"12/02/2023, 23:22:25",3.1.85,1,lumi.54ef44100051b0d7
190,"12/02/2023, 23:23:23",3.1.85,1,lumi.54ef44100051b0d7
189,"12/02/2023, 23:24:21",3.1.85,1,lumi.54ef44100051b0d7
188,"12/02/2023, 23:25:21",3.1.85,1,lumi.54ef44100051b0d7
187,"12/02/2023, 23:26:19",3.1.85,1,lumi.54ef44100051b0d7
186,"12/02/2023, 23:27:27",3.1.85,1,lumi.54ef44100051b0d7
185,"12/02/2023, 23:28:36",3.1.85,1,lumi.54ef44100051b0d7
184,"12/02/2023, 23:41:22",3.1.85,1,lumi.54ef44100051b0d7
183,"12/02/2023, 23:42:22",3.1.85,1,lumi.54ef44100051b0d7
182,"12/02/2023, 23:43:29",3.1.85,1,lumi.54ef44100051b0d7
181,"12/03/2023, 00:06:55",3.1.85,1,lumi.54ef44100051b0d7
180,"12/03/2023, 00:20:59",3.1.85,1,lumi.54ef44100051b0d7
179,"12/03/2023, 00:31:03",3.1.85,1,lumi.54ef44100051b0d7
178,"12/03/2023, 00:36:42",3.1.85,1,lumi.54ef44100051b0d7
177,"12/03/2023, 00:41:52",3.1.85,1,lumi.54ef44100051b0d7
176,"12/03/2023, 00:43:42",3.1.85,1,lumi.54ef44100051b0d7
175,"12/03/2023, 00:47:04",3.1.85,1,lumi.54ef44100051b0d7
174,"12/03/2023, 00:48:39",3.1.85,1,lumi.54ef44100051b0d7
173,"12/03/2023, 00:50:03",3.1.85,1,lumi.54ef44100051b0d7
172,"12/03/2023, 00:51:51",3.1.85,1,lumi.54ef44100051b0d7
171,"12/03/2023, 00:53:32",3.1.85,1,lumi.54ef44100051b0d7
170,"12/03/2023, 00:55:05",3.1.85,1,lumi.54ef44100051b0d7
169,"12/03/2023, 00:56:06",3.1.85,1,lumi.54ef44100051b0d7
168,"12/03/2023, 00:58:08",3.1.85,1,lumi.54ef44100051b0d7
167,"12/03/2023, 00:59:12",3.1.85,1,lumi.54ef44100051b0d7
166,"12/03/2023, 01:03:38",3.1.85,1,lumi.54ef44100051b0d7
165,"12/03/2023, 01:05:41",3.1.85,1,lumi.54ef44100051b0d7
164,"12/03/2023, 01:07:57",3.1.85,1,lumi.54ef44100051b0d7
163,"12/03/2023, 01:12:51",3.1.85,1,lumi.54ef44100051b0d7
162,"12/03/2023, 01:21:20",3.1.85,1,lumi.54ef44100051b0d7
161,"12/03/2023, 01:29:17",3.1.85,1,lumi.54ef44100051b0d7
160,"12/03/2023, 01:30:50",3.1.85,1,lumi.54ef44100051b0d7
159,"12/03/2023, 01:33:14",3.1.85,1,lumi.54ef44100051b0d7
158,"12/03/2023, 01:36:04",3.1.85,1,lumi.54ef44100051b0d7
157,"12/03/2023, 01:37:55",3.1.85,1,lumi.54ef44100051b0d7
156,"12/03/2023, 01:40:52",3.1.85,1,lumi.54ef44100051b0d7
155,"12/03/2023, 01:44:37",3.1.85,1,lumi.54ef44100051b0d7
154,"12/03/2023, 01:45:41",3.1.85,1,lumi.54ef44100051b0d7
153,"12/03/2023, 01:47:37",3.1.85,1,lumi.54ef44100051b0d7
152,"12/03/2023, 01:49:40",3.1.85,1,lumi.54ef44100051b0d7
151,"12/03/2023, 01:51:04",3.1.85,1,lumi.54ef44100051b0d7
150,"12/03/2023, 01:52:11",3.1.85,1,lumi.54ef44100051b0d7
149,"12/03/2023, 01:53:17",3.1.85,1,lumi.54ef44100051b0d7
148,"12/03/2023, 01:54:46",3.1.85,1,lumi.54ef44100051b0d7
147,"12/03/2023, 01:56:00",3.1.85,1,lumi.54ef44100051b0d7
146,"12/03/2023, 01:58:24",3.1.85,1,lumi.54ef44100051b0d7
145,"12/03/2023, 02:00:08",3.1.85,1,lumi.54ef44100051b0d7
144,"12/03/2023, 02:02:14",3.1.85,1,lumi.54ef44100051b0d7
143,"12/03/2023, 02:09:39",3.1.85,1,lumi.54ef44100051b0d7
142,"12/03/2023, 02:10:45",3.1.85,1,lumi.54ef44100051b0d7
141,"12/03/2023, 02:25:27",3.1.85,1,lumi.54ef44100051b0d7
140,"12/03/2023, 02:28:20",3.1.85,1,lumi.54ef44100051b0d7
139,"12/03/2023, 02:30:08",3.1.85,1,lumi.54ef44100051b0d7
138,"12/03/2023, 02:31:37",3.1.85,1,lumi.54ef44100051b0d7
137,"12/03/2023, 02:34:42",3.1.85,1,lumi.54ef44100051b0d7
136,"12/03/2023, 02:37:29",3.1.85,1,lumi.54ef44100051b0d7
135,"12/03/2023, 02:38:53",3.1.85,1,lumi.54ef44100051b0d7
134,"12/03/2023, 02:40:53",3.1.85,1,lumi.54ef44100051b0d7
133,"12/03/2023, 02:43:49",3.1.85,1,lumi.54ef44100051b0d7
132,"12/03/2023, 02:45:31",3.1.85,1,lumi.54ef44100051b0d7
131,"12/03/2023, 02:51:59",3.1.85,1,lumi.54ef44100051b0d7
130,"12/03/2023, 02:53:26",3.1.85,1,lumi.54ef44100051b0d7
129,"12/03/2023, 02:58:09",3.1.85,1,lumi.54ef44100051b0d7
128,"12/03/2023, 02:59:10",3.1.85,1,lumi.54ef44100051b0d7
127,"12/03/2023, 03:15:12",3.1.85,1,lumi.54ef44100051b0d7
126,"12/03/2023, 03:39:47",3.1.85,1,lumi.54ef44100051b0d7
125,"12/03/2023, 03:41:06",3.1.85,1,lumi.54ef44100051b0d7
