,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
86,,0.3.85,"05/18/2023, 02:30:00",0.0,lumi.54ef44100065d666,3,"05/18/2023, 02:00:00"
85,"05/18/2023, 02:28:42",0.3.85,"05/18/2023, 02:30:00",0.000000,lumi.54ef44100065d666,2,"05/18/2023, 02:00:00"
84,"05/18/2023, 02:28:42",0.3.85,"05/18/2023, 02:30:00",0.000000,lumi.54ef44100065d666,1,"05/18/2023, 02:00:00"
83,,0.3.85,"05/18/2023, 05:30:00",0.0,lumi.54ef44100065d666,3,"05/18/2023, 05:00:00"
82,"05/18/2023, 05:12:31",0.3.85,"05/18/2023, 05:30:00",0.000000,lumi.54ef44100065d666,2,"05/18/2023, 05:00:00"
81,"05/18/2023, 05:12:31",0.3.85,"05/18/2023, 05:30:00",0.000000,lumi.54ef44100065d666,1,"05/18/2023, 05:00:00"
80,,0.3.85,"05/18/2023, 08:00:00",0.0,lumi.54ef44100065d666,3,"05/18/2023, 07:30:00"
79,"05/18/2023, 07:56:20",0.3.85,"05/18/2023, 08:00:00",0.000000,lumi.54ef44100065d666,2,"05/18/2023, 07:30:00"
78,"05/18/2023, 07:56:20",0.3.85,"05/18/2023, 08:00:00",0.000000,lumi.54ef44100065d666,1,"05/18/2023, 07:30:00"
77,,0.3.85,"05/18/2023, 11:00:00",0.0,lumi.54ef44100065d666,3,"05/18/2023, 10:30:00"
76,"05/18/2023, 10:40:09",0.3.85,"05/18/2023, 11:00:00",0.000000,lumi.54ef44100065d666,2,"05/18/2023, 10:30:00"
75,"05/18/2023, 10:40:09",0.3.85,"05/18/2023, 11:00:00",0.000000,lumi.54ef44100065d666,1,"05/18/2023, 10:30:00"
74,,0.3.85,"05/18/2023, 13:30:00",0.0,lumi.54ef44100065d666,3,"05/18/2023, 13:00:00"
73,"05/18/2023, 13:23:59",0.3.85,"05/18/2023, 13:30:00",0.000000,lumi.54ef44100065d666,2,"05/18/2023, 13:00:00"
72,"05/18/2023, 13:23:59",0.3.85,"05/18/2023, 13:30:00",0.000000,lumi.54ef44100065d666,1,"05/18/2023, 13:00:00"
71,,0.3.85,"05/18/2023, 16:30:00",0.0,lumi.54ef44100065d666,3,"05/18/2023, 16:00:00"
70,"05/18/2023, 16:07:49",0.3.85,"05/18/2023, 16:30:00",0.000000,lumi.54ef44100065d666,2,"05/18/2023, 16:00:00"
69,"05/18/2023, 16:07:49",0.3.85,"05/18/2023, 16:30:00",0.000000,lumi.54ef44100065d666,1,"05/18/2023, 16:00:00"
68,,0.3.85,"05/18/2023, 19:00:00",0.0,lumi.54ef44100065d666,3,"05/18/2023, 18:30:00"
67,"05/18/2023, 18:51:38",0.3.85,"05/18/2023, 19:00:00",0.000000,lumi.54ef44100065d666,2,"05/18/2023, 18:30:00"
66,"05/18/2023, 18:51:38",0.3.85,"05/18/2023, 19:00:00",0.000000,lumi.54ef44100065d666,1,"05/18/2023, 18:30:00"
65,,0.3.85,"05/18/2023, 22:00:00",0.0,lumi.54ef44100065d666,3,"05/18/2023, 21:30:00"
64,"05/18/2023, 21:35:26",0.3.85,"05/18/2023, 22:00:00",0.000000,lumi.54ef44100065d666,2,"05/18/2023, 21:30:00"
63,"05/18/2023, 21:35:26",0.3.85,"05/18/2023, 22:00:00",0.000000,lumi.54ef44100065d666,1,"05/18/2023, 21:30:00"
62,,0.3.85,"05/18/2023, 23:30:00",0.0,lumi.54ef44100065d666,3,"05/18/2023, 23:00:00"
