,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
275,,0.1.85,"05/26/2023, 00:30:00",2388.0,lumi.54ef4410004b0b21,3,"05/26/2023, 00:00:00"
274,,0.3.85,"05/26/2023, 00:30:00",101456.666667,lumi.54ef4410004b0b21,3,"05/26/2023, 00:00:00"
273,,0.2.85,"05/26/2023, 00:30:00",7279.0,lumi.54ef4410004b0b21,3,"05/26/2023, 00:00:00"
272,"05/26/2023, 00:21:14",0.3.85,"05/26/2023, 00:30:00",101500.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 00:00:00"
271,"05/26/2023, 00:19:01",0.1.85,"05/26/2023, 00:30:00",2388.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 00:00:00"
270,"05/26/2023, 00:19:01",0.2.85,"05/26/2023, 00:30:00",7279.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 00:00:00"
269,"05/26/2023, 00:19:01",0.3.85,"05/26/2023, 00:30:00",101400.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 00:00:00"
268,"05/26/2023, 00:19:01",0.1.85,"05/26/2023, 00:30:00",2388.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 00:00:00"
267,"05/26/2023, 00:19:01",0.2.85,"05/26/2023, 00:30:00",7279.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 00:00:00"
266,,0.3.85,"05/26/2023, 01:00:00",101500.0,lumi.54ef4410004b0b21,3,"05/26/2023, 00:30:00"
265,"05/26/2023, 00:42:59",0.3.85,"05/26/2023, 01:00:00",101500.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 00:30:00"
264,"05/26/2023, 00:42:59",0.3.85,"05/26/2023, 01:00:00",101500.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 00:30:00"
263,,0.1.85,"05/26/2023, 01:30:00",2390.0,lumi.54ef4410004b0b21,3,"05/26/2023, 01:00:00"
262,,0.3.85,"05/26/2023, 01:30:00",101456.666667,lumi.54ef4410004b0b21,3,"05/26/2023, 01:00:00"
261,,0.2.85,"05/26/2023, 01:30:00",7263.0,lumi.54ef4410004b0b21,3,"05/26/2023, 01:00:00"
260,"05/26/2023, 01:17:33",0.3.85,"05/26/2023, 01:30:00",101500.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 01:00:00"
259,"05/26/2023, 01:13:52",0.1.85,"05/26/2023, 01:30:00",2390.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 01:00:00"
258,"05/26/2023, 01:13:52",0.2.85,"05/26/2023, 01:30:00",7263.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 01:00:00"
257,"05/26/2023, 01:13:52",0.3.85,"05/26/2023, 01:30:00",101400.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 01:00:00"
256,"05/26/2023, 01:13:52",0.1.85,"05/26/2023, 01:30:00",2390.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 01:00:00"
255,"05/26/2023, 01:13:52",0.2.85,"05/26/2023, 01:30:00",7263.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 01:00:00"
254,,0.3.85,"05/26/2023, 02:00:00",101515.0,lumi.54ef4410004b0b21,3,"05/26/2023, 01:30:00"
253,"05/26/2023, 01:36:22",0.3.85,"05/26/2023, 02:00:00",101530.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 01:30:00"
252,"05/26/2023, 01:46:47",0.3.85,"05/26/2023, 02:00:00",101500.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 01:30:00"
251,,0.1.85,"05/26/2023, 02:30:00",2390.0,lumi.54ef4410004b0b21,3,"05/26/2023, 02:00:00"
250,,0.3.85,"05/26/2023, 02:30:00",101515.0,lumi.54ef4410004b0b21,3,"05/26/2023, 02:00:00"
249,,0.2.85,"05/26/2023, 02:30:00",7179.0,lumi.54ef4410004b0b21,3,"05/26/2023, 02:00:00"
248,"05/26/2023, 02:17:20",0.3.85,"05/26/2023, 02:30:00",101530.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 02:00:00"
247,"05/26/2023, 02:08:43",0.1.85,"05/26/2023, 02:30:00",2390.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 02:00:00"
246,"05/26/2023, 02:08:43",0.2.85,"05/26/2023, 02:30:00",7179.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 02:00:00"
245,"05/26/2023, 02:08:43",0.3.85,"05/26/2023, 02:30:00",101500.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 02:00:00"
244,"05/26/2023, 02:08:43",0.1.85,"05/26/2023, 02:30:00",2390.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 02:00:00"
243,"05/26/2023, 02:08:43",0.2.85,"05/26/2023, 02:30:00",7179.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 02:00:00"
242,,0.1.85,"05/26/2023, 03:30:00",2396.0,lumi.54ef4410004b0b21,3,"05/26/2023, 03:00:00"
241,,0.3.85,"05/26/2023, 03:30:00",101510.0,lumi.54ef4410004b0b21,3,"05/26/2023, 03:00:00"
240,,0.2.85,"05/26/2023, 03:30:00",7062.0,lumi.54ef4410004b0b21,3,"05/26/2023, 03:00:00"
239,"05/26/2023, 03:11:16",0.3.85,"05/26/2023, 03:30:00",101530.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 03:00:00"
238,"05/26/2023, 03:03:34",0.1.85,"05/26/2023, 03:30:00",2396.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 03:00:00"
237,"05/26/2023, 03:03:34",0.2.85,"05/26/2023, 03:30:00",7062.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 03:00:00"
236,"05/26/2023, 03:03:34",0.3.85,"05/26/2023, 03:30:00",101500.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 03:00:00"
235,"05/26/2023, 03:03:34",0.1.85,"05/26/2023, 03:30:00",2396.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 03:00:00"
234,"05/26/2023, 03:03:34",0.2.85,"05/26/2023, 03:30:00",7062.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 03:00:00"
233,,0.1.85,"05/26/2023, 04:00:00",2397.0,lumi.54ef4410004b0b21,3,"05/26/2023, 03:30:00"
232,,0.3.85,"05/26/2023, 04:00:00",101530.0,lumi.54ef4410004b0b21,3,"05/26/2023, 03:30:00"
231,,0.2.85,"05/26/2023, 04:00:00",6912.0,lumi.54ef4410004b0b21,3,"05/26/2023, 03:30:00"
230,"05/26/2023, 03:59:33",0.3.85,"05/26/2023, 04:00:00",101560.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 03:30:00"
229,"05/26/2023, 03:58:25",0.1.85,"05/26/2023, 04:00:00",2397.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 03:30:00"
228,"05/26/2023, 03:58:25",0.2.85,"05/26/2023, 04:00:00",6912.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 03:30:00"
227,"05/26/2023, 03:58:25",0.3.85,"05/26/2023, 04:00:00",101500.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 03:30:00"
226,"05/26/2023, 03:58:25",0.1.85,"05/26/2023, 04:00:00",2397.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 03:30:00"
225,"05/26/2023, 03:58:25",0.2.85,"05/26/2023, 04:00:00",6912.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 03:30:00"
224,,0.3.85,"05/26/2023, 04:30:00",101515.0,lumi.54ef4410004b0b21,3,"05/26/2023, 04:00:00"
223,"05/26/2023, 04:03:34",0.3.85,"05/26/2023, 04:30:00",101530.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 04:00:00"
222,"05/26/2023, 04:23:07",0.3.85,"05/26/2023, 04:30:00",101500.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 04:00:00"
221,,0.1.85,"05/26/2023, 05:00:00",2399.0,lumi.54ef4410004b0b21,3,"05/26/2023, 04:30:00"
220,,0.3.85,"05/26/2023, 05:00:00",101530.0,lumi.54ef4410004b0b21,3,"05/26/2023, 04:30:00"
219,,0.2.85,"05/26/2023, 05:00:00",6727.0,lumi.54ef4410004b0b21,3,"05/26/2023, 04:30:00"
218,"05/26/2023, 04:52:21",0.3.85,"05/26/2023, 05:00:00",101560.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 04:30:00"
217,"05/26/2023, 04:53:16",0.1.85,"05/26/2023, 05:00:00",2399.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 04:30:00"
216,"05/26/2023, 04:53:16",0.2.85,"05/26/2023, 05:00:00",6727.000000,lumi.54ef4410004b0b21,2,"05/26/2023, 04:30:00"
215,"05/26/2023, 04:53:16",0.3.85,"05/26/2023, 05:00:00",101500.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 04:30:00"
214,"05/26/2023, 04:53:16",0.1.85,"05/26/2023, 05:00:00",2399.000000,lumi.54ef4410004b0b21,1,"05/26/2023, 04:30:00"
