,timeStamp,resourceId,value,subjectId
230,"10/17/2023, 00:19:14",0.1.85,2168,lumi.54ef4410004b0b21
229,"10/17/2023, 00:19:14",0.2.85,7838,lumi.54ef4410004b0b21
228,"10/17/2023, 00:19:14",0.3.85,101500,lumi.54ef4410004b0b21
227,"10/17/2023, 00:39:00",0.3.85,101600,lumi.54ef4410004b0b21
226,"10/17/2023, 01:14:05",0.1.85,2167,lumi.54ef4410004b0b21
225,"10/17/2023, 01:14:05",0.2.85,7819,lumi.54ef4410004b0b21
224,"10/17/2023, 01:14:05",0.3.85,101600,lumi.54ef4410004b0b21
223,"10/17/2023, 01:22:21",0.3.85,101630,lumi.54ef4410004b0b21
222,"10/17/2023, 02:08:56",0.1.85,2164,lumi.54ef4410004b0b21
221,"10/17/2023, 02:08:56",0.2.85,7802,lumi.54ef4410004b0b21
220,"10/17/2023, 02:08:56",0.3.85,101600,lumi.54ef4410004b0b21
219,"10/17/2023, 02:11:10",0.3.85,101660,lumi.54ef4410004b0b21
218,"10/17/2023, 03:03:47",0.3.85,101630,lumi.54ef4410004b0b21
217,"10/17/2023, 03:03:48",0.1.85,2161,lumi.54ef4410004b0b21
216,"10/17/2023, 03:03:48",0.2.85,7784,lumi.54ef4410004b0b21
215,"10/17/2023, 03:03:48",0.3.85,101600,lumi.54ef4410004b0b21
214,"10/17/2023, 03:58:39",0.1.85,2162,lumi.54ef4410004b0b21
213,"10/17/2023, 03:58:39",0.2.85,7766,lumi.54ef4410004b0b21
212,"10/17/2023, 03:58:39",0.3.85,101600,lumi.54ef4410004b0b21
211,"10/17/2023, 04:04:10",0.3.85,101660,lumi.54ef4410004b0b21
210,"10/17/2023, 04:53:30",0.1.85,2158,lumi.54ef4410004b0b21
209,"10/17/2023, 04:53:30",0.2.85,7743,lumi.54ef4410004b0b21
208,"10/17/2023, 04:53:30",0.3.85,101600,lumi.54ef4410004b0b21
207,"10/17/2023, 04:54:16",0.3.85,101690,lumi.54ef4410004b0b21
206,"10/17/2023, 05:48:21",0.1.85,2160,lumi.54ef4410004b0b21
205,"10/17/2023, 05:48:21",0.2.85,7724,lumi.54ef4410004b0b21
204,"10/17/2023, 05:48:21",0.3.85,101700,lumi.54ef4410004b0b21
203,"10/17/2023, 05:52:02",0.3.85,101720,lumi.54ef4410004b0b21
202,"10/17/2023, 06:43:12",0.1.85,2152,lumi.54ef4410004b0b21
201,"10/17/2023, 06:43:12",0.2.85,7699,lumi.54ef4410004b0b21
200,"10/17/2023, 06:43:12",0.3.85,101700,lumi.54ef4410004b0b21
199,"10/17/2023, 06:45:25",0.3.85,101750,lumi.54ef4410004b0b21
198,"10/17/2023, 07:07:54",0.3.85,101780,lumi.54ef4410004b0b21
197,"10/17/2023, 07:38:03",0.1.85,2160,lumi.54ef4410004b0b21
196,"10/17/2023, 07:38:03",0.2.85,7664,lumi.54ef4410004b0b21
195,"10/17/2023, 07:38:03",0.3.85,101800,lumi.54ef4410004b0b21
194,"10/17/2023, 07:39:22",0.3.85,101810,lumi.54ef4410004b0b21
193,"10/17/2023, 08:03:51",0.3.85,101840,lumi.54ef4410004b0b21
192,"10/17/2023, 08:32:54",0.1.85,2147,lumi.54ef4410004b0b21
191,"10/17/2023, 08:32:54",0.2.85,7628,lumi.54ef4410004b0b21
190,"10/17/2023, 08:32:54",0.3.85,101800,lumi.54ef4410004b0b21
189,"10/17/2023, 08:56:19",0.3.85,101870,lumi.54ef4410004b0b21
188,"10/17/2023, 09:27:45",0.1.85,2147,lumi.54ef4410004b0b21
187,"10/17/2023, 09:27:45",0.2.85,7596,lumi.54ef4410004b0b21
186,"10/17/2023, 09:27:45",0.3.85,101800,lumi.54ef4410004b0b21
185,"10/17/2023, 10:06:09",0.3.85,101840,lumi.54ef4410004b0b21
184,"10/17/2023, 10:22:36",0.1.85,2147,lumi.54ef4410004b0b21
183,"10/17/2023, 10:22:36",0.2.85,7569,lumi.54ef4410004b0b21
182,"10/17/2023, 10:22:36",0.3.85,101800,lumi.54ef4410004b0b21
181,"10/17/2023, 11:00:39",0.3.85,101810,lumi.54ef4410004b0b21
180,"10/17/2023, 11:11:36",0.1.85,2138,lumi.54ef4410004b0b21
179,"10/17/2023, 11:17:27",0.1.85,2141,lumi.54ef4410004b0b21
178,"10/17/2023, 11:17:27",0.2.85,7553,lumi.54ef4410004b0b21
177,"10/17/2023, 11:17:27",0.3.85,101800,lumi.54ef4410004b0b21
176,"10/17/2023, 11:49:06",0.3.85,101780,lumi.54ef4410004b0b21
175,"10/17/2023, 12:12:18",0.1.85,2144,lumi.54ef4410004b0b21
174,"10/17/2023, 12:12:18",0.2.85,7544,lumi.54ef4410004b0b21
173,"10/17/2023, 12:12:18",0.3.85,101700,lumi.54ef4410004b0b21
172,"10/17/2023, 12:29:42",0.3.85,101750,lumi.54ef4410004b0b21
171,"10/17/2023, 12:55:17",0.3.85,101720,lumi.54ef4410004b0b21
170,"10/17/2023, 13:07:10",0.1.85,2158,lumi.54ef4410004b0b21
169,"10/17/2023, 13:07:10",0.2.85,7639,lumi.54ef4410004b0b21
168,"10/17/2023, 13:07:10",0.3.85,101700,lumi.54ef4410004b0b21
167,"10/17/2023, 13:11:46",0.3.85,101690,lumi.54ef4410004b0b21
166,"10/17/2023, 13:35:31",0.3.85,101660,lumi.54ef4410004b0b21
165,"10/17/2023, 14:02:01",0.1.85,2152,lumi.54ef4410004b0b21
164,"10/17/2023, 14:02:01",0.2.85,7636,lumi.54ef4410004b0b21
163,"10/17/2023, 14:02:01",0.3.85,101600,lumi.54ef4410004b0b21
162,"10/17/2023, 14:24:09",0.3.85,101630,lumi.54ef4410004b0b21
161,"10/17/2023, 14:56:52",0.1.85,2155,lumi.54ef4410004b0b21
160,"10/17/2023, 14:56:52",0.2.85,7624,lumi.54ef4410004b0b21
159,"10/17/2023, 14:56:52",0.3.85,101600,lumi.54ef4410004b0b21
158,"10/17/2023, 15:51:43",0.1.85,2158,lumi.54ef4410004b0b21
157,"10/17/2023, 15:51:43",0.2.85,7606,lumi.54ef4410004b0b21
156,"10/17/2023, 15:51:43",0.3.85,101600,lumi.54ef4410004b0b21
155,"10/17/2023, 16:46:34",0.1.85,2155,lumi.54ef4410004b0b21
154,"10/17/2023, 16:46:34",0.2.85,7643,lumi.54ef4410004b0b21
