,timeStamp,resourceId,value,subjectId
49,"12/18/2023, 00:35:54",3.1.85,1,lumi.54ef4410003fd759
48,"12/18/2023, 00:36:03",3.1.85,0,lumi.54ef4410003fd759
47,"12/18/2023, 09:45:20",3.1.85,1,lumi.54ef4410003fd759
46,"12/18/2023, 09:45:25",3.1.85,0,lumi.54ef4410003fd759
45,"12/18/2023, 17:40:06",3.1.85,1,lumi.54ef4410003fd759
44,"12/18/2023, 17:40:10",3.1.85,0,lumi.54ef4410003fd759
43,"12/18/2023, 19:05:29",3.1.85,1,lumi.54ef4410003fd759
42,"12/18/2023, 19:05:33",3.1.85,0,lumi.54ef4410003fd759
41,"12/18/2023, 19:08:02",3.1.85,1,lumi.54ef4410003fd759
40,"12/18/2023, 19:08:06",3.1.85,0,lumi.54ef4410003fd759
39,"12/18/2023, 20:06:31",3.1.85,1,lumi.54ef4410003fd759
38,"12/18/2023, 20:06:36",3.1.85,0,lumi.54ef4410003fd759
37,"12/18/2023, 20:09:27",3.1.85,1,lumi.54ef4410003fd759
36,"12/18/2023, 20:09:32",3.1.85,0,lumi.54ef4410003fd759
35,"12/18/2023, 21:26:01",3.1.85,1,lumi.54ef4410003fd759
34,"12/18/2023, 21:26:06",3.1.85,0,lumi.54ef4410003fd759
33,"12/18/2023, 21:28:22",3.1.85,1,lumi.54ef4410003fd759
32,"12/18/2023, 21:28:26",3.1.85,0,lumi.54ef4410003fd759
31,"12/18/2023, 23:28:11",3.1.85,1,lumi.54ef4410003fd759
30,"12/18/2023, 23:28:16",3.1.85,0,lumi.54ef4410003fd759
29,"12/18/2023, 23:49:17",3.1.85,1,lumi.54ef4410003fd759
28,"12/18/2023, 23:49:24",3.1.85,0,lumi.54ef4410003fd759
27,"12/18/2023, 23:54:09",3.1.85,1,lumi.54ef4410003fd759
26,"12/18/2023, 23:54:13",3.1.85,0,lumi.54ef4410003fd759
25,"12/19/2023, 03:41:39",3.1.85,1,lumi.54ef4410003fd759
24,"12/19/2023, 03:41:44",3.1.85,0,lumi.54ef4410003fd759
23,"12/19/2023, 03:44:37",3.1.85,1,lumi.54ef4410003fd759
22,"12/19/2023, 03:44:41",3.1.85,0,lumi.54ef4410003fd759
21,"12/19/2023, 11:36:30",3.1.85,1,lumi.54ef4410003fd759
20,"12/19/2023, 11:36:35",3.1.85,0,lumi.54ef4410003fd759
19,"12/19/2023, 15:52:09",3.1.85,1,lumi.54ef4410003fd759
18,"12/19/2023, 15:52:14",3.1.85,0,lumi.54ef4410003fd759
17,"12/19/2023, 16:56:41",3.1.85,1,lumi.54ef4410003fd759
16,"12/19/2023, 16:56:46",3.1.85,0,lumi.54ef4410003fd759
15,"12/19/2023, 16:59:58",3.1.85,1,lumi.54ef4410003fd759
14,"12/19/2023, 17:00:02",3.1.85,0,lumi.54ef4410003fd759
13,"12/19/2023, 18:02:29",3.1.85,1,lumi.54ef4410003fd759
12,"12/19/2023, 18:02:33",3.1.85,0,lumi.54ef4410003fd759
11,"12/19/2023, 18:06:12",3.1.85,1,lumi.54ef4410003fd759
10,"12/19/2023, 18:06:15",3.1.85,0,lumi.54ef4410003fd759
9,"12/19/2023, 19:56:36",3.1.85,1,lumi.54ef4410003fd759
8,"12/19/2023, 19:56:40",3.1.85,0,lumi.54ef4410003fd759
7,"12/19/2023, 20:14:33",3.1.85,1,lumi.54ef4410003fd759
6,"12/19/2023, 20:14:38",3.1.85,0,lumi.54ef4410003fd759
5,"12/19/2023, 20:17:28",3.1.85,1,lumi.54ef4410003fd759
4,"12/19/2023, 20:17:32",3.1.85,0,lumi.54ef4410003fd759
3,"12/19/2023, 22:05:45",3.1.85,1,lumi.54ef4410003fd759
2,"12/19/2023, 22:05:49",3.1.85,0,lumi.54ef4410003fd759
1,"12/19/2023, 22:08:33",3.1.85,1,lumi.54ef4410003fd759
0,"12/19/2023, 22:08:37",3.1.85,0,lumi.54ef4410003fd759
