,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,0.13.85,"06/11/2023, 03:00:00",1.83,lumi.54ef44100062b07f,0,"06/11/2023, 00:00:00"
13,,0.13.85,"06/11/2023, 08:00:00",2.6100000000000003,lumi.54ef44100062b07f,0,"06/11/2023, 03:30:00"
12,,0.13.85,"06/11/2023, 13:00:00",2.57,lumi.54ef44100062b07f,0,"06/11/2023, 08:30:00"
11,,0.13.85,"06/11/2023, 18:00:00",2.5600000000000005,lumi.54ef44100062b07f,0,"06/11/2023, 13:30:00"
10,,0.13.85,"06/11/2023, 23:00:00",2.58,lumi.54ef44100062b07f,0,"06/11/2023, 18:30:00"
9,,0.13.85,"06/12/2023, 04:00:00",3.25,lumi.54ef44100062b07f,0,"06/11/2023, 23:30:00"
8,,0.13.85,"06/12/2023, 09:00:00",2.8400000000000003,lumi.54ef44100062b07f,0,"06/12/2023, 04:30:00"
7,,0.13.85,"06/12/2023, 14:00:00",2.5500000000000003,lumi.54ef44100062b07f,0,"06/12/2023, 09:30:00"
6,,0.13.85,"06/12/2023, 19:00:00",2.59,lumi.54ef44100062b07f,0,"06/12/2023, 14:30:00"
5,,0.13.85,"06/13/2023, 00:00:00",2.92,lumi.54ef44100062b07f,0,"06/12/2023, 19:30:00"
4,,0.13.85,"06/13/2023, 05:00:00",2.5700000000000003,lumi.54ef44100062b07f,0,"06/13/2023, 00:30:00"
3,,0.13.85,"06/13/2023, 10:00:00",2.6,lumi.54ef44100062b07f,0,"06/13/2023, 05:30:00"
2,,0.13.85,"06/13/2023, 15:00:00",2.54,lumi.54ef44100062b07f,0,"06/13/2023, 10:30:00"
1,,0.13.85,"06/13/2023, 20:00:00",2.6099999999999994,lumi.54ef44100062b07f,0,"06/13/2023, 15:30:00"
0,,0.13.85,"06/14/2023, 00:00:00",2.08,lumi.54ef44100062b07f,0,"06/13/2023, 20:30:00"
