,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
9,,13.1.85,"08/22/2023, 08:00:00","{""1"":1,""2"":4}",lumi.158d0008f34ae7,4,"08/22/2023, 07:30:00"
8,,13.1.85,"08/22/2023, 18:30:00","{""1"":1,""2"":1}",lumi.158d0008f34ae7,4,"08/22/2023, 18:00:00"
7,,13.1.85,"08/22/2023, 20:30:00","{""1"":1}",lumi.158d0008f34ae7,4,"08/22/2023, 20:00:00"
6,,13.1.85,"08/23/2023, 18:30:00","{""1"":3}",lumi.158d0008f34ae7,4,"08/23/2023, 18:00:00"
5,,13.1.85,"08/23/2023, 19:00:00","{""2"":1}",lumi.158d0008f34ae7,4,"08/23/2023, 18:30:00"
4,,13.1.85,"08/24/2023, 08:00:00","{""1"":1,""2"":1}",lumi.158d0008f34ae7,4,"08/24/2023, 07:30:00"
3,,13.1.85,"08/24/2023, 19:00:00","{""1"":1,""2"":1}",lumi.158d0008f34ae7,4,"08/24/2023, 18:30:00"
2,,13.1.85,"08/24/2023, 19:30:00","{""1"":2}",lumi.158d0008f34ae7,4,"08/24/2023, 19:00:00"
1,,13.1.85,"08/24/2023, 20:00:00","{""1"":1,""2"":3}",lumi.158d0008f34ae7,4,"08/24/2023, 19:30:00"
0,,13.1.85,"08/24/2023, 21:00:00","{""2"":1}",lumi.158d0008f34ae7,4,"08/24/2023, 20:30:00"
