,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
11,,3.1.85,"09/22/2023, 01:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"09/22/2023, 01:00:00"
10,,3.1.85,"09/22/2023, 08:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"09/22/2023, 08:00:00"
9,,3.1.85,"09/22/2023, 09:30:00","{""1"":5}",lumi.54ef44100051ad7c,4,"09/22/2023, 09:00:00"
8,,3.1.85,"09/22/2023, 10:00:00","{""1"":4}",lumi.54ef44100051ad7c,4,"09/22/2023, 09:30:00"
7,,3.1.85,"09/22/2023, 10:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"09/22/2023, 10:00:00"
6,,3.1.85,"09/22/2023, 11:00:00","{""1"":2}",lumi.54ef44100051ad7c,4,"09/22/2023, 10:30:00"
5,,3.1.85,"09/22/2023, 11:30:00","{""1"":6}",lumi.54ef44100051ad7c,4,"09/22/2023, 11:00:00"
4,,3.1.85,"09/22/2023, 12:00:00","{""1"":3}",lumi.54ef44100051ad7c,4,"09/22/2023, 11:30:00"
3,,3.1.85,"09/22/2023, 12:30:00","{""1"":4}",lumi.54ef44100051ad7c,4,"09/22/2023, 12:00:00"
2,,3.1.85,"09/22/2023, 23:00:00","{""1"":3}",lumi.54ef44100051ad7c,4,"09/22/2023, 22:30:00"
1,,3.1.85,"09/23/2023, 09:30:00","{""1"":9}",lumi.54ef44100051ad7c,4,"09/23/2023, 09:00:00"
0,,3.1.85,"09/23/2023, 10:00:00","{""1"":5}",lumi.54ef44100051ad7c,4,"09/23/2023, 09:30:00"
