,timeStamp,resourceId,value,subjectId
9,"10/22/2023, 13:52:28",13.1.85,1,lumi.158d0008f34a20
8,"10/22/2023, 13:52:53",13.1.85,2,lumi.158d0008f34a20
7,"10/22/2023, 13:53:22",13.1.85,1,lumi.158d0008f34a20
6,"10/22/2023, 13:54:16",13.1.85,1,lumi.158d0008f34a20
5,"10/22/2023, 14:01:22",13.1.85,1,lumi.158d0008f34a20
4,"10/22/2023, 14:03:14",13.1.85,1,lumi.158d0008f34a20
3,"10/22/2023, 14:14:31",13.1.85,1,lumi.158d0008f34a20
2,"10/22/2023, 18:10:45",13.1.85,1,lumi.158d0008f34a20
1,"10/22/2023, 19:33:45",13.1.85,1,lumi.158d0008f34a20
0,"10/22/2023, 19:33:49",13.1.85,2,lumi.158d0008f34a20
