,timeStamp,resourceId,value,subjectId
18,"10/31/2023, 18:10:46",13.1.85,1,lumi.158d0008f34ae7
17,"10/31/2023, 18:27:24",13.1.85,1,lumi.158d0008f34ae7
16,"10/31/2023, 20:55:17",13.1.85,1,lumi.158d0008f34ae7
15,"10/31/2023, 21:32:08",13.1.85,2,lumi.158d0008f34ae7
14,"10/31/2023, 21:32:12",13.1.85,2,lumi.158d0008f34ae7
13,"10/31/2023, 21:45:20",13.1.85,1,lumi.158d0008f34ae7
12,"10/31/2023, 21:49:09",13.1.85,1,lumi.158d0008f34ae7
11,"10/31/2023, 22:19:54",13.1.85,2,lumi.158d0008f34ae7
10,"10/31/2023, 22:24:35",13.1.85,1,lumi.158d0008f34ae7
9,"10/31/2023, 22:25:13",13.1.85,2,lumi.158d0008f34ae7
8,"10/31/2023, 22:46:27",13.1.85,2,lumi.158d0008f34ae7
7,"10/31/2023, 23:01:30",13.1.85,2,lumi.158d0008f34ae7
6,"10/31/2023, 23:02:22",13.1.85,1,lumi.158d0008f34ae7
5,"11/01/2023, 07:45:59",13.1.85,2,lumi.158d0008f34ae7
4,"11/01/2023, 07:46:52",13.1.85,2,lumi.158d0008f34ae7
3,"11/01/2023, 07:53:47",13.1.85,1,lumi.158d0008f34ae7
2,"11/01/2023, 18:46:46",13.1.85,2,lumi.158d0008f34ae7
1,"11/01/2023, 18:47:01",13.1.85,1,lumi.158d0008f34ae7
0,"11/01/2023, 20:26:52",13.1.85,1,lumi.158d0008f34ae7
