,timeStamp,resourceId,value,subjectId
9,"11/04/2023, 11:10:54",3.1.85,1,lumi.54ef4410003fe2da
8,"11/04/2023, 11:10:57",3.1.85,0,lumi.54ef4410003fe2da
7,"11/04/2023, 11:33:08",3.1.85,1,lumi.54ef4410003fe2da
6,"11/04/2023, 11:33:11",3.1.85,0,lumi.54ef4410003fe2da
5,"11/04/2023, 21:21:51",3.1.85,1,lumi.54ef4410003fe2da
4,"11/04/2023, 21:21:54",3.1.85,0,lumi.54ef4410003fe2da
3,"11/05/2023, 16:56:57",3.1.85,1,lumi.54ef4410003fe2da
2,"11/05/2023, 16:57:03",3.1.85,0,lumi.54ef4410003fe2da
1,"11/05/2023, 17:01:20",3.1.85,1,lumi.54ef4410003fe2da
0,"11/05/2023, 17:01:23",3.1.85,0,lumi.54ef4410003fe2da
