,timeStamp,resourceId,value,subjectId
24,"11/14/2023, 18:23:05",3.1.85,1,lumi.54ef44100051ad7c
23,"11/14/2023, 18:28:14",3.1.85,1,lumi.54ef44100051ad7c
22,"11/14/2023, 20:12:24",3.1.85,1,lumi.54ef44100051ad7c
21,"11/14/2023, 20:27:49",3.1.85,1,lumi.54ef44100051ad7c
20,"11/14/2023, 20:28:49",3.1.85,1,lumi.54ef44100051ad7c
19,"11/14/2023, 20:29:50",3.1.85,1,lumi.54ef44100051ad7c
18,"11/14/2023, 20:31:16",3.1.85,1,lumi.54ef44100051ad7c
17,"11/14/2023, 20:38:46",3.1.85,1,lumi.54ef44100051ad7c
16,"11/14/2023, 21:42:49",3.1.85,1,lumi.54ef44100051ad7c
15,"11/14/2023, 21:46:28",3.1.85,1,lumi.54ef44100051ad7c
14,"11/14/2023, 21:49:50",3.1.85,1,lumi.54ef44100051ad7c
13,"11/14/2023, 22:13:57",3.1.85,1,lumi.54ef44100051ad7c
12,"11/15/2023, 07:36:17",3.1.85,1,lumi.54ef44100051ad7c
11,"11/15/2023, 07:39:21",3.1.85,1,lumi.54ef44100051ad7c
10,"11/15/2023, 07:45:43",3.1.85,1,lumi.54ef44100051ad7c
9,"11/15/2023, 07:47:57",3.1.85,1,lumi.54ef44100051ad7c
8,"11/15/2023, 07:49:45",3.1.85,1,lumi.54ef44100051ad7c
7,"11/15/2023, 07:53:01",3.1.85,1,lumi.54ef44100051ad7c
6,"11/15/2023, 07:54:08",3.1.85,1,lumi.54ef44100051ad7c
5,"11/15/2023, 22:44:53",3.1.85,1,lumi.54ef44100051ad7c
4,"11/15/2023, 22:47:16",3.1.85,1,lumi.54ef44100051ad7c
3,"11/15/2023, 23:37:06",3.1.85,1,lumi.54ef44100051ad7c
2,"11/15/2023, 23:38:42",3.1.85,1,lumi.54ef44100051ad7c
1,"11/15/2023, 23:43:21",3.1.85,1,lumi.54ef44100051ad7c
0,"11/15/2023, 23:55:20",3.1.85,1,lumi.54ef44100051ad7c
