,timeStamp,resourceId,value,subjectId
250,"11/24/2023, 00:05:42",0.3.85,101880,lumi.54ef4410004b16e7
249,"11/24/2023, 00:31:19",0.3.85,101910,lumi.54ef4410004b16e7
248,"11/24/2023, 00:51:16",0.1.85,2484,lumi.54ef4410004b16e7
247,"11/24/2023, 00:51:16",0.2.85,6625,lumi.54ef4410004b16e7
246,"11/24/2023, 00:51:16",0.3.85,101900,lumi.54ef4410004b16e7
245,"11/24/2023, 01:15:05",0.3.85,101940,lumi.54ef4410004b16e7
244,"11/24/2023, 01:34:17",0.3.85,101970,lumi.54ef4410004b16e7
243,"11/24/2023, 01:46:11",0.1.85,2476,lumi.54ef4410004b16e7
242,"11/24/2023, 01:46:11",0.2.85,6631,lumi.54ef4410004b16e7
241,"11/24/2023, 01:46:11",0.3.85,101900,lumi.54ef4410004b16e7
240,"11/24/2023, 01:59:56",0.3.85,102000,lumi.54ef4410004b16e7
239,"11/24/2023, 02:33:47",0.3.85,102030,lumi.54ef4410004b16e7
238,"11/24/2023, 02:41:06",0.1.85,2465,lumi.54ef4410004b16e7
237,"11/24/2023, 02:41:06",0.2.85,6615,lumi.54ef4410004b16e7
236,"11/24/2023, 02:41:06",0.3.85,102000,lumi.54ef4410004b16e7
235,"11/24/2023, 03:00:54",0.3.85,102060,lumi.54ef4410004b16e7
234,"11/24/2023, 03:36:01",0.1.85,2456,lumi.54ef4410004b16e7
233,"11/24/2023, 03:36:01",0.2.85,6600,lumi.54ef4410004b16e7
232,"11/24/2023, 03:36:01",0.3.85,102000,lumi.54ef4410004b16e7
231,"11/24/2023, 03:49:58",0.3.85,102090,lumi.54ef4410004b16e7
230,"11/24/2023, 04:03:08",0.3.85,102120,lumi.54ef4410004b16e7
229,"11/24/2023, 04:28:23",0.3.85,102150,lumi.54ef4410004b16e7
228,"11/24/2023, 04:30:57",0.1.85,2490,lumi.54ef4410004b16e7
227,"11/24/2023, 04:30:57",0.2.85,6577,lumi.54ef4410004b16e7
226,"11/24/2023, 04:30:57",0.3.85,102100,lumi.54ef4410004b16e7
225,"11/24/2023, 04:43:47",0.3.85,102180,lumi.54ef4410004b16e7
224,"11/24/2023, 04:57:52",0.3.85,102210,lumi.54ef4410004b16e7
223,"11/24/2023, 05:20:22",0.3.85,102240,lumi.54ef4410004b16e7
222,"11/24/2023, 05:25:52",0.1.85,2495,lumi.54ef4410004b16e7
221,"11/24/2023, 05:25:52",0.2.85,6575,lumi.54ef4410004b16e7
220,"11/24/2023, 05:25:52",0.3.85,102200,lumi.54ef4410004b16e7
219,"11/24/2023, 05:36:19",0.3.85,102270,lumi.54ef4410004b16e7
218,"11/24/2023, 05:48:57",0.3.85,102300,lumi.54ef4410004b16e7
217,"11/24/2023, 05:57:00",0.3.85,102330,lumi.54ef4410004b16e7
216,"11/24/2023, 06:17:07",0.3.85,102360,lumi.54ef4410004b16e7
215,"11/24/2023, 06:20:47",0.1.85,2474,lumi.54ef4410004b16e7
