,timeStamp,resourceId,value,subjectId
9,"01/07/2024, 12:54:34",3.1.85,0,lumi.54ef4410003fd152
8,"01/07/2024, 12:56:49",3.1.85,1,lumi.54ef4410003fd152
7,"01/07/2024, 16:24:25",3.1.85,0,lumi.54ef4410003fd152
6,"01/07/2024, 16:26:38",3.1.85,1,lumi.54ef4410003fd152
5,"01/07/2024, 16:35:53",3.1.85,0,lumi.54ef4410003fd152
4,"01/07/2024, 16:37:26",3.1.85,1,lumi.54ef4410003fd152
3,"01/07/2024, 16:37:36",3.1.85,0,lumi.54ef4410003fd152
2,"01/07/2024, 16:39:30",3.1.85,1,lumi.54ef4410003fd152
1,"01/08/2024, 19:00:17",3.1.85,0,lumi.54ef4410003fd152
0,"01/08/2024, 19:03:10",3.1.85,1,lumi.54ef4410003fd152
