,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
233,,0.3.85,"06/05/2023, 00:30:00",265.0,lumi.54ef44100065d0af,3,"06/05/2023, 00:00:00"
232,"06/05/2023, 00:17:26",0.3.85,"06/05/2023, 00:30:00",265.000000,lumi.54ef44100065d0af,2,"06/05/2023, 00:00:00"
231,"06/05/2023, 00:17:26",0.3.85,"06/05/2023, 00:30:00",265.000000,lumi.54ef44100065d0af,1,"06/05/2023, 00:00:00"
230,,0.3.85,"06/05/2023, 01:00:00",289.5,lumi.54ef44100065d0af,3,"06/05/2023, 00:30:00"
229,"06/05/2023, 00:59:32",0.3.85,"06/05/2023, 01:00:00",315.000000,lumi.54ef44100065d0af,2,"06/05/2023, 00:30:00"
228,"06/05/2023, 00:59:37",0.3.85,"06/05/2023, 01:00:00",264.000000,lumi.54ef44100065d0af,1,"06/05/2023, 00:30:00"
227,,0.3.85,"06/05/2023, 01:30:00",213.5,lumi.54ef44100065d0af,3,"06/05/2023, 01:00:00"
226,"06/05/2023, 01:12:40",0.3.85,"06/05/2023, 01:30:00",265.000000,lumi.54ef44100065d0af,2,"06/05/2023, 01:00:00"
225,"06/05/2023, 01:00:07",0.3.85,"06/05/2023, 01:30:00",145.000000,lumi.54ef44100065d0af,1,"06/05/2023, 01:00:00"
224,,0.3.85,"06/05/2023, 02:00:00",222.65,lumi.54ef44100065d0af,3,"06/05/2023, 01:30:00"
223,"06/05/2023, 01:43:19",0.3.85,"06/05/2023, 02:00:00",266.000000,lumi.54ef44100065d0af,2,"06/05/2023, 01:30:00"
222,"06/05/2023, 01:37:47",0.3.85,"06/05/2023, 02:00:00",167.000000,lumi.54ef44100065d0af,1,"06/05/2023, 01:30:00"
221,,0.3.85,"06/05/2023, 02:30:00",240.058824,lumi.54ef44100065d0af,3,"06/05/2023, 02:00:00"
220,"06/05/2023, 02:22:04",0.3.85,"06/05/2023, 02:30:00",320.000000,lumi.54ef44100065d0af,2,"06/05/2023, 02:00:00"
219,"06/05/2023, 02:19:53",0.3.85,"06/05/2023, 02:30:00",175.000000,lumi.54ef44100065d0af,1,"06/05/2023, 02:00:00"
218,,0.3.85,"06/05/2023, 04:00:00",0.0,lumi.54ef44100065d0af,3,"06/05/2023, 03:30:00"
217,"06/05/2023, 03:37:42",0.3.85,"06/05/2023, 04:00:00",0.000000,lumi.54ef44100065d0af,2,"06/05/2023, 03:30:00"
216,"06/05/2023, 03:37:42",0.3.85,"06/05/2023, 04:00:00",0.000000,lumi.54ef44100065d0af,1,"06/05/2023, 03:30:00"
215,,0.3.85,"06/05/2023, 05:30:00",11.666667,lumi.54ef44100065d0af,3,"06/05/2023, 05:00:00"
214,"06/05/2023, 05:14:35",0.3.85,"06/05/2023, 05:30:00",29.000000,lumi.54ef44100065d0af,2,"06/05/2023, 05:00:00"
213,"06/05/2023, 05:14:40",0.3.85,"06/05/2023, 05:30:00",0.000000,lumi.54ef44100065d0af,1,"06/05/2023, 05:00:00"
212,,0.3.85,"06/05/2023, 06:00:00",13.0,lumi.54ef44100065d0af,3,"06/05/2023, 05:30:00"
211,"06/05/2023, 05:44:07",0.3.85,"06/05/2023, 06:00:00",13.000000,lumi.54ef44100065d0af,2,"06/05/2023, 05:30:00"
210,"06/05/2023, 05:44:07",0.3.85,"06/05/2023, 06:00:00",13.000000,lumi.54ef44100065d0af,1,"06/05/2023, 05:30:00"
209,,0.3.85,"06/05/2023, 06:30:00",23.5,lumi.54ef44100065d0af,3,"06/05/2023, 06:00:00"
208,"06/05/2023, 06:25:27",0.3.85,"06/05/2023, 06:30:00",27.000000,lumi.54ef44100065d0af,2,"06/05/2023, 06:00:00"
207,"06/05/2023, 06:09:49",0.3.85,"06/05/2023, 06:30:00",20.000000,lumi.54ef44100065d0af,1,"06/05/2023, 06:00:00"
206,,0.3.85,"06/05/2023, 07:00:00",37.8,lumi.54ef44100065d0af,3,"06/05/2023, 06:30:00"
205,"06/05/2023, 06:51:35",0.3.85,"06/05/2023, 07:00:00",48.000000,lumi.54ef44100065d0af,2,"06/05/2023, 06:30:00"
204,"06/05/2023, 06:44:01",0.3.85,"06/05/2023, 07:00:00",25.000000,lumi.54ef44100065d0af,1,"06/05/2023, 06:30:00"
203,,0.3.85,"06/05/2023, 07:30:00",53.5,lumi.54ef44100065d0af,3,"06/05/2023, 07:00:00"
202,"06/05/2023, 07:29:07",0.3.85,"06/05/2023, 07:30:00",59.000000,lumi.54ef44100065d0af,2,"06/05/2023, 07:00:00"
201,"06/05/2023, 07:06:23",0.3.85,"06/05/2023, 07:30:00",48.000000,lumi.54ef44100065d0af,1,"06/05/2023, 07:00:00"
200,,0.3.85,"06/05/2023, 08:00:00",92.56,lumi.54ef44100065d0af,3,"06/05/2023, 07:30:00"
199,"06/05/2023, 07:50:54",0.3.85,"06/05/2023, 08:00:00",123.000000,lumi.54ef44100065d0af,2,"06/05/2023, 07:30:00"
198,"06/05/2023, 07:32:43",0.3.85,"06/05/2023, 08:00:00",70.000000,lumi.54ef44100065d0af,1,"06/05/2023, 07:30:00"
197,,0.3.85,"06/05/2023, 08:30:00",95.526316,lumi.54ef44100065d0af,3,"06/05/2023, 08:00:00"
196,"06/05/2023, 08:04:07",0.3.85,"06/05/2023, 08:30:00",133.000000,lumi.54ef44100065d0af,2,"06/05/2023, 08:00:00"
195,"06/05/2023, 08:10:08",0.3.85,"06/05/2023, 08:30:00",69.000000,lumi.54ef44100065d0af,1,"06/05/2023, 08:00:00"
194,,0.3.85,"06/05/2023, 09:00:00",111.648649,lumi.54ef44100065d0af,3,"06/05/2023, 08:30:00"
193,"06/05/2023, 08:46:38",0.3.85,"06/05/2023, 09:00:00",154.000000,lumi.54ef44100065d0af,2,"06/05/2023, 08:30:00"
192,"06/05/2023, 08:30:02",0.3.85,"06/05/2023, 09:00:00",86.000000,lumi.54ef44100065d0af,1,"06/05/2023, 08:30:00"
191,,0.3.85,"06/05/2023, 09:30:00",125.857143,lumi.54ef44100065d0af,3,"06/05/2023, 09:00:00"
190,"06/05/2023, 09:28:57",0.3.85,"06/05/2023, 09:30:00",151.000000,lumi.54ef44100065d0af,2,"06/05/2023, 09:00:00"
189,"06/05/2023, 09:28:32",0.3.85,"06/05/2023, 09:30:00",98.000000,lumi.54ef44100065d0af,1,"06/05/2023, 09:00:00"
188,,0.3.85,"06/05/2023, 10:00:00",132.837838,lumi.54ef44100065d0af,3,"06/05/2023, 09:30:00"
187,"06/05/2023, 09:34:30",0.3.85,"06/05/2023, 10:00:00",171.000000,lumi.54ef44100065d0af,2,"06/05/2023, 09:30:00"
186,"06/05/2023, 09:38:11",0.3.85,"06/05/2023, 10:00:00",96.000000,lumi.54ef44100065d0af,1,"06/05/2023, 09:30:00"
185,,0.3.85,"06/05/2023, 10:30:00",138.903226,lumi.54ef44100065d0af,3,"06/05/2023, 10:00:00"
184,"06/05/2023, 10:25:53",0.3.85,"06/05/2023, 10:30:00",179.000000,lumi.54ef44100065d0af,2,"06/05/2023, 10:00:00"
183,"06/05/2023, 10:08:22",0.3.85,"06/05/2023, 10:30:00",100.000000,lumi.54ef44100065d0af,1,"06/05/2023, 10:00:00"
182,,0.3.85,"06/05/2023, 11:00:00",147.818182,lumi.54ef44100065d0af,3,"06/05/2023, 10:30:00"
