,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
191,,0.2.85,"06/07/2023, 00:30:00",5358.0,lumi.54ef4410004b11ca,3,"06/07/2023, 00:00:00"
190,,0.3.85,"06/07/2023, 00:30:00",100500.0,lumi.54ef4410004b11ca,3,"06/07/2023, 00:00:00"
189,,0.1.85,"06/07/2023, 00:30:00",2439.0,lumi.54ef4410004b11ca,3,"06/07/2023, 00:00:00"
188,"06/07/2023, 00:00:21",0.3.85,"06/07/2023, 00:30:00",100500.000000,lumi.54ef4410004b11ca,2,"06/07/2023, 00:00:00"
187,"06/07/2023, 00:00:21",0.2.85,"06/07/2023, 00:30:00",5358.000000,lumi.54ef4410004b11ca,2,"06/07/2023, 00:00:00"
186,"06/07/2023, 00:00:21",0.1.85,"06/07/2023, 00:30:00",2439.000000,lumi.54ef4410004b11ca,2,"06/07/2023, 00:00:00"
185,"06/07/2023, 00:00:21",0.2.85,"06/07/2023, 00:30:00",5358.000000,lumi.54ef4410004b11ca,1,"06/07/2023, 00:00:00"
184,"06/07/2023, 00:00:21",0.1.85,"06/07/2023, 00:30:00",2439.000000,lumi.54ef4410004b11ca,1,"06/07/2023, 00:00:00"
183,"06/07/2023, 00:00:21",0.3.85,"06/07/2023, 00:30:00",100500.000000,lumi.54ef4410004b11ca,1,"06/07/2023, 00:00:00"
182,,0.3.85,"06/07/2023, 03:30:00",100580.0,lumi.54ef4410004b11ca,3,"06/07/2023, 03:00:00"
181,"06/07/2023, 03:06:26",0.3.85,"06/07/2023, 03:30:00",100580.000000,lumi.54ef4410004b11ca,2,"06/07/2023, 03:00:00"
180,"06/07/2023, 03:06:26",0.3.85,"06/07/2023, 03:30:00",100580.000000,lumi.54ef4410004b11ca,1,"06/07/2023, 03:00:00"
179,,0.3.85,"06/07/2023, 04:30:00",100580.0,lumi.54ef4410004b11ca,3,"06/07/2023, 04:00:00"
178,"06/07/2023, 04:13:33",0.3.85,"06/07/2023, 04:30:00",100580.000000,lumi.54ef4410004b11ca,2,"06/07/2023, 04:00:00"
177,"06/07/2023, 04:13:33",0.3.85,"06/07/2023, 04:30:00",100580.000000,lumi.54ef4410004b11ca,1,"06/07/2023, 04:00:00"
