,timeStamp,resourceId,value,subjectId
15,"10/01/2023, 14:32:54",13.1.85,1,lumi.158d0008f3a539
14,"10/01/2023, 15:47:01",13.1.85,1,lumi.158d0008f3a539
13,"10/01/2023, 15:53:24",13.1.85,1,lumi.158d0008f3a539
12,"10/01/2023, 15:57:40",13.1.85,2,lumi.158d0008f3a539
11,"10/01/2023, 15:57:41",13.1.85,1,lumi.158d0008f3a539
10,"10/01/2023, 16:01:19",13.1.85,1,lumi.158d0008f3a539
9,"10/01/2023, 16:36:41",13.1.85,1,lumi.158d0008f3a539
8,"10/02/2023, 01:06:44",13.1.85,2,lumi.158d0008f3a539
7,"10/02/2023, 01:06:45",13.1.85,1,lumi.158d0008f3a539
6,"10/02/2023, 01:08:30",13.1.85,1,lumi.158d0008f3a539
5,"10/02/2023, 01:08:33",13.1.85,2,lumi.158d0008f3a539
4,"10/02/2023, 01:10:13",13.1.85,2,lumi.158d0008f3a539
3,"10/02/2023, 01:10:16",13.1.85,1,lumi.158d0008f3a539
2,"10/02/2023, 01:51:28",13.1.85,1,lumi.158d0008f3a539
1,"10/02/2023, 18:13:11",13.1.85,1,lumi.158d0008f3a539
0,"10/02/2023, 18:13:28",13.1.85,2,lumi.158d0008f3a539
