,timeStamp,resourceId,value,subjectId
43,"10/05/2023, 00:07:31",0.3.85,265,lumi.54ef44100065d0af
42,"10/05/2023, 00:57:32",0.3.85,177,lumi.54ef44100065d0af
41,"10/05/2023, 00:57:42",0.3.85,249,lumi.54ef44100065d0af
40,"10/05/2023, 01:02:43",0.3.85,267,lumi.54ef44100065d0af
39,"10/05/2023, 01:28:39",0.3.85,339,lumi.54ef44100065d0af
38,"10/05/2023, 01:28:49",0.3.85,259,lumi.54ef44100065d0af
37,"10/05/2023, 01:30:15",0.3.85,170,lumi.54ef44100065d0af
36,"10/05/2023, 01:30:20",0.3.85,241,lumi.54ef44100065d0af
35,"10/05/2023, 01:30:25",0.3.85,0,lumi.54ef44100065d0af
34,"10/05/2023, 02:53:06",0.3.85,0,lumi.54ef44100065d0af
33,"10/05/2023, 03:48:17",0.3.85,0,lumi.54ef44100065d0af
32,"10/05/2023, 05:38:41",0.3.85,0,lumi.54ef44100065d0af
31,"10/05/2023, 06:33:47",0.3.85,26,lumi.54ef44100065d0af
30,"10/05/2023, 06:33:52",0.3.85,0,lumi.54ef44100065d0af
29,"10/05/2023, 06:33:52",0.3.85,0,lumi.54ef44100065d0af
28,"10/05/2023, 06:53:58",0.3.85,6,lumi.54ef44100065d0af
27,"10/05/2023, 07:19:22",0.3.85,13,lumi.54ef44100065d0af
26,"10/05/2023, 07:29:04",0.3.85,15,lumi.54ef44100065d0af
25,"10/05/2023, 07:46:04",0.3.85,20,lumi.54ef44100065d0af
24,"10/05/2023, 07:54:00",0.3.85,27,lumi.54ef44100065d0af
23,"10/05/2023, 07:54:55",0.3.85,34,lumi.54ef44100065d0af
22,"10/05/2023, 07:56:31",0.3.85,41,lumi.54ef44100065d0af
21,"10/05/2023, 07:58:56",0.3.85,48,lumi.54ef44100065d0af
20,"10/05/2023, 08:02:22",0.3.85,57,lumi.54ef44100065d0af
19,"10/05/2023, 08:06:33",0.3.85,68,lumi.54ef44100065d0af
18,"10/05/2023, 08:10:18",0.3.85,81,lumi.54ef44100065d0af
17,"10/05/2023, 08:15:39",0.3.85,96,lumi.54ef44100065d0af
16,"10/05/2023, 08:23:36",0.3.85,114,lumi.54ef44100065d0af
15,"10/05/2023, 08:24:16",0.3.85,116,lumi.54ef44100065d0af
14,"10/05/2023, 08:44:31",0.3.85,135,lumi.54ef44100065d0af
13,"10/05/2023, 09:10:16",0.3.85,114,lumi.54ef44100065d0af
12,"10/05/2023, 09:19:27",0.3.85,99,lumi.54ef44100065d0af
11,"10/05/2023, 09:21:00",0.3.85,96,lumi.54ef44100065d0af
10,"10/05/2023, 09:28:01",0.3.85,81,lumi.54ef44100065d0af
9,"10/05/2023, 10:09:58",0.3.85,65,lumi.54ef44100065d0af
8,"10/05/2023, 10:14:39",0.3.85,75,lumi.54ef44100065d0af
7,"10/05/2023, 11:09:50",0.3.85,70,lumi.54ef44100065d0af
6,"10/05/2023, 11:20:54",0.3.85,60,lumi.54ef44100065d0af
5,"10/05/2023, 11:20:59",0.3.85,45,lumi.54ef44100065d0af
4,"10/05/2023, 11:21:14",0.3.85,68,lumi.54ef44100065d0af
3,"10/05/2023, 11:21:24",0.3.85,194,lumi.54ef44100065d0af
2,"10/05/2023, 11:21:29",0.3.85,338,lumi.54ef44100065d0af
1,"10/05/2023, 11:40:33",0.3.85,111,lumi.54ef44100065d0af
0,"10/05/2023, 11:40:38",0.3.85,88,lumi.54ef44100065d0af
