,timeStamp,resourceId,value,subjectId
299,"10/05/2023, 20:56:55",3.1.85,1,lumi.54ef44100051b160
298,"10/05/2023, 20:57:53",3.1.85,1,lumi.54ef44100051b160
297,"10/05/2023, 20:58:53",3.1.85,1,lumi.54ef44100051b160
296,"10/05/2023, 20:59:52",3.1.85,1,lumi.54ef44100051b160
295,"10/05/2023, 21:00:51",3.1.85,1,lumi.54ef44100051b160
294,"10/05/2023, 21:01:49",3.1.85,1,lumi.54ef44100051b160
293,"10/05/2023, 21:02:47",3.1.85,1,lumi.54ef44100051b160
292,"10/05/2023, 21:03:46",3.1.85,1,lumi.54ef44100051b160
291,"10/05/2023, 21:04:46",3.1.85,1,lumi.54ef44100051b160
290,"10/05/2023, 21:05:48",3.1.85,1,lumi.54ef44100051b160
289,"10/05/2023, 21:06:46",3.1.85,1,lumi.54ef44100051b160
288,"10/05/2023, 21:08:03",3.1.85,1,lumi.54ef44100051b160
287,"10/05/2023, 21:09:01",3.1.85,1,lumi.54ef44100051b160
286,"10/05/2023, 21:09:59",3.1.85,1,lumi.54ef44100051b160
285,"10/05/2023, 21:11:23",3.1.85,1,lumi.54ef44100051b160
284,"10/05/2023, 21:12:21",3.1.85,1,lumi.54ef44100051b160
283,"10/05/2023, 21:13:21",3.1.85,1,lumi.54ef44100051b160
282,"10/05/2023, 21:14:59",3.1.85,1,lumi.54ef44100051b160
281,"10/05/2023, 21:16:01",3.1.85,1,lumi.54ef44100051b160
280,"10/05/2023, 21:16:59",3.1.85,1,lumi.54ef44100051b160
279,"10/05/2023, 21:17:58",3.1.85,1,lumi.54ef44100051b160
278,"10/05/2023, 21:20:11",3.1.85,1,lumi.54ef44100051b160
277,"10/05/2023, 21:21:11",3.1.85,1,lumi.54ef44100051b160
276,"10/05/2023, 21:22:09",3.1.85,1,lumi.54ef44100051b160
275,"10/05/2023, 21:23:07",3.1.85,1,lumi.54ef44100051b160
274,"10/05/2023, 21:24:07",3.1.85,1,lumi.54ef44100051b160
273,"10/05/2023, 21:25:07",3.1.85,1,lumi.54ef44100051b160
272,"10/05/2023, 21:26:20",3.1.85,1,lumi.54ef44100051b160
271,"10/05/2023, 21:27:18",3.1.85,1,lumi.54ef44100051b160
270,"10/05/2023, 21:28:26",3.1.85,1,lumi.54ef44100051b160
269,"10/05/2023, 21:30:19",3.1.85,1,lumi.54ef44100051b160
268,"10/05/2023, 21:31:37",3.1.85,1,lumi.54ef44100051b160
267,"10/05/2023, 21:33:54",3.1.85,1,lumi.54ef44100051b160
266,"10/05/2023, 21:34:53",3.1.85,1,lumi.54ef44100051b160
265,"10/05/2023, 21:35:51",3.1.85,1,lumi.54ef44100051b160
264,"10/05/2023, 21:36:49",3.1.85,1,lumi.54ef44100051b160
263,"10/05/2023, 21:37:47",3.1.85,1,lumi.54ef44100051b160
262,"10/05/2023, 21:38:46",3.1.85,1,lumi.54ef44100051b160
261,"10/05/2023, 21:39:44",3.1.85,1,lumi.54ef44100051b160
260,"10/05/2023, 21:40:42",3.1.85,1,lumi.54ef44100051b160
259,"10/05/2023, 21:41:45",3.1.85,1,lumi.54ef44100051b160
258,"10/05/2023, 21:42:43",3.1.85,1,lumi.54ef44100051b160
257,"10/05/2023, 21:43:42",3.1.85,1,lumi.54ef44100051b160
256,"10/05/2023, 21:44:43",3.1.85,1,lumi.54ef44100051b160
255,"10/05/2023, 21:45:43",3.1.85,1,lumi.54ef44100051b160
