,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
29,,0.3.85,1682348400000,123.080588,lumi.4cf8cdf3c8dcfa2,3,1682262000000
28,1682323857960,0.3.85,1682348400000,211.000000,lumi.4cf8cdf3c8dcfa2,2,1682262000000
27,1682282844095,0.3.85,1682348400000,0.000000,lumi.4cf8cdf3c8dcfa2,1,1682262000000
26,,0.3.85,1682434800000,130.121561,lumi.4cf8cdf3c8dcfa2,3,1682348400000
25,1682395576660,0.3.85,1682434800000,213.000000,lumi.4cf8cdf3c8dcfa2,2,1682348400000
24,1682369440281,0.3.85,1682434800000,0.000000,lumi.4cf8cdf3c8dcfa2,1,1682348400000
23,,0.3.85,1682521200000,100.014485,lumi.4cf8cdf3c8dcfa2,3,1682434800000
22,1682492787527,0.3.85,1682521200000,216.000000,lumi.4cf8cdf3c8dcfa2,2,1682434800000
21,1682515641618,0.3.85,1682521200000,0.000000,lumi.4cf8cdf3c8dcfa2,1,1682434800000
20,,0.3.85,1682607600000,160.41127,lumi.4cf8cdf3c8dcfa2,3,1682521200000
19,1682555625056,0.3.85,1682607600000,215.000000,lumi.4cf8cdf3c8dcfa2,2,1682521200000
18,1682597366245,0.3.85,1682607600000,0.000000,lumi.4cf8cdf3c8dcfa2,1,1682521200000
17,,0.3.85,1682694000000,72.866906,lumi.4cf8cdf3c8dcfa2,3,1682607600000
16,1682660047076,0.3.85,1682694000000,205.000000,lumi.4cf8cdf3c8dcfa2,2,1682607600000
15,1682693270166,0.3.85,1682694000000,0.000000,lumi.4cf8cdf3c8dcfa2,1,1682607600000
14,,0.3.85,1682780400000,111.888172,lumi.4cf8cdf3c8dcfa2,3,1682694000000
13,1682758361613,0.3.85,1682780400000,203.000000,lumi.4cf8cdf3c8dcfa2,2,1682694000000
12,1682778794702,0.3.85,1682780400000,0.000000,lumi.4cf8cdf3c8dcfa2,1,1682694000000
11,,0.3.85,1682866800000,82.847348,lumi.4cf8cdf3c8dcfa2,3,1682780400000
10,1682865359994,0.3.85,1682866800000,204.000000,lumi.4cf8cdf3c8dcfa2,2,1682780400000
9,1682798530002,0.3.85,1682866800000,0.000000,lumi.4cf8cdf3c8dcfa2,1,1682780400000
8,,0.3.85,1682953200000,130.052721,lumi.4cf8cdf3c8dcfa2,3,1682866800000
7,1682900509282,0.3.85,1682953200000,221.000000,lumi.4cf8cdf3c8dcfa2,2,1682866800000
6,1682925905220,0.3.85,1682953200000,3.000000,lumi.4cf8cdf3c8dcfa2,1,1682866800000
5,,0.3.85,1683039600000,102.391018,lumi.4cf8cdf3c8dcfa2,3,1682953200000
4,1683002379222,0.3.85,1683039600000,218.000000,lumi.4cf8cdf3c8dcfa2,2,1682953200000
3,1682976288087,0.3.85,1683039600000,5.000000,lumi.4cf8cdf3c8dcfa2,1,1682953200000
2,,0.3.85,1683126000000,120.719483,lumi.4cf8cdf3c8dcfa2,3,1683039600000
1,1683079755030,0.3.85,1683126000000,217.000000,lumi.4cf8cdf3c8dcfa2,2,1683039600000
0,1683058508990,0.3.85,1683126000000,0.000000,lumi.4cf8cdf3c8dcfa2,1,1683039600000
