,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
35,,0.3.85,1682694000000,101530.95068,lumi.54ef4410004b2401,3,1682607600000
34,,0.2.85,1682694000000,5447.703704,lumi.54ef4410004b2401,3,1682607600000
33,,0.1.85,1682694000000,2406.12931,lumi.54ef4410004b2401,3,1682607600000
32,1682660530819,0.1.85,1682694000000,2581.000000,lumi.54ef4410004b2401,2,1682607600000
31,1682634685746,0.3.85,1682694000000,102280.000000,lumi.54ef4410004b2401,2,1682607600000
30,1682648248109,0.2.85,1682694000000,6321.000000,lumi.54ef4410004b2401,2,1682607600000
29,1682667094067,0.2.85,1682694000000,4644.000000,lumi.54ef4410004b2401,1,1682607600000
28,1682664765450,0.3.85,1682694000000,100810.000000,lumi.54ef4410004b2401,1,1682607600000
27,1682630998224,0.1.85,1682694000000,2228.000000,lumi.54ef4410004b2401,1,1682607600000
26,,0.3.85,1682780400000,100720.44686,lumi.54ef4410004b2401,3,1682694000000
25,,0.2.85,1682780400000,5753.057692,lumi.54ef4410004b2401,3,1682694000000
24,,0.1.85,1682780400000,2381.571429,lumi.54ef4410004b2401,3,1682694000000
23,1682696628167,0.1.85,1682780400000,2463.000000,lumi.54ef4410004b2401,2,1682694000000
22,1682779935438,0.3.85,1682780400000,101080.000000,lumi.54ef4410004b2401,2,1682694000000
21,1682778665386,0.2.85,1682780400000,6554.000000,lumi.54ef4410004b2401,2,1682694000000
20,1682699909717,0.2.85,1682780400000,5200.000000,lumi.54ef4410004b2401,1,1682694000000
19,1682742569180,0.3.85,1682780400000,100500.000000,lumi.54ef4410004b2401,1,1682694000000
18,1682753891062,0.1.85,1682780400000,2291.000000,lumi.54ef4410004b2401,1,1682694000000
17,,0.2.85,1682866800000,5288.005556,lumi.54ef4410004b2401,3,1682780400000
16,,0.1.85,1682866800000,2309.982759,lumi.54ef4410004b2401,3,1682780400000
15,1682863633078,0.1.85,1682866800000,2445.000000,lumi.54ef4410004b2401,2,1682780400000
14,1682781946916,0.2.85,1682866800000,6518.000000,lumi.54ef4410004b2401,2,1682780400000
13,1682834835518,0.2.85,1682866800000,3466.000000,lumi.54ef4410004b2401,1,1682780400000
12,1682834450956,0.1.85,1682866800000,2231.000000,lumi.54ef4410004b2401,1,1682780400000
11,,0.3.85,1682866800000,101206.762963,lumi.54ef4410004b2401,3,1682780400000
10,1682811480757,0.3.85,1682866800000,101500.000000,lumi.54ef4410004b2401,2,1682780400000
9,1682847576407,0.3.85,1682866800000,100800.000000,lumi.54ef4410004b2401,1,1682780400000
8,,0.2.85,1682953200000,5120.5,lumi.54ef4410004b2401,3,1682866800000
7,,0.1.85,1682953200000,2373.833333,lumi.54ef4410004b2401,3,1682866800000
6,1682870544056,0.1.85,1682953200000,2453.000000,lumi.54ef4410004b2401,2,1682866800000
5,1682893508858,0.2.85,1682953200000,5503.000000,lumi.54ef4410004b2401,2,1682866800000
4,1682903701388,0.2.85,1682953200000,3659.000000,lumi.54ef4410004b2401,1,1682866800000
3,1682904062008,0.1.85,1682953200000,2129.000000,lumi.54ef4410004b2401,1,1682866800000
2,,0.3.85,1682953200000,101432.365079,lumi.54ef4410004b2401,3,1682866800000
1,1682904400728,0.3.85,1682953200000,102390.000000,lumi.54ef4410004b2401,2,1682866800000
0,1682867176028,0.3.85,1682953200000,100990.000000,lumi.54ef4410004b2401,1,1682866800000
