,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
10,,13.1.85,1682348400000,"{""1"":6}",lumi.158d0008d0cf9a,4,1682262000000
9,,13.1.85,1682434800000,"{""1"":2}",lumi.158d0008d0cf9a,4,1682348400000
8,,13.1.85,1682521200000,"{""1"":5,""2"":1}",lumi.158d0008d0cf9a,4,1682434800000
7,,13.1.85,1682607600000,"{""1"":2}",lumi.158d0008d0cf9a,4,1682521200000
6,,13.1.85,1682694000000,"{""1"":5,""2"":1}",lumi.158d0008d0cf9a,4,1682607600000
5,,13.1.85,1682780400000,"{""1"":8,""2"":1}",lumi.158d0008d0cf9a,4,1682694000000
4,,13.1.85,1682866800000,"{""1"":3}",lumi.158d0008d0cf9a,4,1682780400000
3,,13.1.85,1682953200000,"{""1"":4}",lumi.158d0008d0cf9a,4,1682866800000
2,,13.1.85,1683039600000,"{""1"":3}",lumi.158d0008d0cf9a,4,1682953200000
1,,13.1.85,1683126000000,"{""1"":3}",lumi.158d0008d0cf9a,4,1683039600000
0,1683143122874,13.1.85,1683212400000,"{""1"":3}",lumi.158d0008d0cf9a,4,1683126000000
