,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
248,,0.3.85,"05/27/2023, 02:30:00",157.0,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 02:00:00"
247,"05/27/2023, 02:22:23",0.3.85,"05/27/2023, 02:30:00",157.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 02:00:00"
246,"05/27/2023, 02:22:23",0.3.85,"05/27/2023, 02:30:00",157.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 02:00:00"
245,,0.3.85,"05/27/2023, 03:30:00",179.0,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 03:00:00"
244,"05/27/2023, 03:13:13",0.3.85,"05/27/2023, 03:30:00",179.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 03:00:00"
243,"05/27/2023, 03:13:13",0.3.85,"05/27/2023, 03:30:00",179.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 03:00:00"
242,,0.3.85,"05/27/2023, 04:30:00",159.0,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 04:00:00"
241,"05/27/2023, 04:12:02",0.3.85,"05/27/2023, 04:30:00",159.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 04:00:00"
240,"05/27/2023, 04:12:02",0.3.85,"05/27/2023, 04:30:00",159.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 04:00:00"
239,,0.3.85,"05/27/2023, 05:00:00",110.666667,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 04:30:00"
238,"05/27/2023, 04:40:53",0.3.85,"05/27/2023, 05:00:00",180.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 04:30:00"
237,"05/27/2023, 04:41:47",0.3.85,"05/27/2023, 05:00:00",0.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 04:30:00"
236,,0.3.85,"05/27/2023, 05:30:00",6.333333,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 05:00:00"
235,"05/27/2023, 05:29:43",0.3.85,"05/27/2023, 05:30:00",18.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 05:00:00"
234,"05/27/2023, 05:06:52",0.3.85,"05/27/2023, 05:30:00",0.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 05:00:00"
233,,0.3.85,"05/27/2023, 07:00:00",7.0,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 06:30:00"
232,"05/27/2023, 06:56:31",0.3.85,"05/27/2023, 07:00:00",7.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 06:30:00"
231,"05/27/2023, 06:56:31",0.3.85,"05/27/2023, 07:00:00",7.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 06:30:00"
230,,0.3.85,"05/27/2023, 08:00:00",17.0,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 07:30:00"
229,"05/27/2023, 07:51:21",0.3.85,"05/27/2023, 08:00:00",20.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 07:30:00"
228,"05/27/2023, 07:39:03",0.3.85,"05/27/2023, 08:00:00",14.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 07:30:00"
227,,0.3.85,"05/27/2023, 08:30:00",28.0,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 08:00:00"
226,"05/27/2023, 08:29:04",0.3.85,"05/27/2023, 08:30:00",35.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 08:00:00"
225,"05/27/2023, 08:20:21",0.3.85,"05/27/2023, 08:30:00",21.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 08:00:00"
224,,0.3.85,"05/27/2023, 09:30:00",24.5,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 09:00:00"
223,"05/27/2023, 09:08:17",0.3.85,"05/27/2023, 09:30:00",28.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 09:00:00"
222,"05/27/2023, 09:12:06",0.3.85,"05/27/2023, 09:30:00",21.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 09:00:00"
221,,0.3.85,"05/27/2023, 11:00:00",25.666667,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 10:30:00"
220,"05/27/2023, 10:32:40",0.3.85,"05/27/2023, 11:00:00",28.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 10:30:00"
219,"05/27/2023, 10:49:43",0.3.85,"05/27/2023, 11:00:00",21.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 10:30:00"
218,,0.3.85,"05/27/2023, 12:00:00",19.0,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 11:30:00"
217,"05/27/2023, 11:30:39",0.3.85,"05/27/2023, 12:00:00",24.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 11:30:00"
216,"05/27/2023, 11:45:37",0.3.85,"05/27/2023, 12:00:00",14.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 11:30:00"
215,,0.3.85,"05/27/2023, 13:00:00",34.111111,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 12:30:00"
214,"05/27/2023, 12:43:31",0.3.85,"05/27/2023, 13:00:00",50.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 12:30:00"
213,"05/27/2023, 12:49:15",0.3.85,"05/27/2023, 13:00:00",20.000000,lumi.4cf8cdf3c8dd60b,1,"05/27/2023, 12:30:00"
212,,0.3.85,"05/27/2023, 13:30:00",34.0,lumi.4cf8cdf3c8dd60b,3,"05/27/2023, 13:00:00"
211,"05/27/2023, 13:13:20",0.3.85,"05/27/2023, 13:30:00",42.000000,lumi.4cf8cdf3c8dd60b,2,"05/27/2023, 13:00:00"
