,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
42,,13.1.85,"05/30/2023, 00:30:00","{""2"":1}",lumi.158d0008d0cf4d,4,"05/30/2023, 00:00:00"
41,,13.1.85,"05/30/2023, 01:00:00","{""1"":2,""2"":1}",lumi.158d0008d0cf4d,4,"05/30/2023, 00:30:00"
40,,13.1.85,"05/30/2023, 01:30:00","{""1"":2,""2"":5}",lumi.158d0008d0cf4d,4,"05/30/2023, 01:00:00"
39,,13.1.85,"05/30/2023, 02:00:00","{""1"":3,""2"":13}",lumi.158d0008d0cf4d,4,"05/30/2023, 01:30:00"
38,,13.1.85,"05/30/2023, 02:30:00","{""1"":1,""2"":13}",lumi.158d0008d0cf4d,4,"05/30/2023, 02:00:00"
37,,13.1.85,"05/30/2023, 03:00:00","{""1"":4,""2"":23}",lumi.158d0008d0cf4d,4,"05/30/2023, 02:30:00"
36,,13.1.85,"05/30/2023, 03:30:00","{""1"":1,""2"":18}",lumi.158d0008d0cf4d,4,"05/30/2023, 03:00:00"
35,,13.1.85,"05/30/2023, 04:00:00","{""1"":3,""2"":6}",lumi.158d0008d0cf4d,4,"05/30/2023, 03:30:00"
34,,13.1.85,"05/30/2023, 04:30:00","{""2"":2}",lumi.158d0008d0cf4d,4,"05/30/2023, 04:00:00"
33,,13.1.85,"05/30/2023, 05:00:00","{""1"":1,""2"":1}",lumi.158d0008d0cf4d,4,"05/30/2023, 04:30:00"
32,,13.1.85,"05/30/2023, 10:30:00","{""1"":1,""2"":3}",lumi.158d0008d0cf4d,4,"05/30/2023, 10:00:00"
31,,13.1.85,"05/31/2023, 03:00:00","{""1"":1,""2"":12}",lumi.158d0008d0cf4d,4,"05/31/2023, 02:30:00"
30,,13.1.85,"05/31/2023, 03:30:00","{""2"":3}",lumi.158d0008d0cf4d,4,"05/31/2023, 03:00:00"
29,,13.1.85,"05/31/2023, 04:00:00","{""1"":2,""2"":6}",lumi.158d0008d0cf4d,4,"05/31/2023, 03:30:00"
28,,13.1.85,"05/31/2023, 04:30:00","{""2"":8}",lumi.158d0008d0cf4d,4,"05/31/2023, 04:00:00"
27,,13.1.85,"05/31/2023, 05:00:00","{""1"":1,""2"":4}",lumi.158d0008d0cf4d,4,"05/31/2023, 04:30:00"
26,,13.1.85,"05/31/2023, 05:30:00","{""1"":1,""2"":3}",lumi.158d0008d0cf4d,4,"05/31/2023, 05:00:00"
25,,13.1.85,"05/31/2023, 06:00:00","{""1"":3,""2"":6}",lumi.158d0008d0cf4d,4,"05/31/2023, 05:30:00"
24,,13.1.85,"05/31/2023, 06:30:00","{""1"":1,""2"":4}",lumi.158d0008d0cf4d,4,"05/31/2023, 06:00:00"
23,,13.1.85,"05/31/2023, 14:30:00","{""1"":1,""2"":2}",lumi.158d0008d0cf4d,4,"05/31/2023, 14:00:00"
22,,13.1.85,"05/31/2023, 21:30:00","{""2"":4}",lumi.158d0008d0cf4d,4,"05/31/2023, 21:00:00"
21,,13.1.85,"05/31/2023, 22:00:00","{""1"":3,""2"":9}",lumi.158d0008d0cf4d,4,"05/31/2023, 21:30:00"
20,,13.1.85,"05/31/2023, 22:30:00","{""1"":1,""2"":2}",lumi.158d0008d0cf4d,4,"05/31/2023, 22:00:00"
19,,13.1.85,"05/31/2023, 23:00:00","{""1"":1,""2"":2}",lumi.158d0008d0cf4d,4,"05/31/2023, 22:30:00"
18,,13.1.85,"05/31/2023, 23:30:00","{""2"":1}",lumi.158d0008d0cf4d,4,"05/31/2023, 23:00:00"
17,,13.1.85,"06/01/2023, 00:00:00","{""1"":2,""2"":8}",lumi.158d0008d0cf4d,4,"05/31/2023, 23:30:00"
16,,13.1.85,"06/01/2023, 00:30:00","{""2"":3}",lumi.158d0008d0cf4d,4,"06/01/2023, 00:00:00"
15,,13.1.85,"06/01/2023, 01:00:00","{""1"":1,""2"":3}",lumi.158d0008d0cf4d,4,"06/01/2023, 00:30:00"
14,,13.1.85,"06/01/2023, 01:30:00","{""2"":4}",lumi.158d0008d0cf4d,4,"06/01/2023, 01:00:00"
13,,13.1.85,"06/01/2023, 02:00:00","{""1"":1,""2"":9}",lumi.158d0008d0cf4d,4,"06/01/2023, 01:30:00"
12,,13.1.85,"06/01/2023, 02:30:00","{""1"":1,""2"":6}",lumi.158d0008d0cf4d,4,"06/01/2023, 02:00:00"
11,,13.1.85,"06/01/2023, 03:00:00","{""1"":2,""2"":4}",lumi.158d0008d0cf4d,4,"06/01/2023, 02:30:00"
10,,13.1.85,"06/01/2023, 03:30:00","{""1"":1,""2"":2}",lumi.158d0008d0cf4d,4,"06/01/2023, 03:00:00"
9,,13.1.85,"06/01/2023, 04:30:00","{""1"":3,""2"":7}",lumi.158d0008d0cf4d,4,"06/01/2023, 04:00:00"
8,,13.1.85,"06/01/2023, 05:00:00","{""1"":2,""2"":3}",lumi.158d0008d0cf4d,4,"06/01/2023, 04:30:00"
7,,13.1.85,"06/01/2023, 05:30:00","{""2"":2}",lumi.158d0008d0cf4d,4,"06/01/2023, 05:00:00"
6,,13.1.85,"06/01/2023, 06:00:00","{""1"":2,""2"":1}",lumi.158d0008d0cf4d,4,"06/01/2023, 05:30:00"
5,,13.1.85,"06/01/2023, 06:30:00","{""1"":1}",lumi.158d0008d0cf4d,4,"06/01/2023, 06:00:00"
4,,13.1.85,"06/01/2023, 14:30:00","{""1"":1,""2"":2}",lumi.158d0008d0cf4d,4,"06/01/2023, 14:00:00"
3,,13.1.85,"06/01/2023, 15:00:00","{""1"":1,""2"":1}",lumi.158d0008d0cf4d,4,"06/01/2023, 14:30:00"
2,,13.1.85,"06/01/2023, 15:30:00","{""1"":2,""2"":4}",lumi.158d0008d0cf4d,4,"06/01/2023, 15:00:00"
1,,13.1.85,"06/01/2023, 16:00:00","{""1"":1,""2"":3}",lumi.158d0008d0cf4d,4,"06/01/2023, 15:30:00"
0,,13.1.85,"06/01/2023, 16:30:00","{""1"":2,""2"":3}",lumi.158d0008d0cf4d,4,"06/01/2023, 16:00:00"
