,timeStamp,resourceId,value,subjectId
15,"10/15/2023, 02:58:39",13.1.85,1,lumi.158d0008d0cf9a
14,"10/15/2023, 04:38:26",13.1.85,1,lumi.158d0008d0cf9a
13,"10/15/2023, 13:44:50",13.1.85,1,lumi.158d0008d0cf9a
12,"10/15/2023, 16:10:06",13.1.85,1,lumi.158d0008d0cf9a
11,"10/15/2023, 17:49:28",13.1.85,1,lumi.158d0008d0cf9a
10,"10/15/2023, 23:17:49",13.1.85,1,lumi.158d0008d0cf9a
9,"10/16/2023, 02:45:20",13.1.85,1,lumi.158d0008d0cf9a
8,"10/16/2023, 10:02:26",13.1.85,1,lumi.158d0008d0cf9a
7,"10/16/2023, 14:48:04",13.1.85,1,lumi.158d0008d0cf9a
6,"10/16/2023, 14:48:39",13.1.85,2,lumi.158d0008d0cf9a
5,"10/16/2023, 14:51:01",13.1.85,1,lumi.158d0008d0cf9a
4,"10/16/2023, 18:57:45",13.1.85,1,lumi.158d0008d0cf9a
3,"10/16/2023, 19:20:52",13.1.85,1,lumi.158d0008d0cf9a
2,"10/16/2023, 21:10:17",13.1.85,1,lumi.158d0008d0cf9a
1,"10/16/2023, 23:10:09",13.1.85,1,lumi.158d0008d0cf9a
0,"10/16/2023, 23:49:37",13.1.85,1,lumi.158d0008d0cf9a
