,timeStamp,resourceId,value,subjectId
78,"11/05/2023, 00:26:01",0.3.85,146,lumi.4cf8cdf3c8dd60b
77,"11/05/2023, 01:20:49",0.3.85,152,lumi.4cf8cdf3c8dd60b
76,"11/05/2023, 03:10:27",0.3.85,152,lumi.4cf8cdf3c8dd60b
75,"11/05/2023, 03:25:06",0.3.85,102,lumi.4cf8cdf3c8dd60b
74,"11/05/2023, 03:25:11",0.3.85,84,lumi.4cf8cdf3c8dd60b
73,"11/05/2023, 03:25:21",0.3.85,60,lumi.4cf8cdf3c8dd60b
72,"11/05/2023, 03:25:26",0.3.85,142,lumi.4cf8cdf3c8dd60b
71,"11/05/2023, 04:05:16",0.3.85,148,lumi.4cf8cdf3c8dd60b
70,"11/05/2023, 05:54:54",0.3.85,145,lumi.4cf8cdf3c8dd60b
69,"11/05/2023, 06:49:42",0.3.85,147,lumi.4cf8cdf3c8dd60b
68,"11/05/2023, 07:44:31",0.3.85,153,lumi.4cf8cdf3c8dd60b
67,"11/05/2023, 08:23:59",0.3.85,25,lumi.4cf8cdf3c8dd60b
66,"11/05/2023, 08:24:04",0.3.85,10,lumi.4cf8cdf3c8dd60b
65,"11/05/2023, 08:39:20",0.3.85,16,lumi.4cf8cdf3c8dd60b
64,"11/05/2023, 08:42:46",0.3.85,17,lumi.4cf8cdf3c8dd60b
63,"11/05/2023, 08:53:24",0.3.85,24,lumi.4cf8cdf3c8dd60b
62,"11/05/2023, 09:03:12",0.3.85,31,lumi.4cf8cdf3c8dd60b
61,"11/05/2023, 09:06:16",0.3.85,38,lumi.4cf8cdf3c8dd60b
60,"11/05/2023, 09:07:45",0.3.85,45,lumi.4cf8cdf3c8dd60b
59,"11/05/2023, 09:16:58",0.3.85,54,lumi.4cf8cdf3c8dd60b
58,"11/05/2023, 09:34:09",0.3.85,58,lumi.4cf8cdf3c8dd60b
57,"11/05/2023, 09:44:34",0.3.85,64,lumi.4cf8cdf3c8dd60b
56,"11/05/2023, 09:45:58",0.3.85,76,lumi.4cf8cdf3c8dd60b
55,"11/05/2023, 09:49:52",0.3.85,64,lumi.4cf8cdf3c8dd60b
54,"11/05/2023, 09:51:52",0.3.85,78,lumi.4cf8cdf3c8dd60b
53,"11/05/2023, 09:52:07",0.3.85,64,lumi.4cf8cdf3c8dd60b
52,"11/05/2023, 09:55:21",0.3.85,78,lumi.4cf8cdf3c8dd60b
51,"11/05/2023, 09:55:26",0.3.85,93,lumi.4cf8cdf3c8dd60b
50,"11/05/2023, 09:55:51",0.3.85,76,lumi.4cf8cdf3c8dd60b
49,"11/05/2023, 09:56:16",0.3.85,98,lumi.4cf8cdf3c8dd60b
48,"11/05/2023, 09:56:41",0.3.85,125,lumi.4cf8cdf3c8dd60b
47,"11/05/2023, 09:57:01",0.3.85,98,lumi.4cf8cdf3c8dd60b
46,"11/05/2023, 09:57:21",0.3.85,116,lumi.4cf8cdf3c8dd60b
45,"11/05/2023, 10:07:33",0.3.85,96,lumi.4cf8cdf3c8dd60b
44,"11/05/2023, 10:10:18",0.3.85,118,lumi.4cf8cdf3c8dd60b
43,"11/05/2023, 10:11:12",0.3.85,97,lumi.4cf8cdf3c8dd60b
42,"11/05/2023, 10:11:57",0.3.85,82,lumi.4cf8cdf3c8dd60b
41,"11/05/2023, 10:13:12",0.3.85,97,lumi.4cf8cdf3c8dd60b
40,"11/05/2023, 10:14:17",0.3.85,119,lumi.4cf8cdf3c8dd60b
39,"11/05/2023, 10:15:41",0.3.85,101,lumi.4cf8cdf3c8dd60b
38,"11/05/2023, 10:18:11",0.3.85,125,lumi.4cf8cdf3c8dd60b
37,"11/05/2023, 10:21:55",0.3.85,150,lumi.4cf8cdf3c8dd60b
36,"11/05/2023, 10:23:29",0.3.85,177,lumi.4cf8cdf3c8dd60b
35,"11/05/2023, 10:28:13",0.3.85,148,lumi.4cf8cdf3c8dd60b
34,"11/05/2023, 10:28:58",0.3.85,140,lumi.4cf8cdf3c8dd60b
33,"11/05/2023, 10:35:24",0.3.85,112,lumi.4cf8cdf3c8dd60b
32,"11/05/2023, 10:36:58",0.3.85,133,lumi.4cf8cdf3c8dd60b
31,"11/05/2023, 10:37:23",0.3.85,112,lumi.4cf8cdf3c8dd60b
30,"11/05/2023, 10:37:53",0.3.85,140,lumi.4cf8cdf3c8dd60b
29,"11/05/2023, 10:38:23",0.3.85,107,lumi.4cf8cdf3c8dd60b
28,"11/05/2023, 10:38:43",0.3.85,131,lumi.4cf8cdf3c8dd60b
27,"11/05/2023, 10:38:53",0.3.85,157,lumi.4cf8cdf3c8dd60b
26,"11/05/2023, 10:42:47",0.3.85,128,lumi.4cf8cdf3c8dd60b
25,"11/05/2023, 10:42:57",0.3.85,103,lumi.4cf8cdf3c8dd60b
24,"11/05/2023, 10:43:07",0.3.85,86,lumi.4cf8cdf3c8dd60b
23,"11/05/2023, 10:43:47",0.3.85,71,lumi.4cf8cdf3c8dd60b
22,"11/05/2023, 10:47:41",0.3.85,60,lumi.4cf8cdf3c8dd60b
21,"11/05/2023, 11:01:13",0.3.85,71,lumi.4cf8cdf3c8dd60b
20,"11/05/2023, 11:05:02",0.3.85,85,lumi.4cf8cdf3c8dd60b
19,"11/05/2023, 11:05:32",0.3.85,104,lumi.4cf8cdf3c8dd60b
18,"11/05/2023, 11:07:06",0.3.85,123,lumi.4cf8cdf3c8dd60b
17,"11/05/2023, 11:13:45",0.3.85,102,lumi.4cf8cdf3c8dd60b
16,"11/05/2023, 11:22:03",0.3.85,122,lumi.4cf8cdf3c8dd60b
15,"11/05/2023, 11:23:47",0.3.85,130,lumi.4cf8cdf3c8dd60b
14,"11/05/2023, 11:28:13",0.3.85,144,lumi.4cf8cdf3c8dd60b
13,"11/05/2023, 11:29:58",0.3.85,114,lumi.4cf8cdf3c8dd60b
12,"11/05/2023, 11:32:37",0.3.85,94,lumi.4cf8cdf3c8dd60b
11,"11/05/2023, 11:33:12",0.3.85,78,lumi.4cf8cdf3c8dd60b
10,"11/05/2023, 11:34:07",0.3.85,66,lumi.4cf8cdf3c8dd60b
9,"11/05/2023, 11:36:56",0.3.85,79,lumi.4cf8cdf3c8dd60b
8,"11/05/2023, 11:38:11",0.3.85,98,lumi.4cf8cdf3c8dd60b
7,"11/05/2023, 11:39:11",0.3.85,120,lumi.4cf8cdf3c8dd60b
6,"11/05/2023, 11:39:45",0.3.85,149,lumi.4cf8cdf3c8dd60b
5,"11/05/2023, 11:40:45",0.3.85,115,lumi.4cf8cdf3c8dd60b
4,"11/05/2023, 11:41:00",0.3.85,147,lumi.4cf8cdf3c8dd60b
3,"11/05/2023, 11:41:10",0.3.85,97,lumi.4cf8cdf3c8dd60b
2,"11/05/2023, 11:45:14",0.3.85,82,lumi.4cf8cdf3c8dd60b
1,"11/05/2023, 11:50:13",0.3.85,69,lumi.4cf8cdf3c8dd60b
0,"11/05/2023, 11:56:22",0.3.85,58,lumi.4cf8cdf3c8dd60b
