,timeStamp,resourceId,value,subjectId
299,"11/06/2023, 14:19:09",0.2.85,6839,lumi.54ef4410004b1712
298,"11/06/2023, 14:19:09",0.3.85,100600,lumi.54ef4410004b1712
297,"11/06/2023, 14:20:16",0.3.85,100670,lumi.54ef4410004b1712
296,"11/06/2023, 14:29:13",0.3.85,100700,lumi.54ef4410004b1712
295,"11/06/2023, 14:30:51",0.3.85,100670,lumi.54ef4410004b1712
294,"11/06/2023, 14:32:19",0.3.85,100700,lumi.54ef4410004b1712
293,"11/06/2023, 14:38:53",0.2.85,6279,lumi.54ef4410004b1712
292,"11/06/2023, 14:44:11",0.2.85,5628,lumi.54ef4410004b1712
291,"11/06/2023, 14:49:06",0.3.85,100730,lumi.54ef4410004b1712
290,"11/06/2023, 14:49:39",0.3.85,100680,lumi.54ef4410004b1712
289,"11/06/2023, 14:50:01",0.3.85,100730,lumi.54ef4410004b1712
288,"11/06/2023, 14:51:40",0.2.85,4988,lumi.54ef4410004b1712
287,"11/06/2023, 14:54:35",0.3.85,100700,lumi.54ef4410004b1712
286,"11/06/2023, 14:56:35",0.3.85,100730,lumi.54ef4410004b1712
285,"11/06/2023, 14:58:03",0.1.85,2701,lumi.54ef4410004b1712
284,"11/06/2023, 15:00:36",0.3.85,100700,lumi.54ef4410004b1712
283,"11/06/2023, 15:00:58",0.3.85,100730,lumi.54ef4410004b1712
282,"11/06/2023, 15:01:42",0.3.85,100700,lumi.54ef4410004b1712
281,"11/06/2023, 15:02:15",0.3.85,100730,lumi.54ef4410004b1712
280,"11/06/2023, 15:03:09",0.3.85,100700,lumi.54ef4410004b1712
279,"11/06/2023, 15:03:53",0.3.85,100730,lumi.54ef4410004b1712
278,"11/06/2023, 15:09:33",0.3.85,100760,lumi.54ef4410004b1712
277,"11/06/2023, 15:10:16",0.3.85,100730,lumi.54ef4410004b1712
276,"11/06/2023, 15:12:06",0.3.85,100760,lumi.54ef4410004b1712
275,"11/06/2023, 15:12:39",0.3.85,100730,lumi.54ef4410004b1712
274,"11/06/2023, 15:13:56",0.1.85,2684,lumi.54ef4410004b1712
273,"11/06/2023, 15:13:56",0.2.85,4493,lumi.54ef4410004b1712
272,"11/06/2023, 15:13:56",0.3.85,100700,lumi.54ef4410004b1712
