,timeStamp,resourceId,value,subjectId
136,"11/18/2023, 09:27:42",13.1.85,2,lumi.158d0008d0cf4d
135,"11/18/2023, 17:07:18",13.1.85,2,lumi.158d0008d0cf4d
134,"11/18/2023, 17:09:39",13.1.85,2,lumi.158d0008d0cf4d
133,"11/18/2023, 17:12:51",13.1.85,1,lumi.158d0008d0cf4d
132,"11/18/2023, 17:12:52",13.1.85,2,lumi.158d0008d0cf4d
131,"11/18/2023, 17:13:18",13.1.85,2,lumi.158d0008d0cf4d
130,"11/18/2023, 17:13:30",13.1.85,2,lumi.158d0008d0cf4d
129,"11/18/2023, 17:14:14",13.1.85,2,lumi.158d0008d0cf4d
128,"11/18/2023, 17:16:22",13.1.85,2,lumi.158d0008d0cf4d
127,"11/18/2023, 17:18:19",13.1.85,2,lumi.158d0008d0cf4d
126,"11/18/2023, 17:19:34",13.1.85,1,lumi.158d0008d0cf4d
125,"11/18/2023, 17:19:35",13.1.85,2,lumi.158d0008d0cf4d
124,"11/18/2023, 17:19:54",13.1.85,2,lumi.158d0008d0cf4d
123,"11/18/2023, 17:26:45",13.1.85,1,lumi.158d0008d0cf4d
122,"11/18/2023, 17:26:46",13.1.85,2,lumi.158d0008d0cf4d
121,"11/18/2023, 17:41:57",13.1.85,2,lumi.158d0008d0cf4d
120,"11/18/2023, 17:42:04",13.1.85,2,lumi.158d0008d0cf4d
119,"11/18/2023, 17:50:14",13.1.85,2,lumi.158d0008d0cf4d
118,"11/18/2023, 17:59:17",13.1.85,2,lumi.158d0008d0cf4d
117,"11/18/2023, 18:05:31",13.1.85,1,lumi.158d0008d0cf4d
116,"11/18/2023, 18:08:08",13.1.85,2,lumi.158d0008d0cf4d
115,"11/18/2023, 18:34:06",13.1.85,2,lumi.158d0008d0cf4d
114,"11/18/2023, 18:42:51",13.1.85,1,lumi.158d0008d0cf4d
113,"11/18/2023, 18:42:52",13.1.85,2,lumi.158d0008d0cf4d
112,"11/18/2023, 18:44:25",13.1.85,2,lumi.158d0008d0cf4d
111,"11/18/2023, 18:46:53",13.1.85,2,lumi.158d0008d0cf4d
110,"11/18/2023, 18:52:27",13.1.85,2,lumi.158d0008d0cf4d
109,"11/18/2023, 19:00:33",13.1.85,2,lumi.158d0008d0cf4d
108,"11/18/2023, 19:00:39",13.1.85,2,lumi.158d0008d0cf4d
107,"11/18/2023, 19:02:14",13.1.85,1,lumi.158d0008d0cf4d
106,"11/18/2023, 19:06:32",13.1.85,1,lumi.158d0008d0cf4d
105,"11/18/2023, 19:06:33",13.1.85,2,lumi.158d0008d0cf4d
104,"11/18/2023, 19:10:09",13.1.85,2,lumi.158d0008d0cf4d
103,"11/18/2023, 19:10:27",13.1.85,1,lumi.158d0008d0cf4d
102,"11/18/2023, 19:10:28",13.1.85,2,lumi.158d0008d0cf4d
101,"11/18/2023, 19:10:34",13.1.85,2,lumi.158d0008d0cf4d
100,"11/18/2023, 19:11:46",13.1.85,1,lumi.158d0008d0cf4d
99,"11/18/2023, 19:11:47",13.1.85,2,lumi.158d0008d0cf4d
98,"11/18/2023, 19:13:11",13.1.85,1,lumi.158d0008d0cf4d
97,"11/18/2023, 19:13:13",13.1.85,2,lumi.158d0008d0cf4d
96,"11/18/2023, 19:13:41",13.1.85,2,lumi.158d0008d0cf4d
95,"11/18/2023, 19:13:47",13.1.85,2,lumi.158d0008d0cf4d
94,"11/18/2023, 20:53:53",13.1.85,1,lumi.158d0008d0cf4d
93,"11/18/2023, 21:01:28",13.1.85,2,lumi.158d0008d0cf4d
92,"11/18/2023, 21:01:55",13.1.85,1,lumi.158d0008d0cf4d
91,"11/18/2023, 21:01:59",13.1.85,2,lumi.158d0008d0cf4d
90,"11/18/2023, 21:03:05",13.1.85,2,lumi.158d0008d0cf4d
89,"11/18/2023, 21:03:11",13.1.85,2,lumi.158d0008d0cf4d
88,"11/18/2023, 21:03:17",13.1.85,2,lumi.158d0008d0cf4d
87,"11/18/2023, 21:05:09",13.1.85,1,lumi.158d0008d0cf4d
86,"11/18/2023, 21:06:05",13.1.85,2,lumi.158d0008d0cf4d
85,"11/18/2023, 21:06:19",13.1.85,2,lumi.158d0008d0cf4d
84,"11/18/2023, 21:06:22",13.1.85,1,lumi.158d0008d0cf4d
83,"11/18/2023, 21:08:02",13.1.85,2,lumi.158d0008d0cf4d
82,"11/18/2023, 21:08:20",13.1.85,2,lumi.158d0008d0cf4d
81,"11/18/2023, 21:08:24",13.1.85,2,lumi.158d0008d0cf4d
80,"11/18/2023, 21:10:34",13.1.85,2,lumi.158d0008d0cf4d
79,"11/18/2023, 21:12:03",13.1.85,1,lumi.158d0008d0cf4d
78,"11/18/2023, 21:12:05",13.1.85,2,lumi.158d0008d0cf4d
77,"11/18/2023, 21:14:07",13.1.85,1,lumi.158d0008d0cf4d
76,"11/18/2023, 21:14:08",13.1.85,2,lumi.158d0008d0cf4d
75,"11/18/2023, 21:14:48",13.1.85,2,lumi.158d0008d0cf4d
74,"11/18/2023, 21:15:04",13.1.85,2,lumi.158d0008d0cf4d
73,"11/18/2023, 21:15:43",13.1.85,2,lumi.158d0008d0cf4d
72,"11/18/2023, 21:16:05",13.1.85,2,lumi.158d0008d0cf4d
71,"11/18/2023, 21:17:14",13.1.85,2,lumi.158d0008d0cf4d
70,"11/18/2023, 21:17:20",13.1.85,2,lumi.158d0008d0cf4d
69,"11/18/2023, 21:19:06",13.1.85,2,lumi.158d0008d0cf4d
68,"11/18/2023, 21:32:37",13.1.85,1,lumi.158d0008d0cf4d
67,"11/18/2023, 21:32:38",13.1.85,2,lumi.158d0008d0cf4d
66,"11/18/2023, 21:32:57",13.1.85,2,lumi.158d0008d0cf4d
65,"11/18/2023, 21:33:36",13.1.85,2,lumi.158d0008d0cf4d
64,"11/18/2023, 21:36:10",13.1.85,2,lumi.158d0008d0cf4d
63,"11/18/2023, 21:36:56",13.1.85,1,lumi.158d0008d0cf4d
62,"11/18/2023, 21:36:58",13.1.85,2,lumi.158d0008d0cf4d
61,"11/18/2023, 21:37:19",13.1.85,2,lumi.158d0008d0cf4d
60,"11/18/2023, 21:39:35",13.1.85,1,lumi.158d0008d0cf4d
59,"11/18/2023, 21:39:36",13.1.85,2,lumi.158d0008d0cf4d
58,"11/18/2023, 21:44:27",13.1.85,1,lumi.158d0008d0cf4d
57,"11/18/2023, 21:46:07",13.1.85,2,lumi.158d0008d0cf4d
56,"11/18/2023, 21:57:04",13.1.85,1,lumi.158d0008d0cf4d
55,"11/18/2023, 21:57:05",13.1.85,2,lumi.158d0008d0cf4d
54,"11/18/2023, 22:04:28",13.1.85,1,lumi.158d0008d0cf4d
53,"11/18/2023, 22:04:34",13.1.85,2,lumi.158d0008d0cf4d
52,"11/18/2023, 22:09:28",13.1.85,2,lumi.158d0008d0cf4d
51,"11/18/2023, 22:15:48",13.1.85,2,lumi.158d0008d0cf4d
50,"11/18/2023, 22:16:04",13.1.85,2,lumi.158d0008d0cf4d
49,"11/18/2023, 22:26:23",13.1.85,1,lumi.158d0008d0cf4d
48,"11/18/2023, 22:26:25",13.1.85,2,lumi.158d0008d0cf4d
47,"11/18/2023, 22:34:28",13.1.85,2,lumi.158d0008d0cf4d
46,"11/18/2023, 22:37:50",13.1.85,2,lumi.158d0008d0cf4d
45,"11/18/2023, 22:38:39",13.1.85,2,lumi.158d0008d0cf4d
44,"11/18/2023, 22:45:29",13.1.85,2,lumi.158d0008d0cf4d
43,"11/18/2023, 23:00:35",13.1.85,1,lumi.158d0008d0cf4d
42,"11/18/2023, 23:01:49",13.1.85,2,lumi.158d0008d0cf4d
41,"11/18/2023, 23:02:11",13.1.85,2,lumi.158d0008d0cf4d
40,"11/18/2023, 23:10:24",13.1.85,2,lumi.158d0008d0cf4d
39,"11/18/2023, 23:27:25",13.1.85,2,lumi.158d0008d0cf4d
38,"11/18/2023, 23:42:23",13.1.85,1,lumi.158d0008d0cf4d
37,"11/18/2023, 23:51:04",13.1.85,1,lumi.158d0008d0cf4d
36,"11/18/2023, 23:51:05",13.1.85,2,lumi.158d0008d0cf4d
35,"11/18/2023, 23:52:02",13.1.85,2,lumi.158d0008d0cf4d
34,"11/18/2023, 23:59:53",13.1.85,2,lumi.158d0008d0cf4d
33,"11/19/2023, 00:07:05",13.1.85,1,lumi.158d0008d0cf4d
32,"11/19/2023, 00:18:00",13.1.85,1,lumi.158d0008d0cf4d
31,"11/19/2023, 00:18:22",13.1.85,2,lumi.158d0008d0cf4d
30,"11/19/2023, 00:27:23",13.1.85,2,lumi.158d0008d0cf4d
29,"11/19/2023, 00:36:26",13.1.85,2,lumi.158d0008d0cf4d
28,"11/19/2023, 01:13:24",13.1.85,1,lumi.158d0008d0cf4d
27,"11/19/2023, 01:13:25",13.1.85,2,lumi.158d0008d0cf4d
26,"11/19/2023, 01:25:43",13.1.85,2,lumi.158d0008d0cf4d
25,"11/19/2023, 01:33:10",13.1.85,1,lumi.158d0008d0cf4d
24,"11/19/2023, 01:35:12",13.1.85,1,lumi.158d0008d0cf4d
23,"11/19/2023, 01:44:18",13.1.85,1,lumi.158d0008d0cf4d
22,"11/19/2023, 01:56:23",13.1.85,1,lumi.158d0008d0cf4d
21,"11/19/2023, 01:56:26",13.1.85,2,lumi.158d0008d0cf4d
20,"11/19/2023, 02:09:36",13.1.85,2,lumi.158d0008d0cf4d
19,"11/19/2023, 02:15:02",13.1.85,1,lumi.158d0008d0cf4d
18,"11/19/2023, 02:15:03",13.1.85,2,lumi.158d0008d0cf4d
17,"11/19/2023, 02:16:24",13.1.85,2,lumi.158d0008d0cf4d
16,"11/19/2023, 02:16:58",13.1.85,1,lumi.158d0008d0cf4d
15,"11/19/2023, 02:17:04",13.1.85,2,lumi.158d0008d0cf4d
14,"11/19/2023, 02:39:03",13.1.85,1,lumi.158d0008d0cf4d
13,"11/19/2023, 02:39:04",13.1.85,2,lumi.158d0008d0cf4d
12,"11/19/2023, 02:45:58",13.1.85,2,lumi.158d0008d0cf4d
11,"11/19/2023, 02:59:01",13.1.85,1,lumi.158d0008d0cf4d
10,"11/19/2023, 02:59:02",13.1.85,2,lumi.158d0008d0cf4d
9,"11/19/2023, 03:13:38",13.1.85,2,lumi.158d0008d0cf4d
8,"11/19/2023, 03:14:05",13.1.85,2,lumi.158d0008d0cf4d
7,"11/19/2023, 03:14:11",13.1.85,2,lumi.158d0008d0cf4d
6,"11/19/2023, 03:15:02",13.1.85,1,lumi.158d0008d0cf4d
5,"11/19/2023, 03:15:03",13.1.85,2,lumi.158d0008d0cf4d
4,"11/19/2023, 03:22:17",13.1.85,1,lumi.158d0008d0cf4d
3,"11/19/2023, 03:23:54",13.1.85,2,lumi.158d0008d0cf4d
2,"11/19/2023, 03:43:12",13.1.85,2,lumi.158d0008d0cf4d
1,"11/19/2023, 03:44:27",13.1.85,2,lumi.158d0008d0cf4d
0,"11/19/2023, 08:33:44",13.1.85,2,lumi.158d0008d0cf4d
