,timeStamp,resourceId,value,subjectId
13,"01/03/2024, 00:24:51",13.1.85,2,lumi.158d0008f34d6e
12,"01/03/2024, 12:06:19",13.1.85,1,lumi.158d0008f34d6e
11,"01/03/2024, 12:06:23",13.1.85,2,lumi.158d0008f34d6e
10,"01/03/2024, 12:10:13",13.1.85,1,lumi.158d0008f34d6e
9,"01/04/2024, 04:17:03",13.1.85,1,lumi.158d0008f34d6e
8,"01/04/2024, 16:28:02",13.1.85,1,lumi.158d0008f34d6e
7,"01/04/2024, 19:38:52",13.1.85,1,lumi.158d0008f34d6e
6,"01/04/2024, 19:39:52",13.1.85,1,lumi.158d0008f34d6e
5,"01/04/2024, 19:40:52",13.1.85,1,lumi.158d0008f34d6e
4,"01/04/2024, 19:42:14",13.1.85,1,lumi.158d0008f34d6e
3,"01/04/2024, 19:43:20",13.1.85,1,lumi.158d0008f34d6e
2,"01/04/2024, 19:43:36",13.1.85,2,lumi.158d0008f34d6e
1,"01/04/2024, 19:49:01",13.1.85,1,lumi.158d0008f34d6e
0,"01/04/2024, 19:49:46",13.1.85,2,lumi.158d0008f34d6e
