,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
284,,0.1.85,"05/28/2023, 00:30:00",2583.0,lumi.54ef4410004b0c76,3,"05/28/2023, 00:00:00"
283,,0.3.85,"05/28/2023, 00:30:00",101450.0,lumi.54ef4410004b0c76,3,"05/28/2023, 00:00:00"
282,"05/28/2023, 00:04:52",0.3.85,"05/28/2023, 00:30:00",101450.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 00:00:00"
281,"05/28/2023, 00:27:26",0.1.85,"05/28/2023, 00:30:00",2583.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 00:00:00"
280,"05/28/2023, 00:04:52",0.3.85,"05/28/2023, 00:30:00",101450.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 00:00:00"
279,"05/28/2023, 00:27:26",0.1.85,"05/28/2023, 00:30:00",2583.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 00:00:00"
278,,0.2.85,"05/28/2023, 01:00:00",6572.0,lumi.54ef4410004b0c76,3,"05/28/2023, 00:30:00"
277,,0.1.85,"05/28/2023, 01:00:00",2577.0,lumi.54ef4410004b0c76,3,"05/28/2023, 00:30:00"
276,,0.3.85,"05/28/2023, 01:00:00",101410.0,lumi.54ef4410004b0c76,3,"05/28/2023, 00:30:00"
275,"05/28/2023, 00:42:43",0.2.85,"05/28/2023, 01:00:00",6572.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 00:30:00"
274,"05/28/2023, 00:32:09",0.3.85,"05/28/2023, 01:00:00",101420.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 00:30:00"
273,"05/28/2023, 00:42:43",0.1.85,"05/28/2023, 01:00:00",2577.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 00:30:00"
272,"05/28/2023, 00:42:43",0.3.85,"05/28/2023, 01:00:00",101400.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 00:30:00"
271,"05/28/2023, 00:42:43",0.1.85,"05/28/2023, 01:00:00",2577.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 00:30:00"
270,"05/28/2023, 00:42:43",0.2.85,"05/28/2023, 01:00:00",6572.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 00:30:00"
269,,0.2.85,"05/28/2023, 02:00:00",6702.0,lumi.54ef4410004b0c76,3,"05/28/2023, 01:30:00"
268,,0.1.85,"05/28/2023, 02:00:00",2575.0,lumi.54ef4410004b0c76,3,"05/28/2023, 01:30:00"
267,,0.3.85,"05/28/2023, 02:00:00",101395.0,lumi.54ef4410004b0c76,3,"05/28/2023, 01:30:00"
266,"05/28/2023, 01:37:19",0.2.85,"05/28/2023, 02:00:00",6702.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 01:30:00"
265,"05/28/2023, 01:37:19",0.3.85,"05/28/2023, 02:00:00",101400.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 01:30:00"
264,"05/28/2023, 01:37:19",0.1.85,"05/28/2023, 02:00:00",2575.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 01:30:00"
263,"05/28/2023, 01:43:54",0.3.85,"05/28/2023, 02:00:00",101390.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 01:30:00"
262,"05/28/2023, 01:37:19",0.1.85,"05/28/2023, 02:00:00",2575.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 01:30:00"
261,"05/28/2023, 01:37:19",0.2.85,"05/28/2023, 02:00:00",6702.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 01:30:00"
260,,0.3.85,"05/28/2023, 02:30:00",101360.0,lumi.54ef4410004b0c76,3,"05/28/2023, 02:00:00"
259,"05/28/2023, 02:18:28",0.3.85,"05/28/2023, 02:30:00",101360.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 02:00:00"
258,"05/28/2023, 02:18:28",0.3.85,"05/28/2023, 02:30:00",101360.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 02:00:00"
257,,0.2.85,"05/28/2023, 03:00:00",6732.0,lumi.54ef4410004b0c76,3,"05/28/2023, 02:30:00"
256,,0.1.85,"05/28/2023, 03:00:00",2583.0,lumi.54ef4410004b0c76,3,"05/28/2023, 02:30:00"
255,,0.3.85,"05/28/2023, 03:00:00",101350.0,lumi.54ef4410004b0c76,3,"05/28/2023, 02:30:00"
254,"05/28/2023, 02:31:56",0.2.85,"05/28/2023, 03:00:00",6732.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 02:30:00"
253,"05/28/2023, 02:46:20",0.3.85,"05/28/2023, 03:00:00",101390.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 02:30:00"
252,"05/28/2023, 02:31:56",0.1.85,"05/28/2023, 03:00:00",2583.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 02:30:00"
251,"05/28/2023, 02:31:56",0.3.85,"05/28/2023, 03:00:00",101300.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 02:30:00"
250,"05/28/2023, 02:31:56",0.1.85,"05/28/2023, 03:00:00",2583.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 02:30:00"
249,"05/28/2023, 02:31:56",0.2.85,"05/28/2023, 03:00:00",6732.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 02:30:00"
248,,0.2.85,"05/28/2023, 03:30:00",6879.0,lumi.54ef4410004b0c76,3,"05/28/2023, 03:00:00"
247,,0.1.85,"05/28/2023, 03:30:00",2598.0,lumi.54ef4410004b0c76,3,"05/28/2023, 03:00:00"
246,,0.3.85,"05/28/2023, 03:30:00",101345.0,lumi.54ef4410004b0c76,3,"05/28/2023, 03:00:00"
245,"05/28/2023, 03:26:32",0.2.85,"05/28/2023, 03:30:00",6879.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 03:00:00"
244,"05/28/2023, 03:23:16",0.3.85,"05/28/2023, 03:30:00",101390.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 03:00:00"
243,"05/28/2023, 03:26:32",0.1.85,"05/28/2023, 03:30:00",2598.000000,lumi.54ef4410004b0c76,2,"05/28/2023, 03:00:00"
242,"05/28/2023, 03:26:32",0.3.85,"05/28/2023, 03:30:00",101300.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 03:00:00"
241,"05/28/2023, 03:26:32",0.1.85,"05/28/2023, 03:30:00",2598.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 03:00:00"
240,"05/28/2023, 03:26:32",0.2.85,"05/28/2023, 03:30:00",6879.000000,lumi.54ef4410004b0c76,1,"05/28/2023, 03:00:00"
239,,0.3.85,"05/28/2023, 04:00:00",101375.0,lumi.54ef4410004b0c76,3,"05/28/2023, 03:30:00"
