,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
278,,0.3.85,"08/31/2023, 00:30:00",148.5,lumi.54ef44100065d28b,3,"08/31/2023, 00:00:00"
277,"08/31/2023, 00:18:49",0.3.85,"08/31/2023, 00:30:00",217.000000,lumi.54ef44100065d28b,2,"08/31/2023, 00:00:00"
276,"08/31/2023, 00:14:13",0.3.85,"08/31/2023, 00:30:00",0.000000,lumi.54ef44100065d28b,1,"08/31/2023, 00:00:00"
275,,0.3.85,"08/31/2023, 03:00:00",212.0,lumi.54ef44100065d28b,3,"08/31/2023, 02:30:00"
274,"08/31/2023, 02:58:45",0.3.85,"08/31/2023, 03:00:00",212.000000,lumi.54ef44100065d28b,2,"08/31/2023, 02:30:00"
273,"08/31/2023, 02:58:45",0.3.85,"08/31/2023, 03:00:00",212.000000,lumi.54ef44100065d28b,1,"08/31/2023, 02:30:00"
272,,0.3.85,"08/31/2023, 03:30:00",0.0,lumi.54ef44100065d28b,3,"08/31/2023, 03:00:00"
271,"08/31/2023, 03:17:58",0.3.85,"08/31/2023, 03:30:00",0.000000,lumi.54ef44100065d28b,2,"08/31/2023, 03:00:00"
270,"08/31/2023, 03:17:58",0.3.85,"08/31/2023, 03:30:00",0.000000,lumi.54ef44100065d28b,1,"08/31/2023, 03:00:00"
269,,0.3.85,"08/31/2023, 06:00:00",0.0,lumi.54ef44100065d28b,3,"08/31/2023, 05:30:00"
268,"08/31/2023, 05:43:17",0.3.85,"08/31/2023, 06:00:00",0.000000,lumi.54ef44100065d28b,2,"08/31/2023, 05:30:00"
267,"08/31/2023, 05:43:17",0.3.85,"08/31/2023, 06:00:00",0.000000,lumi.54ef44100065d28b,1,"08/31/2023, 05:30:00"
266,,0.3.85,"08/31/2023, 06:30:00",12.0,lumi.54ef44100065d28b,3,"08/31/2023, 06:00:00"
265,"08/31/2023, 06:10:33",0.3.85,"08/31/2023, 06:30:00",23.000000,lumi.54ef44100065d28b,2,"08/31/2023, 06:00:00"
264,"08/31/2023, 06:10:38",0.3.85,"08/31/2023, 06:30:00",1.000000,lumi.54ef44100065d28b,1,"08/31/2023, 06:00:00"
263,,0.3.85,"08/31/2023, 07:00:00",7.0,lumi.54ef44100065d28b,3,"08/31/2023, 06:30:00"
262,"08/31/2023, 06:50:07",0.3.85,"08/31/2023, 07:00:00",8.000000,lumi.54ef44100065d28b,2,"08/31/2023, 06:30:00"
261,"08/31/2023, 06:38:08",0.3.85,"08/31/2023, 07:00:00",6.000000,lumi.54ef44100065d28b,1,"08/31/2023, 06:30:00"
260,,0.3.85,"08/31/2023, 07:30:00",15.0,lumi.54ef44100065d28b,3,"08/31/2023, 07:00:00"
259,"08/31/2023, 07:14:32",0.3.85,"08/31/2023, 07:30:00",15.000000,lumi.54ef44100065d28b,2,"08/31/2023, 07:00:00"
