,timeStamp,resourceId,value,subjectId
299,"09/28/2023, 11:46:50",0.3.85,164,lumi.54ef44100065d28b
298,"09/28/2023, 11:48:20",0.3.85,196,lumi.54ef44100065d28b
297,"09/28/2023, 11:50:39",0.3.85,234,lumi.54ef44100065d28b
296,"09/28/2023, 11:52:59",0.3.85,277,lumi.54ef44100065d28b
295,"09/28/2023, 11:55:23",0.3.85,231,lumi.54ef44100065d28b
294,"09/28/2023, 11:55:43",0.3.85,165,lumi.54ef44100065d28b
293,"09/28/2023, 11:55:53",0.3.85,137,lumi.54ef44100065d28b
292,"09/28/2023, 11:56:08",0.3.85,176,lumi.54ef44100065d28b
291,"09/28/2023, 11:56:18",0.3.85,124,lumi.54ef44100065d28b
290,"09/28/2023, 11:56:28",0.3.85,100,lumi.54ef44100065d28b
289,"09/28/2023, 11:58:18",0.3.85,134,lumi.54ef44100065d28b
288,"09/28/2023, 11:59:17",0.3.85,166,lumi.54ef44100065d28b
287,"09/28/2023, 11:59:22",0.3.85,273,lumi.54ef44100065d28b
286,"09/28/2023, 11:59:37",0.3.85,327,lumi.54ef44100065d28b
285,"09/28/2023, 11:59:37",0.3.85,328,lumi.54ef44100065d28b
284,"09/28/2023, 12:00:14",0.3.85,269,lumi.54ef44100065d28b
283,"09/28/2023, 12:00:19",0.3.85,172,lumi.54ef44100065d28b
282,"09/28/2023, 12:00:24",0.3.85,110,lumi.54ef44100065d28b
281,"09/28/2023, 12:00:49",0.3.85,89,lumi.54ef44100065d28b
280,"09/28/2023, 12:02:54",0.3.85,106,lumi.54ef44100065d28b
279,"09/28/2023, 12:02:59",0.3.85,208,lumi.54ef44100065d28b
278,"09/28/2023, 12:03:04",0.3.85,329,lumi.54ef44100065d28b
277,"09/28/2023, 12:03:34",0.3.85,257,lumi.54ef44100065d28b
276,"09/28/2023, 12:03:39",0.3.85,212,lumi.54ef44100065d28b
275,"09/28/2023, 12:03:49",0.3.85,156,lumi.54ef44100065d28b
274,"09/28/2023, 12:03:54",0.3.85,223,lumi.54ef44100065d28b
273,"09/28/2023, 12:03:58",0.3.85,291,lumi.54ef44100065d28b
272,"09/28/2023, 12:04:13",0.3.85,245,lumi.54ef44100065d28b
271,"09/28/2023, 12:04:18",0.3.85,159,lumi.54ef44100065d28b
270,"09/28/2023, 12:04:29",0.3.85,130,lumi.54ef44100065d28b
269,"09/28/2023, 12:04:33",0.3.85,204,lumi.54ef44100065d28b
268,"09/28/2023, 12:04:43",0.3.85,156,lumi.54ef44100065d28b
267,"09/28/2023, 12:04:48",0.3.85,131,lumi.54ef44100065d28b
266,"09/28/2023, 12:04:53",0.3.85,106,lumi.54ef44100065d28b
265,"09/28/2023, 12:06:18",0.3.85,147,lumi.54ef44100065d28b
264,"09/28/2023, 12:06:23",0.3.85,120,lumi.54ef44100065d28b
263,"09/28/2023, 12:06:28",0.3.85,100,lumi.54ef44100065d28b
262,"09/28/2023, 12:07:23",0.3.85,155,lumi.54ef44100065d28b
261,"09/28/2023, 12:07:28",0.3.85,273,lumi.54ef44100065d28b
260,"09/28/2023, 12:07:53",0.3.85,223,lumi.54ef44100065d28b
259,"09/28/2023, 12:08:03",0.3.85,115,lumi.54ef44100065d28b
258,"09/28/2023, 12:08:18",0.3.85,144,lumi.54ef44100065d28b
257,"09/28/2023, 12:08:53",0.3.85,228,lumi.54ef44100065d28b
256,"09/28/2023, 12:09:17",0.3.85,159,lumi.54ef44100065d28b
255,"09/28/2023, 12:09:22",0.3.85,271,lumi.54ef44100065d28b
254,"09/28/2023, 12:09:32",0.3.85,191,lumi.54ef44100065d28b
253,"09/28/2023, 12:09:42",0.3.85,231,lumi.54ef44100065d28b
252,"09/28/2023, 12:09:52",0.3.85,110,lumi.54ef44100065d28b
251,"09/28/2023, 12:09:57",0.3.85,87,lumi.54ef44100065d28b
250,"09/28/2023, 12:12:02",0.3.85,108,lumi.54ef44100065d28b
249,"09/28/2023, 12:12:12",0.3.85,138,lumi.54ef44100065d28b
248,"09/28/2023, 12:12:17",0.3.85,233,lumi.54ef44100065d28b
247,"09/28/2023, 12:12:32",0.3.85,302,lumi.54ef44100065d28b
246,"09/28/2023, 12:12:52",0.3.85,235,lumi.54ef44100065d28b
245,"09/28/2023, 12:13:02",0.3.85,323,lumi.54ef44100065d28b
244,"09/28/2023, 12:16:21",0.3.85,382,lumi.54ef44100065d28b
243,"09/28/2023, 12:18:31",0.3.85,254,lumi.54ef44100065d28b
242,"09/28/2023, 12:18:41",0.3.85,206,lumi.54ef44100065d28b
241,"09/28/2023, 12:18:55",0.3.85,268,lumi.54ef44100065d28b
240,"09/28/2023, 12:19:00",0.3.85,331,lumi.54ef44100065d28b
239,"09/28/2023, 12:19:35",0.3.85,269,lumi.54ef44100065d28b
238,"09/28/2023, 12:19:50",0.3.85,319,lumi.54ef44100065d28b
237,"09/28/2023, 12:20:10",0.3.85,226,lumi.54ef44100065d28b
236,"09/28/2023, 12:20:15",0.3.85,154,lumi.54ef44100065d28b
235,"09/28/2023, 12:20:20",0.3.85,127,lumi.54ef44100065d28b
234,"09/28/2023, 12:20:50",0.3.85,107,lumi.54ef44100065d28b
233,"09/28/2023, 12:22:05",0.3.85,255,lumi.54ef44100065d28b
232,"09/28/2023, 12:22:10",0.3.85,301,lumi.54ef44100065d28b
231,"09/28/2023, 12:23:40",0.3.85,238,lumi.54ef44100065d28b
230,"09/28/2023, 12:23:49",0.3.85,294,lumi.54ef44100065d28b
229,"09/28/2023, 12:24:24",0.3.85,349,lumi.54ef44100065d28b
228,"09/28/2023, 12:24:34",0.3.85,278,lumi.54ef44100065d28b
227,"09/28/2023, 12:24:44",0.3.85,140,lumi.54ef44100065d28b
226,"09/28/2023, 12:24:59",0.3.85,117,lumi.54ef44100065d28b
225,"09/28/2023, 12:26:09",0.3.85,160,lumi.54ef44100065d28b
224,"09/28/2023, 12:26:14",0.3.85,266,lumi.54ef44100065d28b
223,"09/28/2023, 12:26:19",0.3.85,206,lumi.54ef44100065d28b
222,"09/28/2023, 12:26:24",0.3.85,137,lumi.54ef44100065d28b
221,"09/28/2023, 12:26:54",0.3.85,185,lumi.54ef44100065d28b
220,"09/28/2023, 12:27:04",0.3.85,145,lumi.54ef44100065d28b
219,"09/28/2023, 12:27:34",0.3.85,277,lumi.54ef44100065d28b
218,"09/28/2023, 12:27:44",0.3.85,204,lumi.54ef44100065d28b
217,"09/28/2023, 12:27:49",0.3.85,145,lumi.54ef44100065d28b
216,"09/28/2023, 12:28:14",0.3.85,215,lumi.54ef44100065d28b
215,"09/28/2023, 12:28:19",0.3.85,258,lumi.54ef44100065d28b
214,"09/28/2023, 12:28:24",0.3.85,332,lumi.54ef44100065d28b
213,"09/28/2023, 12:36:52",0.3.85,178,lumi.54ef44100065d28b
212,"09/28/2023, 12:37:07",0.3.85,138,lumi.54ef44100065d28b
211,"09/28/2023, 12:39:01",0.3.85,182,lumi.54ef44100065d28b
210,"09/28/2023, 12:39:26",0.3.85,146,lumi.54ef44100065d28b
209,"09/28/2023, 12:39:56",0.3.85,188,lumi.54ef44100065d28b
208,"09/28/2023, 12:40:06",0.3.85,240,lumi.54ef44100065d28b
207,"09/28/2023, 12:40:21",0.3.85,319,lumi.54ef44100065d28b
206,"09/28/2023, 12:41:31",0.3.85,226,lumi.54ef44100065d28b
