,timeStamp,resourceId,value,subjectId
14,"10/07/2023, 13:13:21",13.1.85,1,lumi.158d0008f34a8f
13,"10/07/2023, 14:23:29",13.1.85,1,lumi.158d0008f34a8f
12,"10/07/2023, 14:39:44",13.1.85,1,lumi.158d0008f34a8f
11,"10/07/2023, 15:18:56",13.1.85,1,lumi.158d0008f34a8f
10,"10/07/2023, 15:35:26",13.1.85,1,lumi.158d0008f34a8f
9,"10/07/2023, 15:56:47",13.1.85,1,lumi.158d0008f34a8f
8,"10/07/2023, 22:32:09",13.1.85,1,lumi.158d0008f34a8f
7,"10/07/2023, 22:32:11",13.1.85,2,lumi.158d0008f34a8f
6,"10/08/2023, 01:10:38",13.1.85,1,lumi.158d0008f34a8f
5,"10/08/2023, 02:19:31",13.1.85,1,lumi.158d0008f34a8f
4,"10/08/2023, 02:19:44",13.1.85,2,lumi.158d0008f34a8f
3,"10/08/2023, 09:50:13",13.1.85,2,lumi.158d0008f34a8f
2,"10/08/2023, 09:50:25",13.1.85,1,lumi.158d0008f34a8f
1,"10/08/2023, 09:50:26",13.1.85,2,lumi.158d0008f34a8f
0,"10/08/2023, 11:51:41",13.1.85,1,lumi.158d0008f34a8f
