,timeStamp,resourceId,value,subjectId
299,"10/21/2023, 15:58:04",13.1.85,2,lumi.158d0008f34fdf
298,"10/21/2023, 15:59:37",13.1.85,2,lumi.158d0008f34fdf
297,"10/21/2023, 16:08:56",13.1.85,2,lumi.158d0008f34fdf
296,"10/21/2023, 16:09:12",13.1.85,2,lumi.158d0008f34fdf
295,"10/21/2023, 16:09:17",13.1.85,2,lumi.158d0008f34fdf
294,"10/21/2023, 16:09:56",13.1.85,2,lumi.158d0008f34fdf
293,"10/21/2023, 16:15:23",13.1.85,1,lumi.158d0008f34fdf
292,"10/21/2023, 16:15:25",13.1.85,2,lumi.158d0008f34fdf
291,"10/21/2023, 16:18:15",13.1.85,1,lumi.158d0008f34fdf
290,"10/21/2023, 16:18:16",13.1.85,2,lumi.158d0008f34fdf
289,"10/21/2023, 16:18:29",13.1.85,2,lumi.158d0008f34fdf
288,"10/21/2023, 16:19:29",13.1.85,2,lumi.158d0008f34fdf
287,"10/21/2023, 16:20:37",13.1.85,2,lumi.158d0008f34fdf
286,"10/21/2023, 16:21:48",13.1.85,2,lumi.158d0008f34fdf
285,"10/21/2023, 16:21:56",13.1.85,2,lumi.158d0008f34fdf
284,"10/21/2023, 16:22:33",13.1.85,2,lumi.158d0008f34fdf
283,"10/21/2023, 16:23:12",13.1.85,2,lumi.158d0008f34fdf
282,"10/21/2023, 16:27:44",13.1.85,2,lumi.158d0008f34fdf
281,"10/21/2023, 16:34:35",13.1.85,2,lumi.158d0008f34fdf
280,"10/21/2023, 16:34:46",13.1.85,2,lumi.158d0008f34fdf
279,"10/21/2023, 16:37:20",13.1.85,1,lumi.158d0008f34fdf
278,"10/21/2023, 16:37:21",13.1.85,2,lumi.158d0008f34fdf
277,"10/21/2023, 16:38:59",13.1.85,2,lumi.158d0008f34fdf
276,"10/21/2023, 16:39:12",13.1.85,2,lumi.158d0008f34fdf
275,"10/21/2023, 16:39:20",13.1.85,2,lumi.158d0008f34fdf
274,"10/21/2023, 16:39:35",13.1.85,2,lumi.158d0008f34fdf
273,"10/21/2023, 16:40:12",13.1.85,1,lumi.158d0008f34fdf
