,timeStamp,resourceId,value,subjectId
10,"10/21/2023, 12:27:06",13.1.85,1,lumi.158d0008f34a74
9,"10/21/2023, 12:56:22",13.1.85,1,lumi.158d0008f34a74
8,"10/21/2023, 12:57:52",13.1.85,1,lumi.158d0008f34a74
7,"10/21/2023, 17:04:49",13.1.85,1,lumi.158d0008f34a74
6,"10/21/2023, 18:50:56",13.1.85,1,lumi.158d0008f34a74
5,"10/21/2023, 19:23:08",13.1.85,1,lumi.158d0008f34a74
4,"10/21/2023, 21:55:10",13.1.85,1,lumi.158d0008f34a74
3,"10/21/2023, 22:01:50",13.1.85,1,lumi.158d0008f34a74
2,"10/22/2023, 12:14:14",13.1.85,1,lumi.158d0008f34a74
1,"10/22/2023, 13:09:32",13.1.85,1,lumi.158d0008f34a74
0,"10/22/2023, 14:52:15",13.1.85,1,lumi.158d0008f34a74
