,timeStamp,resourceId,value,subjectId
224,"10/23/2023, 00:36:33",0.1.85,2265,lumi.54ef4410004b0c76
223,"10/23/2023, 00:36:33",0.2.85,6000,lumi.54ef4410004b0c76
222,"10/23/2023, 00:36:33",0.3.85,102300,lumi.54ef4410004b0c76
221,"10/23/2023, 01:08:03",0.3.85,102350,lumi.54ef4410004b0c76
220,"10/23/2023, 01:31:09",0.1.85,2269,lumi.54ef4410004b0c76
219,"10/23/2023, 01:31:09",0.2.85,6034,lumi.54ef4410004b0c76
218,"10/23/2023, 01:31:09",0.3.85,102300,lumi.54ef4410004b0c76
217,"10/23/2023, 02:25:44",0.1.85,2266,lumi.54ef4410004b0c76
216,"10/23/2023, 02:25:44",0.2.85,6059,lumi.54ef4410004b0c76
215,"10/23/2023, 02:25:44",0.3.85,102300,lumi.54ef4410004b0c76
214,"10/23/2023, 02:32:19",0.3.85,102320,lumi.54ef4410004b0c76
213,"10/23/2023, 03:20:20",0.1.85,2258,lumi.54ef4410004b0c76
212,"10/23/2023, 03:20:20",0.2.85,6075,lumi.54ef4410004b0c76
211,"10/23/2023, 03:20:20",0.3.85,102300,lumi.54ef4410004b0c76
210,"10/23/2023, 04:14:55",0.1.85,2256,lumi.54ef4410004b0c76
209,"10/23/2023, 04:14:55",0.2.85,6094,lumi.54ef4410004b0c76
208,"10/23/2023, 04:14:55",0.3.85,102300,lumi.54ef4410004b0c76
207,"10/23/2023, 04:49:31",0.3.85,102350,lumi.54ef4410004b0c76
206,"10/23/2023, 05:09:31",0.1.85,2234,lumi.54ef4410004b0c76
205,"10/23/2023, 05:09:31",0.2.85,6119,lumi.54ef4410004b0c76
204,"10/23/2023, 05:09:31",0.3.85,102300,lumi.54ef4410004b0c76
203,"10/23/2023, 06:04:06",0.1.85,2225,lumi.54ef4410004b0c76
202,"10/23/2023, 06:04:06",0.2.85,6156,lumi.54ef4410004b0c76
201,"10/23/2023, 06:04:06",0.3.85,102300,lumi.54ef4410004b0c76
200,"10/23/2023, 06:24:20",0.3.85,102380,lumi.54ef4410004b0c76
199,"10/23/2023, 06:58:42",0.1.85,2212,lumi.54ef4410004b0c76
198,"10/23/2023, 06:58:42",0.2.85,6176,lumi.54ef4410004b0c76
197,"10/23/2023, 06:58:42",0.3.85,102400,lumi.54ef4410004b0c76
196,"10/23/2023, 07:07:06",0.3.85,102410,lumi.54ef4410004b0c76
195,"10/23/2023, 07:34:45",0.3.85,102440,lumi.54ef4410004b0c76
194,"10/23/2023, 07:53:18",0.1.85,2217,lumi.54ef4410004b0c76
193,"10/23/2023, 07:53:18",0.2.85,6213,lumi.54ef4410004b0c76
192,"10/23/2023, 07:53:18",0.3.85,102400,lumi.54ef4410004b0c76
191,"10/23/2023, 08:24:26",0.3.85,102470,lumi.54ef4410004b0c76
190,"10/23/2023, 08:47:53",0.1.85,2219,lumi.54ef4410004b0c76
189,"10/23/2023, 08:47:53",0.2.85,6234,lumi.54ef4410004b0c76
188,"10/23/2023, 08:47:53",0.3.85,102400,lumi.54ef4410004b0c76
187,"10/23/2023, 09:33:01",0.3.85,102440,lumi.54ef4410004b0c76
186,"10/23/2023, 09:42:29",0.1.85,2224,lumi.54ef4410004b0c76
185,"10/23/2023, 09:42:29",0.2.85,6254,lumi.54ef4410004b0c76
184,"10/23/2023, 09:42:29",0.3.85,102400,lumi.54ef4410004b0c76
183,"10/23/2023, 10:13:26",0.3.85,102410,lumi.54ef4410004b0c76
182,"10/23/2023, 10:37:04",0.1.85,2231,lumi.54ef4410004b0c76
181,"10/23/2023, 10:37:04",0.2.85,6281,lumi.54ef4410004b0c76
180,"10/23/2023, 10:37:04",0.3.85,102400,lumi.54ef4410004b0c76
179,"10/23/2023, 10:45:28",0.3.85,102380,lumi.54ef4410004b0c76
178,"10/23/2023, 11:18:56",0.3.85,102350,lumi.54ef4410004b0c76
177,"10/23/2023, 11:31:40",0.1.85,2245,lumi.54ef4410004b0c76
176,"10/23/2023, 11:31:40",0.2.85,6212,lumi.54ef4410004b0c76
175,"10/23/2023, 11:31:40",0.3.85,102300,lumi.54ef4410004b0c76
174,"10/23/2023, 11:50:15",0.3.85,102320,lumi.54ef4410004b0c76
173,"10/23/2023, 11:53:53",0.2.85,6531,lumi.54ef4410004b0c76
172,"10/23/2023, 11:54:58",0.2.85,7133,lumi.54ef4410004b0c76
171,"10/23/2023, 12:16:04",0.2.85,6521,lumi.54ef4410004b0c76
170,"10/23/2023, 12:20:37",0.3.85,102290,lumi.54ef4410004b0c76
169,"10/23/2023, 12:26:15",0.1.85,2267,lumi.54ef4410004b0c76
168,"10/23/2023, 12:26:15",0.2.85,6258,lumi.54ef4410004b0c76
167,"10/23/2023, 12:26:15",0.3.85,102200,lumi.54ef4410004b0c76
166,"10/23/2023, 12:35:23",0.3.85,102260,lumi.54ef4410004b0c76
165,"10/23/2023, 12:52:40",0.3.85,102230,lumi.54ef4410004b0c76
164,"10/23/2023, 13:07:34",0.3.85,102200,lumi.54ef4410004b0c76
163,"10/23/2023, 13:20:51",0.1.85,2269,lumi.54ef4410004b0c76
162,"10/23/2023, 13:20:51",0.2.85,6647,lumi.54ef4410004b0c76
161,"10/23/2023, 13:20:51",0.3.85,102100,lumi.54ef4410004b0c76
