,timeStamp,resourceId,value,subjectId
191,"10/26/2023, 04:05:21",0.12.85,0.650000,lumi.54ef44100062b6b9
190,"10/26/2023, 04:05:21",0.13.85,324.190002,lumi.54ef44100062b6b9
189,"10/26/2023, 04:12:47",0.12.85,0.640000,lumi.54ef44100062b6b9
188,"10/26/2023, 04:12:47",0.13.85,324.269989,lumi.54ef44100062b6b9
187,"10/26/2023, 04:20:41",0.12.85,0.660000,lumi.54ef44100062b6b9
186,"10/26/2023, 04:20:41",0.13.85,324.359985,lumi.54ef44100062b6b9
185,"10/26/2023, 04:27:02",0.12.85,0.650000,lumi.54ef44100062b6b9
184,"10/26/2023, 04:27:02",0.13.85,324.420013,lumi.54ef44100062b6b9
183,"10/26/2023, 04:33:05",0.12.85,0.660000,lumi.54ef44100062b6b9
182,"10/26/2023, 04:33:05",0.13.85,324.489990,lumi.54ef44100062b6b9
181,"10/26/2023, 04:40:06",0.12.85,0.650000,lumi.54ef44100062b6b9
180,"10/26/2023, 04:40:06",0.13.85,324.559998,lumi.54ef44100062b6b9
179,"10/26/2023, 04:47:32",0.12.85,0.650000,lumi.54ef44100062b6b9
178,"10/26/2023, 04:47:32",0.13.85,324.640015,lumi.54ef44100062b6b9
177,"10/26/2023, 04:54:20",0.12.85,0.660000,lumi.54ef44100062b6b9
176,"10/26/2023, 04:54:20",0.13.85,324.709991,lumi.54ef44100062b6b9
175,"10/26/2023, 05:02:26",0.13.85,324.799988,lumi.54ef44100062b6b9
174,"10/26/2023, 05:08:29",0.13.85,324.859985,lumi.54ef44100062b6b9
173,"10/26/2023, 05:13:56",0.12.85,0.660000,lumi.54ef44100062b6b9
172,"10/26/2023, 05:13:56",0.13.85,324.920013,lumi.54ef44100062b6b9
171,"10/26/2023, 05:20:02",0.12.85,0.650000,lumi.54ef44100062b6b9
170,"10/26/2023, 05:20:02",0.13.85,324.980011,lumi.54ef44100062b6b9
169,"10/26/2023, 05:25:56",0.12.85,0.650000,lumi.54ef44100062b6b9
168,"10/26/2023, 05:25:56",0.13.85,325.040009,lumi.54ef44100062b6b9
167,"10/26/2023, 05:32:33",0.12.85,0.670000,lumi.54ef44100062b6b9
166,"10/26/2023, 05:32:33",0.13.85,325.109985,lumi.54ef44100062b6b9
165,"10/26/2023, 05:40:34",0.12.85,0.650000,lumi.54ef44100062b6b9
164,"10/26/2023, 05:40:34",0.13.85,325.200012,lumi.54ef44100062b6b9
163,"10/26/2023, 05:48:39",0.12.85,0.660000,lumi.54ef44100062b6b9
162,"10/26/2023, 05:48:39",0.13.85,325.279999,lumi.54ef44100062b6b9
161,"10/26/2023, 05:56:23",0.12.85,0.660000,lumi.54ef44100062b6b9
160,"10/26/2023, 05:56:23",0.13.85,325.359985,lumi.54ef44100062b6b9
159,"10/26/2023, 06:03:17",0.12.85,0.650000,lumi.54ef44100062b6b9
158,"10/26/2023, 06:03:17",0.13.85,325.440002,lumi.54ef44100062b6b9
157,"10/26/2023, 06:10:49",0.13.85,325.519989,lumi.54ef44100062b6b9
156,"10/26/2023, 06:18:51",0.12.85,0.650000,lumi.54ef44100062b6b9
155,"10/26/2023, 06:18:51",0.13.85,325.600006,lumi.54ef44100062b6b9
154,"10/26/2023, 06:25:41",0.12.85,0.640000,lumi.54ef44100062b6b9
153,"10/26/2023, 06:25:41",0.13.85,325.670013,lumi.54ef44100062b6b9
152,"10/26/2023, 06:32:56",0.12.85,0.650000,lumi.54ef44100062b6b9
151,"10/26/2023, 06:32:56",0.13.85,325.750000,lumi.54ef44100062b6b9
