,timeStamp,resourceId,value,subjectId
19,"10/29/2023, 08:34:04",3.1.85,1,lumi.54ef4410003fe65f
18,"10/29/2023, 08:34:12",3.1.85,0,lumi.54ef4410003fe65f
17,"10/29/2023, 22:38:48",3.1.85,1,lumi.54ef4410003fe65f
16,"10/29/2023, 22:38:51",3.1.85,0,lumi.54ef4410003fe65f
15,"10/30/2023, 00:14:15",3.1.85,1,lumi.54ef4410003fe65f
14,"10/30/2023, 00:14:20",3.1.85,0,lumi.54ef4410003fe65f
13,"10/30/2023, 00:39:30",3.1.85,1,lumi.54ef4410003fe65f
12,"10/30/2023, 00:39:33",3.1.85,0,lumi.54ef4410003fe65f
11,"10/30/2023, 08:32:54",3.1.85,1,lumi.54ef4410003fe65f
10,"10/30/2023, 08:32:59",3.1.85,0,lumi.54ef4410003fe65f
9,"10/30/2023, 09:12:32",3.1.85,1,lumi.54ef4410003fe65f
8,"10/30/2023, 09:12:34",3.1.85,0,lumi.54ef4410003fe65f
7,"10/30/2023, 10:18:50",3.1.85,1,lumi.54ef4410003fe65f
6,"10/30/2023, 10:18:55",3.1.85,0,lumi.54ef4410003fe65f
5,"10/30/2023, 10:37:57",3.1.85,1,lumi.54ef4410003fe65f
4,"10/30/2023, 10:38:01",3.1.85,0,lumi.54ef4410003fe65f
3,"10/30/2023, 11:31:49",3.1.85,1,lumi.54ef4410003fe65f
2,"10/30/2023, 11:31:56",3.1.85,0,lumi.54ef4410003fe65f
1,"10/30/2023, 17:21:31",3.1.85,1,lumi.54ef4410003fe65f
0,"10/30/2023, 17:21:34",3.1.85,0,lumi.54ef4410003fe65f
