,timeStamp,resourceId,value,subjectId
37,"11/04/2023, 01:24:51",0.3.85,220,lumi.54ef44100065d28b
36,"11/04/2023, 02:19:42",0.3.85,221,lumi.54ef44100065d28b
35,"11/04/2023, 02:29:02",0.3.85,172,lumi.54ef44100065d28b
34,"11/04/2023, 02:29:07",0.3.85,208,lumi.54ef44100065d28b
33,"11/04/2023, 02:50:33",0.3.85,149,lumi.54ef44100065d28b
32,"11/04/2023, 02:50:38",0.3.85,205,lumi.54ef44100065d28b
31,"11/04/2023, 02:53:02",0.3.85,158,lumi.54ef44100065d28b
30,"11/04/2023, 02:53:07",0.3.85,212,lumi.54ef44100065d28b
29,"11/04/2023, 02:55:12",0.3.85,0,lumi.54ef44100065d28b
28,"11/04/2023, 04:09:23",0.3.85,0,lumi.54ef44100065d28b
27,"11/04/2023, 05:04:14",0.3.85,0,lumi.54ef44100065d28b
26,"11/04/2023, 06:53:55",0.3.85,0,lumi.54ef44100065d28b
25,"11/04/2023, 07:29:44",0.3.85,19,lumi.54ef44100065d28b
24,"11/04/2023, 07:29:49",0.3.85,1,lumi.54ef44100065d28b
23,"11/04/2023, 07:39:02",0.3.85,8,lumi.54ef44100065d28b
22,"11/04/2023, 07:47:40",0.3.85,15,lumi.54ef44100065d28b
21,"11/04/2023, 07:48:45",0.3.85,16,lumi.54ef44100065d28b
20,"11/04/2023, 08:14:47",0.3.85,22,lumi.54ef44100065d28b
19,"11/04/2023, 08:43:36",0.3.85,26,lumi.54ef44100065d28b
18,"11/04/2023, 08:50:02",0.3.85,29,lumi.54ef44100065d28b
17,"11/04/2023, 09:14:42",0.3.85,22,lumi.54ef44100065d28b
16,"11/04/2023, 09:29:59",0.3.85,29,lumi.54ef44100065d28b
15,"11/04/2023, 09:33:38",0.3.85,36,lumi.54ef44100065d28b
14,"11/04/2023, 09:38:27",0.3.85,43,lumi.54ef44100065d28b
13,"11/04/2023, 09:46:12",0.3.85,43,lumi.54ef44100065d28b
12,"11/04/2023, 09:51:16",0.3.85,51,lumi.54ef44100065d28b
11,"11/04/2023, 10:01:44",0.3.85,61,lumi.54ef44100065d28b
10,"11/04/2023, 10:10:42",0.3.85,72,lumi.54ef44100065d28b
9,"11/04/2023, 10:19:11",0.3.85,61,lumi.54ef44100065d28b
8,"11/04/2023, 10:33:18",0.3.85,62,lumi.54ef44100065d28b
7,"11/04/2023, 10:48:02",0.3.85,51,lumi.54ef44100065d28b
6,"11/04/2023, 10:51:16",0.3.85,44,lumi.54ef44100065d28b
5,"11/04/2023, 10:55:30",0.3.85,37,lumi.54ef44100065d28b
4,"11/04/2023, 11:21:55",0.3.85,30,lumi.54ef44100065d28b
3,"11/04/2023, 11:28:09",0.3.85,28,lumi.54ef44100065d28b
2,"11/04/2023, 11:38:43",0.3.85,37,lumi.54ef44100065d28b
1,"11/04/2023, 11:47:17",0.3.85,44,lumi.54ef44100065d28b
0,"11/04/2023, 11:58:29",0.3.85,52,lumi.54ef44100065d28b
