,timeStamp,resourceId,value,subjectId
24,"12/21/2023, 12:09:28",13.1.85,1,lumi.158d0008f35087
23,"12/21/2023, 14:51:13",13.1.85,1,lumi.158d0008f35087
22,"12/21/2023, 14:51:34",13.1.85,2,lumi.158d0008f35087
21,"12/21/2023, 14:52:11",13.1.85,1,lumi.158d0008f35087
20,"12/21/2023, 14:52:21",13.1.85,2,lumi.158d0008f35087
19,"12/21/2023, 14:53:09",13.1.85,1,lumi.158d0008f35087
18,"12/21/2023, 14:54:07",13.1.85,1,lumi.158d0008f35087
17,"12/21/2023, 14:55:05",13.1.85,1,lumi.158d0008f35087
16,"12/21/2023, 14:56:03",13.1.85,1,lumi.158d0008f35087
15,"12/21/2023, 14:56:57",13.1.85,3,lumi.158d0008f35087
14,"12/21/2023, 14:57:02",13.1.85,1,lumi.158d0008f35087
13,"12/21/2023, 14:58:00",13.1.85,1,lumi.158d0008f35087
12,"12/21/2023, 14:58:36",13.1.85,2,lumi.158d0008f35087
11,"12/21/2023, 14:58:58",13.1.85,1,lumi.158d0008f35087
10,"12/21/2023, 14:59:16",13.1.85,3,lumi.158d0008f35087
9,"12/21/2023, 15:00:18",13.1.85,2,lumi.158d0008f35087
8,"12/21/2023, 15:00:21",13.1.85,1,lumi.158d0008f35087
7,"12/21/2023, 15:00:30",13.1.85,3,lumi.158d0008f35087
6,"12/21/2023, 15:01:27",13.1.85,1,lumi.158d0008f35087
5,"12/21/2023, 15:01:41",13.1.85,2,lumi.158d0008f35087
4,"12/21/2023, 15:02:25",13.1.85,1,lumi.158d0008f35087
3,"12/21/2023, 15:02:28",13.1.85,2,lumi.158d0008f35087
2,"12/21/2023, 15:03:23",13.1.85,1,lumi.158d0008f35087
1,"12/21/2023, 15:03:56",13.1.85,2,lumi.158d0008f35087
0,"12/21/2023, 15:16:05",13.1.85,1,lumi.158d0008f35087
