,timeStamp,resourceId,value,subjectId
23,"01/02/2024, 18:42:14",3.1.85,1,lumi.54ef44100051aff9
22,"01/02/2024, 18:43:16",3.1.85,1,lumi.54ef44100051aff9
21,"01/02/2024, 18:45:10",3.1.85,1,lumi.54ef44100051aff9
20,"01/02/2024, 18:46:19",3.1.85,1,lumi.54ef44100051aff9
19,"01/02/2024, 18:48:34",3.1.85,1,lumi.54ef44100051aff9
18,"01/02/2024, 18:52:36",3.1.85,1,lumi.54ef44100051aff9
17,"01/02/2024, 18:53:34",3.1.85,1,lumi.54ef44100051aff9
16,"01/02/2024, 18:55:16",3.1.85,1,lumi.54ef44100051aff9
15,"01/02/2024, 18:56:24",3.1.85,1,lumi.54ef44100051aff9
14,"01/02/2024, 19:12:42",3.1.85,1,lumi.54ef44100051aff9
13,"01/02/2024, 19:17:29",3.1.85,1,lumi.54ef44100051aff9
12,"01/02/2024, 19:33:25",3.1.85,1,lumi.54ef44100051aff9
11,"01/02/2024, 19:53:26",3.1.85,1,lumi.54ef44100051aff9
10,"01/02/2024, 19:54:32",3.1.85,1,lumi.54ef44100051aff9
9,"01/02/2024, 19:56:06",3.1.85,1,lumi.54ef44100051aff9
8,"01/02/2024, 19:57:04",3.1.85,1,lumi.54ef44100051aff9
7,"01/02/2024, 19:58:03",3.1.85,1,lumi.54ef44100051aff9
6,"01/02/2024, 19:59:32",3.1.85,1,lumi.54ef44100051aff9
5,"01/02/2024, 20:01:01",3.1.85,1,lumi.54ef44100051aff9
4,"01/02/2024, 20:01:59",3.1.85,1,lumi.54ef44100051aff9
3,"01/02/2024, 20:04:27",3.1.85,1,lumi.54ef44100051aff9
2,"01/02/2024, 20:14:36",3.1.85,1,lumi.54ef44100051aff9
1,"01/02/2024, 20:19:30",3.1.85,1,lumi.54ef44100051aff9
0,"01/02/2024, 20:20:29",3.1.85,1,lumi.54ef44100051aff9
