,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
281,,0.1.85,"06/04/2023, 00:30:00",2840.0,lumi.54ef4410004b13b2,3,"06/04/2023, 00:00:00"
280,,0.3.85,"06/04/2023, 00:30:00",100700.0,lumi.54ef4410004b13b2,3,"06/04/2023, 00:00:00"
279,,0.2.85,"06/04/2023, 00:30:00",4196.0,lumi.54ef4410004b13b2,3,"06/04/2023, 00:00:00"
278,"06/04/2023, 00:24:45",0.1.85,"06/04/2023, 00:30:00",2840.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 00:00:00"
277,"06/04/2023, 00:24:45",0.2.85,"06/04/2023, 00:30:00",4196.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 00:00:00"
276,"06/04/2023, 00:24:45",0.3.85,"06/04/2023, 00:30:00",100700.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 00:00:00"
275,"06/04/2023, 00:24:45",0.2.85,"06/04/2023, 00:30:00",4196.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 00:00:00"
274,"06/04/2023, 00:24:45",0.3.85,"06/04/2023, 00:30:00",100700.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 00:00:00"
273,"06/04/2023, 00:24:45",0.1.85,"06/04/2023, 00:30:00",2840.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 00:00:00"
272,,0.1.85,"06/04/2023, 01:30:00",2830.0,lumi.54ef4410004b13b2,3,"06/04/2023, 01:00:00"
271,,0.3.85,"06/04/2023, 01:30:00",100805.0,lumi.54ef4410004b13b2,3,"06/04/2023, 01:00:00"
270,,0.2.85,"06/04/2023, 01:30:00",4185.0,lumi.54ef4410004b13b2,3,"06/04/2023, 01:00:00"
269,"06/04/2023, 01:19:40",0.1.85,"06/04/2023, 01:30:00",2830.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 01:00:00"
268,"06/04/2023, 01:19:40",0.2.85,"06/04/2023, 01:30:00",4185.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 01:00:00"
267,"06/04/2023, 01:04:40",0.3.85,"06/04/2023, 01:30:00",100810.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 01:00:00"
266,"06/04/2023, 01:19:40",0.2.85,"06/04/2023, 01:30:00",4185.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 01:00:00"
265,"06/04/2023, 01:19:40",0.3.85,"06/04/2023, 01:30:00",100800.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 01:00:00"
264,"06/04/2023, 01:19:40",0.1.85,"06/04/2023, 01:30:00",2830.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 01:00:00"
263,,0.1.85,"06/04/2023, 02:00:00",2734.5,lumi.54ef4410004b13b2,3,"06/04/2023, 01:30:00"
262,,0.3.85,"06/04/2023, 02:00:00",100780.0,lumi.54ef4410004b13b2,3,"06/04/2023, 01:30:00"
261,"06/04/2023, 01:39:17",0.1.85,"06/04/2023, 02:00:00",2814.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 01:30:00"
260,"06/04/2023, 01:43:30",0.3.85,"06/04/2023, 02:00:00",100780.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 01:30:00"
259,"06/04/2023, 01:43:30",0.3.85,"06/04/2023, 02:00:00",100780.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 01:30:00"
258,"06/04/2023, 01:55:13",0.1.85,"06/04/2023, 02:00:00",2655.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 01:30:00"
257,,0.1.85,"06/04/2023, 02:30:00",2561.0,lumi.54ef4410004b13b2,3,"06/04/2023, 02:00:00"
256,,0.3.85,"06/04/2023, 02:30:00",100805.0,lumi.54ef4410004b13b2,3,"06/04/2023, 02:00:00"
255,,0.2.85,"06/04/2023, 02:30:00",3885.0,lumi.54ef4410004b13b2,3,"06/04/2023, 02:00:00"
254,"06/04/2023, 02:00:31",0.1.85,"06/04/2023, 02:30:00",2600.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 02:00:00"
253,"06/04/2023, 02:14:36",0.2.85,"06/04/2023, 02:30:00",3896.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 02:00:00"
252,"06/04/2023, 02:06:11",0.3.85,"06/04/2023, 02:30:00",100810.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 02:00:00"
251,"06/04/2023, 02:00:31",0.2.85,"06/04/2023, 02:30:00",3874.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 02:00:00"
250,"06/04/2023, 02:14:36",0.3.85,"06/04/2023, 02:30:00",100800.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 02:00:00"
249,"06/04/2023, 02:14:36",0.1.85,"06/04/2023, 02:30:00",2536.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 02:00:00"
248,,0.1.85,"06/04/2023, 03:00:00",2625.5,lumi.54ef4410004b13b2,3,"06/04/2023, 02:30:00"
247,"06/04/2023, 02:44:39",0.1.85,"06/04/2023, 03:00:00",2651.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 02:30:00"
246,"06/04/2023, 02:32:01",0.1.85,"06/04/2023, 03:00:00",2600.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 02:30:00"
245,,0.1.85,"06/04/2023, 03:30:00",2703.5,lumi.54ef4410004b13b2,3,"06/04/2023, 03:00:00"
244,,0.3.85,"06/04/2023, 03:30:00",100800.0,lumi.54ef4410004b13b2,3,"06/04/2023, 03:00:00"
243,,0.2.85,"06/04/2023, 03:30:00",4366.0,lumi.54ef4410004b13b2,3,"06/04/2023, 03:00:00"
242,"06/04/2023, 03:09:32",0.1.85,"06/04/2023, 03:30:00",2704.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 03:00:00"
241,"06/04/2023, 03:09:32",0.2.85,"06/04/2023, 03:30:00",4366.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 03:00:00"
240,"06/04/2023, 03:09:32",0.3.85,"06/04/2023, 03:30:00",100800.000000,lumi.54ef4410004b13b2,2,"06/04/2023, 03:00:00"
239,"06/04/2023, 03:09:32",0.2.85,"06/04/2023, 03:30:00",4366.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 03:00:00"
238,"06/04/2023, 03:09:32",0.3.85,"06/04/2023, 03:30:00",100800.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 03:00:00"
237,"06/04/2023, 03:04:57",0.1.85,"06/04/2023, 03:30:00",2703.000000,lumi.54ef4410004b13b2,1,"06/04/2023, 03:00:00"
