,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
134,,0.3.85,"08/10/2023, 00:30:00",0.0,lumi.54ef44100065d1e0,3,"08/10/2023, 00:00:00"
133,"08/10/2023, 00:10:48",0.3.85,"08/10/2023, 00:30:00",0.000000,lumi.54ef44100065d1e0,2,"08/10/2023, 00:00:00"
132,"08/10/2023, 00:10:48",0.3.85,"08/10/2023, 00:30:00",0.000000,lumi.54ef44100065d1e0,1,"08/10/2023, 00:00:00"
131,,0.3.85,"08/10/2023, 03:00:00",0.0,lumi.54ef44100065d1e0,3,"08/10/2023, 02:30:00"
130,"08/10/2023, 02:55:13",0.3.85,"08/10/2023, 03:00:00",0.000000,lumi.54ef44100065d1e0,2,"08/10/2023, 02:30:00"
129,"08/10/2023, 02:55:13",0.3.85,"08/10/2023, 03:00:00",0.000000,lumi.54ef44100065d1e0,1,"08/10/2023, 02:30:00"
128,,0.3.85,"08/10/2023, 04:00:00",19.777778,lumi.54ef44100065d1e0,3,"08/10/2023, 03:30:00"
127,"08/10/2023, 03:39:44",0.3.85,"08/10/2023, 04:00:00",59.000000,lumi.54ef44100065d1e0,2,"08/10/2023, 03:30:00"
126,"08/10/2023, 03:41:04",0.3.85,"08/10/2023, 04:00:00",0.000000,lumi.54ef44100065d1e0,1,"08/10/2023, 03:30:00"
125,,0.3.85,"08/10/2023, 04:30:00",87.0,lumi.54ef44100065d1e0,3,"08/10/2023, 04:00:00"
124,"08/10/2023, 04:04:20",0.3.85,"08/10/2023, 04:30:00",222.000000,lumi.54ef44100065d1e0,2,"08/10/2023, 04:00:00"
123,"08/10/2023, 04:11:43",0.3.85,"08/10/2023, 04:30:00",0.000000,lumi.54ef44100065d1e0,1,"08/10/2023, 04:00:00"
122,,0.3.85,"08/10/2023, 07:00:00",0.0,lumi.54ef44100065d1e0,3,"08/10/2023, 06:30:00"
121,"08/10/2023, 06:34:27",0.3.85,"08/10/2023, 07:00:00",0.000000,lumi.54ef44100065d1e0,2,"08/10/2023, 06:30:00"
120,"08/10/2023, 06:34:27",0.3.85,"08/10/2023, 07:00:00",0.000000,lumi.54ef44100065d1e0,1,"08/10/2023, 06:30:00"
119,,0.3.85,"08/10/2023, 09:30:00",0.0,lumi.54ef44100065d1e0,3,"08/10/2023, 09:00:00"
118,"08/10/2023, 09:18:53",0.3.85,"08/10/2023, 09:30:00",0.000000,lumi.54ef44100065d1e0,2,"08/10/2023, 09:00:00"
117,"08/10/2023, 09:18:53",0.3.85,"08/10/2023, 09:30:00",0.000000,lumi.54ef44100065d1e0,1,"08/10/2023, 09:00:00"
