,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
9,,13.1.85,"09/07/2023, 05:00:00","{""1"":1,""2"":1}",lumi.158d0008f34328,4,"09/07/2023, 04:30:00"
8,,13.1.85,"09/07/2023, 05:30:00","{""2"":2}",lumi.158d0008f34328,4,"09/07/2023, 05:00:00"
7,,13.1.85,"09/08/2023, 04:30:00","{""1"":1,""2"":1}",lumi.158d0008f34328,4,"09/08/2023, 04:00:00"
6,,13.1.85,"09/08/2023, 05:00:00","{""1"":1,""2"":6}",lumi.158d0008f34328,4,"09/08/2023, 04:30:00"
5,,13.1.85,"09/08/2023, 15:30:00","{""1"":3}",lumi.158d0008f34328,4,"09/08/2023, 15:00:00"
4,,13.1.85,"09/08/2023, 16:00:00","{""2"":1}",lumi.158d0008f34328,4,"09/08/2023, 15:30:00"
3,,13.1.85,"09/09/2023, 07:00:00","{""2"":1}",lumi.158d0008f34328,4,"09/09/2023, 06:30:00"
2,,13.1.85,"09/09/2023, 16:00:00","{""1"":1}",lumi.158d0008f34328,4,"09/09/2023, 15:30:00"
1,,13.1.85,"09/09/2023, 23:30:00","{""1"":1,""2"":5}",lumi.158d0008f34328,4,"09/09/2023, 23:00:00"
0,,13.1.85,"09/10/2023, 00:00:00","{""2"":27}",lumi.158d0008f34328,4,"09/09/2023, 23:30:00"
