,timeStamp,resourceId,value,subjectId
27,"09/28/2023, 05:35:34",13.1.85,1,lumi.158d0008f34328
26,"09/28/2023, 05:36:18",13.1.85,2,lumi.158d0008f34328
25,"09/28/2023, 05:37:16",13.1.85,2,lumi.158d0008f34328
24,"09/28/2023, 05:37:35",13.1.85,2,lumi.158d0008f34328
23,"09/28/2023, 05:40:48",13.1.85,2,lumi.158d0008f34328
22,"09/28/2023, 05:42:17",13.1.85,2,lumi.158d0008f34328
21,"09/28/2023, 05:43:30",13.1.85,2,lumi.158d0008f34328
20,"09/28/2023, 05:43:59",13.1.85,2,lumi.158d0008f34328
19,"09/28/2023, 05:44:20",13.1.85,2,lumi.158d0008f34328
18,"09/28/2023, 05:44:34",13.1.85,2,lumi.158d0008f34328
17,"09/28/2023, 05:47:18",13.1.85,2,lumi.158d0008f34328
16,"09/28/2023, 05:48:17",13.1.85,2,lumi.158d0008f34328
15,"09/28/2023, 05:49:06",13.1.85,2,lumi.158d0008f34328
14,"09/28/2023, 05:51:04",13.1.85,2,lumi.158d0008f34328
13,"09/28/2023, 05:51:20",13.1.85,2,lumi.158d0008f34328
12,"09/28/2023, 05:52:44",13.1.85,2,lumi.158d0008f34328
11,"09/28/2023, 05:54:19",13.1.85,2,lumi.158d0008f34328
10,"09/28/2023, 05:54:56",13.1.85,2,lumi.158d0008f34328
9,"09/28/2023, 05:55:16",13.1.85,2,lumi.158d0008f34328
8,"09/28/2023, 05:56:11",13.1.85,2,lumi.158d0008f34328
7,"09/28/2023, 05:56:50",13.1.85,2,lumi.158d0008f34328
6,"09/28/2023, 06:00:42",13.1.85,2,lumi.158d0008f34328
5,"09/28/2023, 06:01:36",13.1.85,2,lumi.158d0008f34328
4,"09/28/2023, 06:03:27",13.1.85,2,lumi.158d0008f34328
3,"09/28/2023, 06:19:45",13.1.85,1,lumi.158d0008f34328
2,"09/28/2023, 06:27:40",13.1.85,1,lumi.158d0008f34328
1,"09/28/2023, 17:50:49",13.1.85,1,lumi.158d0008f34328
0,"09/28/2023, 20:04:18",13.1.85,2,lumi.158d0008f34328
