,timeStamp,resourceId,value,subjectId
32,"11/30/2023, 00:19:53",0.3.85,0,lumi.54ef44100065d1e0
31,"11/30/2023, 01:14:41",0.3.85,0,lumi.54ef44100065d1e0
30,"11/30/2023, 03:04:17",0.3.85,0,lumi.54ef44100065d1e0
29,"11/30/2023, 03:11:52",0.3.85,11,lumi.54ef44100065d1e0
28,"11/30/2023, 03:11:57",0.3.85,33,lumi.54ef44100065d1e0
27,"11/30/2023, 03:12:02",0.3.85,46,lumi.54ef44100065d1e0
26,"11/30/2023, 03:12:12",0.3.85,61,lumi.54ef44100065d1e0
25,"11/30/2023, 03:12:22",0.3.85,18,lumi.54ef44100065d1e0
24,"11/30/2023, 03:13:11",0.3.85,10,lumi.54ef44100065d1e0
23,"11/30/2023, 03:13:21",0.3.85,221,lumi.54ef44100065d1e0
22,"11/30/2023, 03:47:03",0.3.85,282,lumi.54ef44100065d1e0
21,"11/30/2023, 03:47:38",0.3.85,235,lumi.54ef44100065d1e0
20,"11/30/2023, 03:49:37",0.3.85,167,lumi.54ef44100065d1e0
19,"11/30/2023, 03:49:42",0.3.85,221,lumi.54ef44100065d1e0
18,"11/30/2023, 03:59:05",0.3.85,229,lumi.54ef44100065d1e0
17,"11/30/2023, 04:21:36",0.3.85,85,lumi.54ef44100065d1e0
16,"11/30/2023, 04:21:41",0.3.85,46,lumi.54ef44100065d1e0
15,"11/30/2023, 04:21:46",0.3.85,30,lumi.54ef44100065d1e0
14,"11/30/2023, 04:21:51",0.3.85,193,lumi.54ef44100065d1e0
13,"11/30/2023, 04:21:56",0.3.85,232,lumi.54ef44100065d1e0
12,"11/30/2023, 04:22:16",0.3.85,285,lumi.54ef44100065d1e0
11,"11/30/2023, 04:22:51",0.3.85,241,lumi.54ef44100065d1e0
10,"11/30/2023, 04:27:25",0.3.85,193,lumi.54ef44100065d1e0
9,"11/30/2023, 04:27:29",0.3.85,84,lumi.54ef44100065d1e0
8,"11/30/2023, 04:27:59",0.3.85,71,lumi.54ef44100065d1e0
7,"11/30/2023, 04:28:09",0.3.85,215,lumi.54ef44100065d1e0
6,"11/30/2023, 04:33:03",0.3.85,161,lumi.54ef44100065d1e0
5,"11/30/2023, 04:33:08",0.3.85,0,lumi.54ef44100065d1e0
4,"11/30/2023, 05:48:41",0.3.85,0,lumi.54ef44100065d1e0
3,"11/30/2023, 06:43:29",0.3.85,0,lumi.54ef44100065d1e0
2,"11/30/2023, 08:33:05",0.3.85,0,lumi.54ef44100065d1e0
1,"11/30/2023, 09:27:52",0.3.85,0,lumi.54ef44100065d1e0
0,"11/30/2023, 11:17:28",0.3.85,0,lumi.54ef44100065d1e0
