,timeStamp,resourceId,value,subjectId
17,"01/01/2024, 00:04:09",3.1.85,1,lumi.54ef4410003fe0df
16,"01/01/2024, 00:04:11",3.1.85,0,lumi.54ef4410003fe0df
15,"01/01/2024, 00:06:00",3.1.85,1,lumi.54ef4410003fe0df
14,"01/01/2024, 00:06:03",3.1.85,0,lumi.54ef4410003fe0df
13,"01/01/2024, 00:06:03",3.1.85,1,lumi.54ef4410003fe0df
12,"01/01/2024, 00:06:04",3.1.85,0,lumi.54ef4410003fe0df
11,"01/01/2024, 15:19:11",3.1.85,1,lumi.54ef4410003fe0df
10,"01/01/2024, 15:19:14",3.1.85,0,lumi.54ef4410003fe0df
9,"01/01/2024, 15:19:51",3.1.85,1,lumi.54ef4410003fe0df
8,"01/01/2024, 15:19:55",3.1.85,0,lumi.54ef4410003fe0df
7,"01/01/2024, 15:24:07",3.1.85,1,lumi.54ef4410003fe0df
6,"01/01/2024, 15:24:18",3.1.85,0,lumi.54ef4410003fe0df
5,"01/01/2024, 15:25:26",3.1.85,1,lumi.54ef4410003fe0df
4,"01/01/2024, 15:25:44",3.1.85,0,lumi.54ef4410003fe0df
3,"01/01/2024, 15:26:59",3.1.85,1,lumi.54ef4410003fe0df
2,"01/01/2024, 15:27:04",3.1.85,0,lumi.54ef4410003fe0df
1,"01/01/2024, 15:27:04",3.1.85,1,lumi.54ef4410003fe0df
0,"01/01/2024, 19:41:25",3.1.85,1,lumi.54ef4410003fe0df
