,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
302,,0.2.85,"05/15/2023, 01:00:00",5013.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 00:30:00"
301,,0.3.85,"05/15/2023, 01:00:00",100800.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 00:30:00"
300,,0.1.85,"05/15/2023, 01:00:00",2550.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 00:30:00"
299,"05/15/2023, 00:48:46",0.3.85,"05/15/2023, 01:00:00",100800.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 00:30:00"
298,"05/15/2023, 00:48:46",0.1.85,"05/15/2023, 01:00:00",2550.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 00:30:00"
297,"05/15/2023, 00:48:46",0.2.85,"05/15/2023, 01:00:00",5013.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 00:30:00"
296,"05/15/2023, 00:48:46",0.2.85,"05/15/2023, 01:00:00",5013.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 00:30:00"
295,"05/15/2023, 00:48:46",0.3.85,"05/15/2023, 01:00:00",100800.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 00:30:00"
294,"05/15/2023, 00:48:46",0.1.85,"05/15/2023, 01:00:00",2550.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 00:30:00"
293,,0.3.85,"05/15/2023, 01:30:00",100845.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 01:00:00"
292,"05/15/2023, 01:04:21",0.3.85,"05/15/2023, 01:30:00",100860.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 01:00:00"
291,"05/15/2023, 01:20:48",0.3.85,"05/15/2023, 01:30:00",100830.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 01:00:00"
290,,0.2.85,"05/15/2023, 02:00:00",4952.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 01:30:00"
289,,0.3.85,"05/15/2023, 02:00:00",100800.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 01:30:00"
288,,0.1.85,"05/15/2023, 02:00:00",2556.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 01:30:00"
287,"05/15/2023, 01:43:39",0.3.85,"05/15/2023, 02:00:00",100800.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 01:30:00"
286,"05/15/2023, 01:43:39",0.1.85,"05/15/2023, 02:00:00",2556.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 01:30:00"
285,"05/15/2023, 01:43:39",0.2.85,"05/15/2023, 02:00:00",4952.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 01:30:00"
284,"05/15/2023, 01:43:39",0.2.85,"05/15/2023, 02:00:00",4952.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 01:30:00"
283,"05/15/2023, 01:43:39",0.3.85,"05/15/2023, 02:00:00",100800.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 01:30:00"
282,"05/15/2023, 01:43:39",0.1.85,"05/15/2023, 02:00:00",2556.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 01:30:00"
281,,0.3.85,"05/15/2023, 02:30:00",100770.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 02:00:00"
280,"05/15/2023, 02:25:55",0.3.85,"05/15/2023, 02:30:00",100770.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 02:00:00"
279,"05/15/2023, 02:25:55",0.3.85,"05/15/2023, 02:30:00",100770.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 02:00:00"
278,,0.2.85,"05/15/2023, 03:00:00",4977.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 02:30:00"
277,,0.3.85,"05/15/2023, 03:00:00",100700.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 02:30:00"
276,,0.1.85,"05/15/2023, 03:00:00",2533.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 02:30:00"
275,"05/15/2023, 02:38:32",0.3.85,"05/15/2023, 03:00:00",100700.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 02:30:00"
274,"05/15/2023, 02:38:32",0.1.85,"05/15/2023, 03:00:00",2536.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 02:30:00"
273,"05/15/2023, 02:38:32",0.2.85,"05/15/2023, 03:00:00",4977.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 02:30:00"
272,"05/15/2023, 02:38:32",0.2.85,"05/15/2023, 03:00:00",4977.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 02:30:00"
271,"05/15/2023, 02:38:32",0.3.85,"05/15/2023, 03:00:00",100700.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 02:30:00"
270,"05/15/2023, 02:36:20",0.1.85,"05/15/2023, 03:00:00",2530.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 02:30:00"
269,,0.2.85,"05/15/2023, 04:00:00",4946.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 03:30:00"
268,,0.3.85,"05/15/2023, 04:00:00",100700.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 03:30:00"
267,,0.1.85,"05/15/2023, 04:00:00",2549.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 03:30:00"
266,"05/15/2023, 03:33:24",0.3.85,"05/15/2023, 04:00:00",100700.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 03:30:00"
265,"05/15/2023, 03:33:24",0.1.85,"05/15/2023, 04:00:00",2549.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 03:30:00"
264,"05/15/2023, 03:33:24",0.2.85,"05/15/2023, 04:00:00",4946.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 03:30:00"
263,"05/15/2023, 03:33:24",0.2.85,"05/15/2023, 04:00:00",4946.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 03:30:00"
262,"05/15/2023, 03:33:24",0.3.85,"05/15/2023, 04:00:00",100700.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 03:30:00"
261,"05/15/2023, 03:33:24",0.1.85,"05/15/2023, 04:00:00",2549.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 03:30:00"
260,,0.2.85,"05/15/2023, 04:30:00",4869.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 04:00:00"
259,,0.3.85,"05/15/2023, 04:30:00",100720.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 04:00:00"
258,,0.1.85,"05/15/2023, 04:30:00",2553.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 04:00:00"
257,"05/15/2023, 04:24:49",0.3.85,"05/15/2023, 04:30:00",100740.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 04:00:00"
256,"05/15/2023, 04:28:17",0.1.85,"05/15/2023, 04:30:00",2553.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 04:00:00"
255,"05/15/2023, 04:28:17",0.2.85,"05/15/2023, 04:30:00",4869.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 04:00:00"
254,"05/15/2023, 04:28:17",0.2.85,"05/15/2023, 04:30:00",4869.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 04:00:00"
253,"05/15/2023, 04:28:17",0.3.85,"05/15/2023, 04:30:00",100700.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 04:00:00"
252,"05/15/2023, 04:28:17",0.1.85,"05/15/2023, 04:30:00",2553.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 04:00:00"
251,,0.3.85,"05/15/2023, 05:00:00",100710.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 04:30:00"
250,"05/15/2023, 04:37:39",0.3.85,"05/15/2023, 05:00:00",100710.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 04:30:00"
249,"05/15/2023, 04:37:39",0.3.85,"05/15/2023, 05:00:00",100710.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 04:30:00"
248,,0.2.85,"05/15/2023, 05:30:00",4889.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 05:00:00"
247,,0.3.85,"05/15/2023, 05:30:00",100720.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 05:00:00"
246,,0.1.85,"05/15/2023, 05:30:00",2549.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 05:00:00"
245,"05/15/2023, 05:24:29",0.3.85,"05/15/2023, 05:30:00",100740.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 05:00:00"
244,"05/15/2023, 05:23:10",0.1.85,"05/15/2023, 05:30:00",2549.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 05:00:00"
243,"05/15/2023, 05:23:10",0.2.85,"05/15/2023, 05:30:00",4889.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 05:00:00"
242,"05/15/2023, 05:23:10",0.2.85,"05/15/2023, 05:30:00",4889.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 05:00:00"
241,"05/15/2023, 05:23:10",0.3.85,"05/15/2023, 05:30:00",100700.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 05:00:00"
240,"05/15/2023, 05:23:10",0.1.85,"05/15/2023, 05:30:00",2549.000000,lumi.54ef4410004b0fdb,1,"05/15/2023, 05:00:00"
239,,0.3.85,"05/15/2023, 06:00:00",100770.0,lumi.54ef4410004b0fdb,3,"05/15/2023, 05:30:00"
238,"05/15/2023, 05:49:31",0.3.85,"05/15/2023, 06:00:00",100770.000000,lumi.54ef4410004b0fdb,2,"05/15/2023, 05:30:00"
