,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
13,,3.1.85,"06/08/2023, 03:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"06/08/2023, 02:30:00"
12,,3.1.85,"06/08/2023, 14:30:00","{""1"":1}",lumi.54ef4410003fe1c9,4,"06/08/2023, 14:00:00"
11,,3.1.85,"06/08/2023, 15:00:00","{""0"":1}",lumi.54ef4410003fe1c9,4,"06/08/2023, 14:30:00"
10,,3.1.85,"06/09/2023, 06:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"06/09/2023, 05:30:00"
9,,3.1.85,"06/09/2023, 14:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"06/09/2023, 13:30:00"
8,,3.1.85,"06/09/2023, 22:30:00","{""0"":3,""1"":3}",lumi.54ef4410003fe1c9,4,"06/09/2023, 22:00:00"
7,,3.1.85,"06/09/2023, 23:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"06/09/2023, 23:00:00"
6,,3.1.85,"06/10/2023, 01:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"06/10/2023, 00:30:00"
5,,3.1.85,"06/10/2023, 06:30:00","{""0"":3,""1"":3}",lumi.54ef4410003fe1c9,4,"06/10/2023, 06:00:00"
4,,3.1.85,"06/10/2023, 07:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"06/10/2023, 06:30:00"
3,,3.1.85,"06/10/2023, 14:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"06/10/2023, 13:30:00"
2,,3.1.85,"06/10/2023, 15:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"06/10/2023, 14:30:00"
1,,3.1.85,"06/10/2023, 16:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"06/10/2023, 16:00:00"
0,,3.1.85,"06/10/2023, 21:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"06/10/2023, 20:30:00"
