,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
11,,13.1.85,"06/08/2023, 04:30:00","{""1"":4}",lumi.158d0008f34290,4,"06/08/2023, 04:00:00"
10,,13.1.85,"06/08/2023, 08:00:00","{""1"":1}",lumi.158d0008f34290,4,"06/08/2023, 07:30:00"
9,,13.1.85,"06/08/2023, 08:30:00","{""1"":1}",lumi.158d0008f34290,4,"06/08/2023, 08:00:00"
8,,13.1.85,"06/08/2023, 12:00:00","{""1"":2}",lumi.158d0008f34290,4,"06/08/2023, 11:30:00"
7,,13.1.85,"06/09/2023, 06:00:00","{""1"":1}",lumi.158d0008f34290,4,"06/09/2023, 05:30:00"
6,,13.1.85,"06/10/2023, 03:30:00","{""1"":2}",lumi.158d0008f34290,4,"06/10/2023, 03:00:00"
5,,13.1.85,"06/10/2023, 04:00:00","{""1"":1}",lumi.158d0008f34290,4,"06/10/2023, 03:30:00"
4,,13.1.85,"06/10/2023, 04:30:00","{""1"":1}",lumi.158d0008f34290,4,"06/10/2023, 04:00:00"
3,,13.1.85,"06/10/2023, 06:30:00","{""1"":1}",lumi.158d0008f34290,4,"06/10/2023, 06:00:00"
2,,13.1.85,"06/10/2023, 08:00:00","{""1"":1}",lumi.158d0008f34290,4,"06/10/2023, 07:30:00"
1,,13.1.85,"06/10/2023, 16:30:00","{""1"":2}",lumi.158d0008f34290,4,"06/10/2023, 16:00:00"
0,,13.1.85,"06/10/2023, 17:00:00","{""1"":1}",lumi.158d0008f34290,4,"06/10/2023, 16:30:00"
