,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
299,,0.3.85,"06/11/2023, 07:00:00",192.8,lumi.54ef44100065d5b3,3,"06/11/2023, 06:30:00"
298,"06/11/2023, 06:53:40",0.3.85,"06/11/2023, 07:00:00",233.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 06:30:00"
297,"06/11/2023, 06:33:10",0.3.85,"06/11/2023, 07:00:00",141.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 06:30:00"
296,,0.3.85,"06/11/2023, 07:30:00",665.083333,lumi.54ef44100065d5b3,3,"06/11/2023, 07:00:00"
295,"06/11/2023, 07:25:17",0.3.85,"06/11/2023, 07:30:00",1201.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 07:00:00"
294,"06/11/2023, 07:00:14",0.3.85,"06/11/2023, 07:30:00",275.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 07:00:00"
293,,0.3.85,"06/11/2023, 08:00:00",1143.666667,lumi.54ef44100065d5b3,3,"06/11/2023, 07:30:00"
292,"06/11/2023, 07:58:15",0.3.85,"06/11/2023, 08:00:00",1207.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 07:30:00"
291,"06/11/2023, 07:57:45",0.3.85,"06/11/2023, 08:00:00",1033.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 07:30:00"
290,,0.3.85,"06/11/2023, 08:30:00",615.186047,lumi.54ef44100065d5b3,3,"06/11/2023, 08:00:00"
289,"06/11/2023, 08:00:40",0.3.85,"06/11/2023, 08:30:00",1196.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 08:00:00"
288,"06/11/2023, 08:09:19",0.3.85,"06/11/2023, 08:30:00",285.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 08:00:00"
287,,0.3.85,"06/11/2023, 09:00:00",697.714286,lumi.54ef44100065d5b3,3,"06/11/2023, 08:30:00"
286,"06/11/2023, 08:34:07",0.3.85,"06/11/2023, 09:00:00",929.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 08:30:00"
285,"06/11/2023, 08:30:18",0.3.85,"06/11/2023, 09:00:00",377.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 08:30:00"
284,,0.3.85,"06/11/2023, 09:30:00",714.0,lumi.54ef44100065d5b3,3,"06/11/2023, 09:00:00"
283,"06/11/2023, 09:15:00",0.3.85,"06/11/2023, 09:30:00",714.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 09:00:00"
282,"06/11/2023, 09:15:00",0.3.85,"06/11/2023, 09:30:00",714.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 09:00:00"
281,,0.3.85,"06/11/2023, 10:00:00",575.25,lumi.54ef44100065d5b3,3,"06/11/2023, 09:30:00"
280,"06/11/2023, 09:31:14",0.3.85,"06/11/2023, 10:00:00",635.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 09:30:00"
279,"06/11/2023, 09:55:53",0.3.85,"06/11/2023, 10:00:00",502.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 09:30:00"
278,,0.3.85,"06/11/2023, 10:30:00",391.0,lumi.54ef44100065d5b3,3,"06/11/2023, 10:00:00"
277,"06/11/2023, 10:11:17",0.3.85,"06/11/2023, 10:30:00",426.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 10:00:00"
276,"06/11/2023, 10:28:35",0.3.85,"06/11/2023, 10:30:00",356.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 10:00:00"
275,,0.3.85,"06/11/2023, 11:00:00",334.428571,lumi.54ef44100065d5b3,3,"06/11/2023, 10:30:00"
274,"06/11/2023, 10:32:55",0.3.85,"06/11/2023, 11:00:00",389.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 10:30:00"
273,"06/11/2023, 10:49:45",0.3.85,"06/11/2023, 11:00:00",286.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 10:30:00"
272,,0.3.85,"06/11/2023, 11:30:00",324.5,lumi.54ef44100065d5b3,3,"06/11/2023, 11:00:00"
271,"06/11/2023, 11:27:51",0.3.85,"06/11/2023, 11:30:00",354.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 11:00:00"
270,"06/11/2023, 11:29:23",0.3.85,"06/11/2023, 11:30:00",295.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 11:00:00"
269,,0.3.85,"06/11/2023, 12:00:00",269.166667,lumi.54ef44100065d5b3,3,"06/11/2023, 11:30:00"
268,"06/11/2023, 11:59:55",0.3.85,"06/11/2023, 12:00:00",295.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 11:30:00"
267,"06/11/2023, 11:44:37",0.3.85,"06/11/2023, 12:00:00",245.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 11:30:00"
266,,0.3.85,"06/11/2023, 12:30:00",266.5,lumi.54ef44100065d5b3,3,"06/11/2023, 12:00:00"
265,"06/11/2023, 12:15:33",0.3.85,"06/11/2023, 12:30:00",292.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 12:00:00"
264,"06/11/2023, 12:26:54",0.3.85,"06/11/2023, 12:30:00",245.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 12:00:00"
263,,0.3.85,"06/11/2023, 13:00:00",277.833333,lumi.54ef44100065d5b3,3,"06/11/2023, 12:30:00"
262,"06/11/2023, 12:55:56",0.3.85,"06/11/2023, 13:00:00",306.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 12:30:00"
261,"06/11/2023, 12:34:54",0.3.85,"06/11/2023, 13:00:00",253.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 12:30:00"
260,,0.3.85,"06/11/2023, 13:30:00",283.5,lumi.54ef44100065d5b3,3,"06/11/2023, 13:00:00"
259,"06/11/2023, 13:14:10",0.3.85,"06/11/2023, 13:30:00",300.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 13:00:00"
258,"06/11/2023, 13:27:50",0.3.85,"06/11/2023, 13:30:00",248.000000,lumi.54ef44100065d5b3,1,"06/11/2023, 13:00:00"
257,,0.3.85,"06/11/2023, 14:30:00",302.384615,lumi.54ef44100065d5b3,3,"06/11/2023, 14:00:00"
256,"06/11/2023, 14:15:23",0.3.85,"06/11/2023, 14:30:00",350.000000,lumi.54ef44100065d5b3,2,"06/11/2023, 14:00:00"
