,timeStamp,resourceId,value,subjectId
271,"09/27/2023, 00:01:21",0.1.85,2589,lumi.54ef4410004b0fdb
270,"09/27/2023, 00:01:21",0.2.85,5747,lumi.54ef4410004b0fdb
269,"09/27/2023, 00:01:21",0.3.85,101000,lumi.54ef4410004b0fdb
268,"09/27/2023, 00:15:17",0.1.85,2565,lumi.54ef4410004b0fdb
267,"09/27/2023, 00:30:16",0.3.85,101060,lumi.54ef4410004b0fdb
266,"09/27/2023, 00:56:14",0.1.85,2562,lumi.54ef4410004b0fdb
265,"09/27/2023, 00:56:14",0.2.85,5838,lumi.54ef4410004b0fdb
264,"09/27/2023, 00:56:14",0.3.85,101000,lumi.54ef4410004b0fdb
263,"09/27/2023, 00:58:06",0.3.85,101030,lumi.54ef4410004b0fdb
262,"09/27/2023, 01:02:07",0.2.85,6146,lumi.54ef4410004b0fdb
261,"09/27/2023, 01:09:37",0.2.85,5544,lumi.54ef4410004b0fdb
260,"09/27/2023, 01:10:54",0.1.85,2512,lumi.54ef4410004b0fdb
259,"09/27/2023, 01:11:16",0.3.85,101060,lumi.54ef4410004b0fdb
258,"09/27/2023, 01:23:42",0.2.85,4939,lumi.54ef4410004b0fdb
257,"09/27/2023, 01:28:16",0.1.85,2457,lumi.54ef4410004b0fdb
256,"09/27/2023, 01:45:49",0.2.85,4338,lumi.54ef4410004b0fdb
255,"09/27/2023, 01:51:07",0.1.85,2431,lumi.54ef4410004b0fdb
254,"09/27/2023, 01:51:07",0.2.85,4234,lumi.54ef4410004b0fdb
253,"09/27/2023, 01:51:07",0.3.85,101000,lumi.54ef4410004b0fdb
252,"09/27/2023, 02:04:52",0.1.85,2406,lumi.54ef4410004b0fdb
251,"09/27/2023, 02:26:48",0.3.85,101030,lumi.54ef4410004b0fdb
250,"09/27/2023, 02:28:05",0.1.85,2458,lumi.54ef4410004b0fdb
249,"09/27/2023, 02:38:30",0.1.85,2407,lumi.54ef4410004b0fdb
248,"09/27/2023, 02:46:00",0.1.85,2380,lumi.54ef4410004b0fdb
247,"09/27/2023, 02:46:00",0.2.85,3944,lumi.54ef4410004b0fdb
246,"09/27/2023, 02:46:00",0.3.85,101000,lumi.54ef4410004b0fdb
245,"09/27/2023, 03:03:13",0.3.85,101000,lumi.54ef4410004b0fdb
244,"09/27/2023, 03:40:53",0.1.85,2373,lumi.54ef4410004b0fdb
243,"09/27/2023, 03:40:53",0.2.85,3813,lumi.54ef4410004b0fdb
242,"09/27/2023, 03:40:53",0.3.85,101000,lumi.54ef4410004b0fdb
241,"09/27/2023, 04:13:05",0.1.85,2353,lumi.54ef4410004b0fdb
240,"09/27/2023, 04:16:01",0.3.85,101030,lumi.54ef4410004b0fdb
239,"09/27/2023, 04:31:55",0.1.85,2404,lumi.54ef4410004b0fdb
238,"09/27/2023, 04:35:45",0.1.85,2406,lumi.54ef4410004b0fdb
237,"09/27/2023, 04:35:45",0.2.85,4733,lumi.54ef4410004b0fdb
236,"09/27/2023, 04:35:45",0.3.85,101000,lumi.54ef4410004b0fdb
235,"09/27/2023, 04:46:56",0.1.85,2353,lumi.54ef4410004b0fdb
234,"09/27/2023, 05:08:20",0.1.85,2404,lumi.54ef4410004b0fdb
233,"09/27/2023, 05:19:40",0.1.85,2352,lumi.54ef4410004b0fdb
232,"09/27/2023, 05:30:38",0.1.85,2397,lumi.54ef4410004b0fdb
231,"09/27/2023, 05:30:38",0.2.85,4522,lumi.54ef4410004b0fdb
230,"09/27/2023, 05:30:38",0.3.85,101000,lumi.54ef4410004b0fdb
229,"09/27/2023, 05:31:02",0.1.85,2403,lumi.54ef4410004b0fdb
228,"09/27/2023, 06:05:35",0.3.85,101060,lumi.54ef4410004b0fdb
227,"09/27/2023, 06:25:31",0.1.85,2356,lumi.54ef4410004b0fdb
226,"09/27/2023, 06:25:31",0.2.85,4142,lumi.54ef4410004b0fdb
225,"09/27/2023, 06:25:31",0.3.85,101000,lumi.54ef4410004b0fdb
224,"09/27/2023, 06:27:33",0.1.85,2352,lumi.54ef4410004b0fdb
223,"09/27/2023, 06:42:44",0.1.85,2403,lumi.54ef4410004b0fdb
222,"09/27/2023, 07:00:28",0.3.85,101090,lumi.54ef4410004b0fdb
221,"09/27/2023, 07:20:24",0.1.85,2410,lumi.54ef4410004b0fdb
220,"09/27/2023, 07:20:24",0.2.85,4579,lumi.54ef4410004b0fdb
219,"09/27/2023, 07:20:24",0.3.85,101000,lumi.54ef4410004b0fdb
218,"09/27/2023, 07:50:46",0.3.85,101120,lumi.54ef4410004b0fdb
217,"09/27/2023, 08:00:39",0.1.85,2349,lumi.54ef4410004b0fdb
216,"09/27/2023, 08:15:16",0.1.85,2392,lumi.54ef4410004b0fdb
215,"09/27/2023, 08:15:16",0.2.85,4591,lumi.54ef4410004b0fdb
214,"09/27/2023, 08:15:16",0.3.85,101100,lumi.54ef4410004b0fdb
213,"09/27/2023, 08:20:58",0.1.85,2400,lumi.54ef4410004b0fdb
212,"09/27/2023, 08:33:13",0.1.85,2349,lumi.54ef4410004b0fdb
211,"09/27/2023, 09:07:46",0.3.85,101150,lumi.54ef4410004b0fdb
210,"09/27/2023, 09:10:09",0.1.85,2345,lumi.54ef4410004b0fdb
209,"09/27/2023, 09:10:09",0.2.85,4260,lumi.54ef4410004b0fdb
208,"09/27/2023, 09:10:09",0.3.85,101100,lumi.54ef4410004b0fdb
207,"09/27/2023, 09:21:31",0.1.85,2400,lumi.54ef4410004b0fdb
206,"09/27/2023, 09:38:09",0.1.85,2349,lumi.54ef4410004b0fdb
205,"09/27/2023, 10:05:01",0.1.85,2380,lumi.54ef4410004b0fdb
204,"09/27/2023, 10:05:01",0.2.85,4466,lumi.54ef4410004b0fdb
203,"09/27/2023, 10:05:01",0.3.85,101100,lumi.54ef4410004b0fdb
202,"09/27/2023, 10:18:02",0.3.85,101180,lumi.54ef4410004b0fdb
201,"09/27/2023, 10:47:39",0.2.85,4973,lumi.54ef4410004b0fdb
200,"09/27/2023, 10:52:35",0.1.85,2403,lumi.54ef4410004b0fdb
199,"09/27/2023, 10:59:54",0.1.85,2407,lumi.54ef4410004b0fdb
198,"09/27/2023, 10:59:54",0.2.85,5193,lumi.54ef4410004b0fdb
197,"09/27/2023, 10:59:54",0.3.85,101100,lumi.54ef4410004b0fdb
196,"09/27/2023, 11:20:57",0.3.85,101150,lumi.54ef4410004b0fdb
