,timeStamp,resourceId,value,subjectId
47,"09/29/2023, 02:11:04",13.1.85,1,lumi.158d0008f34bf3
46,"09/29/2023, 02:19:15",13.1.85,1,lumi.158d0008f34bf3
45,"09/29/2023, 02:20:38",13.1.85,2,lumi.158d0008f34bf3
44,"09/29/2023, 02:20:39",13.1.85,1,lumi.158d0008f34bf3
43,"09/29/2023, 02:21:44",13.1.85,1,lumi.158d0008f34bf3
42,"09/29/2023, 02:22:51",13.1.85,1,lumi.158d0008f34bf3
41,"09/29/2023, 02:28:20",13.1.85,1,lumi.158d0008f34bf3
40,"09/29/2023, 02:36:30",13.1.85,1,lumi.158d0008f34bf3
39,"09/29/2023, 02:37:26",13.1.85,2,lumi.158d0008f34bf3
38,"09/29/2023, 02:38:13",13.1.85,2,lumi.158d0008f34bf3
37,"09/29/2023, 02:38:14",13.1.85,1,lumi.158d0008f34bf3
36,"09/29/2023, 02:50:09",13.1.85,1,lumi.158d0008f34bf3
35,"09/29/2023, 03:03:03",13.1.85,1,lumi.158d0008f34bf3
34,"09/29/2023, 03:37:15",13.1.85,2,lumi.158d0008f34bf3
33,"09/29/2023, 03:39:58",13.1.85,1,lumi.158d0008f34bf3
32,"09/29/2023, 03:42:15",13.1.85,1,lumi.158d0008f34bf3
31,"09/29/2023, 03:59:14",13.1.85,1,lumi.158d0008f34bf3
30,"09/29/2023, 04:28:17",13.1.85,2,lumi.158d0008f34bf3
29,"09/29/2023, 04:28:59",13.1.85,2,lumi.158d0008f34bf3
28,"09/29/2023, 04:31:30",13.1.85,2,lumi.158d0008f34bf3
27,"09/29/2023, 04:45:20",13.1.85,2,lumi.158d0008f34bf3
26,"09/29/2023, 04:52:45",13.1.85,1,lumi.158d0008f34bf3
25,"09/29/2023, 05:00:01",13.1.85,1,lumi.158d0008f34bf3
24,"09/29/2023, 05:04:00",13.1.85,1,lumi.158d0008f34bf3
23,"09/29/2023, 07:08:25",13.1.85,1,lumi.158d0008f34bf3
22,"09/29/2023, 07:12:52",13.1.85,1,lumi.158d0008f34bf3
21,"09/29/2023, 12:31:25",13.1.85,1,lumi.158d0008f34bf3
20,"09/29/2023, 14:04:08",13.1.85,1,lumi.158d0008f34bf3
19,"09/29/2023, 14:05:42",13.1.85,1,lumi.158d0008f34bf3
18,"09/29/2023, 14:09:37",13.1.85,1,lumi.158d0008f34bf3
17,"09/29/2023, 14:12:27",13.1.85,1,lumi.158d0008f34bf3
16,"09/29/2023, 14:25:35",13.1.85,1,lumi.158d0008f34bf3
15,"09/29/2023, 14:39:28",13.1.85,1,lumi.158d0008f34bf3
14,"09/29/2023, 14:47:03",13.1.85,1,lumi.158d0008f34bf3
13,"09/29/2023, 14:51:58",13.1.85,1,lumi.158d0008f34bf3
12,"09/29/2023, 15:02:18",13.1.85,1,lumi.158d0008f34bf3
11,"09/29/2023, 15:17:56",13.1.85,1,lumi.158d0008f34bf3
10,"09/29/2023, 15:21:06",13.1.85,1,lumi.158d0008f34bf3
9,"09/29/2023, 17:14:32",13.1.85,1,lumi.158d0008f34bf3
8,"09/29/2023, 17:15:33",13.1.85,1,lumi.158d0008f34bf3
7,"09/29/2023, 17:37:18",13.1.85,1,lumi.158d0008f34bf3
6,"09/29/2023, 18:01:57",13.1.85,1,lumi.158d0008f34bf3
5,"09/29/2023, 21:34:45",13.1.85,1,lumi.158d0008f34bf3
4,"09/29/2023, 21:36:33",13.1.85,1,lumi.158d0008f34bf3
3,"09/29/2023, 22:25:55",13.1.85,1,lumi.158d0008f34bf3
2,"09/29/2023, 22:48:03",13.1.85,1,lumi.158d0008f34bf3
1,"09/29/2023, 23:26:07",13.1.85,1,lumi.158d0008f34bf3
0,"09/29/2023, 23:36:13",13.1.85,1,lumi.158d0008f34bf3
