,timeStamp,resourceId,value,subjectId
16,"09/29/2023, 01:52:11",13.1.85,1,lumi.158d0008f34290
15,"09/29/2023, 02:02:24",13.1.85,1,lumi.158d0008f34290
14,"09/29/2023, 02:03:50",13.1.85,1,lumi.158d0008f34290
13,"09/29/2023, 02:05:06",13.1.85,1,lumi.158d0008f34290
12,"09/29/2023, 02:09:54",13.1.85,1,lumi.158d0008f34290
11,"09/29/2023, 02:36:41",13.1.85,1,lumi.158d0008f34290
10,"09/29/2023, 02:50:16",13.1.85,1,lumi.158d0008f34290
9,"09/29/2023, 03:59:21",13.1.85,1,lumi.158d0008f34290
8,"09/29/2023, 11:08:24",13.1.85,1,lumi.158d0008f34290
7,"09/29/2023, 12:09:37",13.1.85,1,lumi.158d0008f34290
6,"09/29/2023, 12:20:27",13.1.85,1,lumi.158d0008f34290
5,"09/29/2023, 12:22:00",13.1.85,1,lumi.158d0008f34290
4,"09/29/2023, 12:58:11",13.1.85,1,lumi.158d0008f34290
3,"09/29/2023, 14:08:05",13.1.85,1,lumi.158d0008f34290
2,"09/29/2023, 14:46:40",13.1.85,1,lumi.158d0008f34290
1,"09/29/2023, 17:11:38",13.1.85,1,lumi.158d0008f34290
0,"09/29/2023, 20:48:52",13.1.85,1,lumi.158d0008f34290
