,timeStamp,resourceId,value,subjectId
9,"10/17/2023, 02:23:36",3.1.85,1,lumi.54ef4410003fe1c9
8,"10/17/2023, 02:23:40",3.1.85,0,lumi.54ef4410003fe1c9
7,"10/17/2023, 02:53:55",3.1.85,1,lumi.54ef4410003fe1c9
6,"10/17/2023, 02:53:59",3.1.85,0,lumi.54ef4410003fe1c9
5,"10/17/2023, 04:05:47",3.1.85,1,lumi.54ef4410003fe1c9
4,"10/17/2023, 04:05:50",3.1.85,0,lumi.54ef4410003fe1c9
3,"10/18/2023, 06:41:21",3.1.85,1,lumi.54ef4410003fe1c9
2,"10/18/2023, 06:41:25",3.1.85,0,lumi.54ef4410003fe1c9
1,"10/18/2023, 14:50:20",3.1.85,1,lumi.54ef4410003fe1c9
0,"10/18/2023, 14:50:26",3.1.85,0,lumi.54ef4410003fe1c9
