,timeStamp,resourceId,value,subjectId
299,"11/29/2023, 07:35:31",3.1.85,1,lumi.54ef44100051b2bd
298,"11/29/2023, 07:37:38",3.1.85,1,lumi.54ef44100051b2bd
297,"11/29/2023, 07:39:26",3.1.85,1,lumi.54ef44100051b2bd
296,"11/29/2023, 07:40:35",3.1.85,1,lumi.54ef44100051b2bd
295,"11/29/2023, 07:42:32",3.1.85,1,lumi.54ef44100051b2bd
294,"11/29/2023, 07:43:50",3.1.85,1,lumi.54ef44100051b2bd
293,"11/29/2023, 07:44:49",3.1.85,1,lumi.54ef44100051b2bd
292,"11/29/2023, 07:45:47",3.1.85,1,lumi.54ef44100051b2bd
291,"11/29/2023, 07:47:38",3.1.85,1,lumi.54ef44100051b2bd
290,"11/29/2023, 07:48:38",3.1.85,1,lumi.54ef44100051b2bd
289,"11/29/2023, 07:50:59",3.1.85,1,lumi.54ef44100051b2bd
288,"11/29/2023, 07:55:22",3.1.85,1,lumi.54ef44100051b2bd
287,"11/29/2023, 09:05:38",3.1.85,1,lumi.54ef44100051b2bd
286,"11/29/2023, 09:15:24",3.1.85,1,lumi.54ef44100051b2bd
285,"11/29/2023, 09:22:51",3.1.85,1,lumi.54ef44100051b2bd
284,"11/29/2023, 09:26:56",3.1.85,1,lumi.54ef44100051b2bd
283,"11/29/2023, 09:29:17",3.1.85,1,lumi.54ef44100051b2bd
282,"11/29/2023, 10:16:02",3.1.85,1,lumi.54ef44100051b2bd
281,"11/29/2023, 10:31:35",3.1.85,1,lumi.54ef44100051b2bd
280,"11/29/2023, 10:38:49",3.1.85,1,lumi.54ef44100051b2bd
279,"11/29/2023, 10:42:23",3.1.85,1,lumi.54ef44100051b2bd
278,"11/29/2023, 10:54:07",3.1.85,1,lumi.54ef44100051b2bd
277,"11/29/2023, 11:06:22",3.1.85,1,lumi.54ef44100051b2bd
276,"11/29/2023, 11:53:38",3.1.85,1,lumi.54ef44100051b2bd
275,"11/29/2023, 11:54:59",3.1.85,1,lumi.54ef44100051b2bd
274,"11/29/2023, 11:56:42",3.1.85,1,lumi.54ef44100051b2bd
273,"11/29/2023, 12:07:35",3.1.85,1,lumi.54ef44100051b2bd
272,"11/29/2023, 12:08:44",3.1.85,1,lumi.54ef44100051b2bd
271,"11/29/2023, 12:09:46",3.1.85,1,lumi.54ef44100051b2bd
270,"11/29/2023, 12:13:20",3.1.85,1,lumi.54ef44100051b2bd
269,"11/29/2023, 12:15:21",3.1.85,1,lumi.54ef44100051b2bd
268,"11/29/2023, 12:23:16",3.1.85,1,lumi.54ef44100051b2bd
267,"11/29/2023, 12:26:02",3.1.85,1,lumi.54ef44100051b2bd
266,"11/29/2023, 12:31:28",3.1.85,1,lumi.54ef44100051b2bd
265,"11/29/2023, 12:53:50",3.1.85,1,lumi.54ef44100051b2bd
264,"11/29/2023, 12:54:48",3.1.85,1,lumi.54ef44100051b2bd
263,"11/29/2023, 12:56:38",3.1.85,1,lumi.54ef44100051b2bd
262,"11/29/2023, 13:09:50",3.1.85,1,lumi.54ef44100051b2bd
261,"11/29/2023, 13:11:39",3.1.85,1,lumi.54ef44100051b2bd
260,"11/29/2023, 13:19:00",3.1.85,1,lumi.54ef44100051b2bd
259,"11/29/2023, 13:27:13",3.1.85,1,lumi.54ef44100051b2bd
258,"11/29/2023, 13:31:49",3.1.85,1,lumi.54ef44100051b2bd
257,"11/29/2023, 13:35:26",3.1.85,1,lumi.54ef44100051b2bd
256,"11/29/2023, 13:36:28",3.1.85,1,lumi.54ef44100051b2bd
255,"11/29/2023, 13:37:54",3.1.85,1,lumi.54ef44100051b2bd
254,"11/29/2023, 13:39:36",3.1.85,1,lumi.54ef44100051b2bd
253,"11/29/2023, 13:41:22",3.1.85,1,lumi.54ef44100051b2bd
252,"11/29/2023, 13:46:13",3.1.85,1,lumi.54ef44100051b2bd
251,"11/29/2023, 13:49:50",3.1.85,1,lumi.54ef44100051b2bd
250,"11/29/2023, 13:51:10",3.1.85,1,lumi.54ef44100051b2bd
249,"11/29/2023, 13:53:42",3.1.85,1,lumi.54ef44100051b2bd
248,"11/29/2023, 13:57:36",3.1.85,1,lumi.54ef44100051b2bd
247,"11/29/2023, 13:59:18",3.1.85,1,lumi.54ef44100051b2bd
246,"11/29/2023, 14:01:58",3.1.85,1,lumi.54ef44100051b2bd
245,"11/29/2023, 14:03:00",3.1.85,1,lumi.54ef44100051b2bd
244,"11/29/2023, 14:04:00",3.1.85,1,lumi.54ef44100051b2bd
243,"11/29/2023, 14:04:58",3.1.85,1,lumi.54ef44100051b2bd
242,"11/29/2023, 14:07:17",3.1.85,1,lumi.54ef44100051b2bd
241,"11/29/2023, 14:18:07",3.1.85,1,lumi.54ef44100051b2bd
240,"11/29/2023, 14:30:00",3.1.85,1,lumi.54ef44100051b2bd
239,"11/29/2023, 14:31:39",3.1.85,1,lumi.54ef44100051b2bd
238,"11/29/2023, 14:40:35",3.1.85,1,lumi.54ef44100051b2bd
