,timeStamp,resourceId,value,subjectId
11,"12/20/2023, 03:11:48",3.1.85,1,lumi.54ef4410003fe55a
10,"12/20/2023, 03:11:49",3.1.85,0,lumi.54ef4410003fe55a
9,"12/20/2023, 03:13:00",3.1.85,1,lumi.54ef4410003fe55a
8,"12/20/2023, 03:13:02",3.1.85,0,lumi.54ef4410003fe55a
7,"12/20/2023, 13:00:41",3.1.85,1,lumi.54ef4410003fe55a
6,"12/20/2023, 13:00:43",3.1.85,0,lumi.54ef4410003fe55a
5,"12/20/2023, 13:02:03",3.1.85,1,lumi.54ef4410003fe55a
4,"12/20/2023, 13:02:12",3.1.85,0,lumi.54ef4410003fe55a
3,"12/20/2023, 13:03:03",3.1.85,1,lumi.54ef4410003fe55a
2,"12/20/2023, 13:03:16",3.1.85,0,lumi.54ef4410003fe55a
1,"12/20/2023, 13:04:21",3.1.85,1,lumi.54ef4410003fe55a
0,"12/20/2023, 14:03:35",3.1.85,0,lumi.54ef4410003fe55a
