,timeStamp,resourceId,value,subjectId
44,"12/27/2023, 00:27:42",0.3.85,205,lumi.54ef44100065d5b3
43,"12/27/2023, 00:30:17",0.3.85,224,lumi.54ef44100065d5b3
42,"12/27/2023, 01:16:35",0.3.85,109,lumi.54ef44100065d5b3
41,"12/27/2023, 01:16:40",0.3.85,210,lumi.54ef44100065d5b3
40,"12/27/2023, 01:25:14",0.3.85,221,lumi.54ef44100065d5b3
39,"12/27/2023, 02:20:12",0.3.85,225,lumi.54ef44100065d5b3
38,"12/27/2023, 03:03:35",0.3.85,0,lumi.54ef44100065d5b3
37,"12/27/2023, 03:15:09",0.3.85,0,lumi.54ef44100065d5b3
36,"12/27/2023, 04:10:06",0.3.85,0,lumi.54ef44100065d5b3
35,"12/27/2023, 05:05:03",0.3.85,0,lumi.54ef44100065d5b3
34,"12/27/2023, 06:00:01",0.3.85,0,lumi.54ef44100065d5b3
33,"12/27/2023, 06:54:58",0.3.85,0,lumi.54ef44100065d5b3
32,"12/27/2023, 07:30:12",0.3.85,20,lumi.54ef44100065d5b3
31,"12/27/2023, 07:30:17",0.3.85,1,lumi.54ef44100065d5b3
30,"12/27/2023, 07:47:35",0.3.85,8,lumi.54ef44100065d5b3
29,"12/27/2023, 07:49:55",0.3.85,10,lumi.54ef44100065d5b3
28,"12/27/2023, 07:56:07",0.3.85,15,lumi.54ef44100065d5b3
27,"12/27/2023, 08:00:21",0.3.85,22,lumi.54ef44100065d5b3
26,"12/27/2023, 08:04:16",0.3.85,29,lumi.54ef44100065d5b3
25,"12/27/2023, 08:08:46",0.3.85,36,lumi.54ef44100065d5b3
24,"12/27/2023, 08:13:55",0.3.85,43,lumi.54ef44100065d5b3
23,"12/27/2023, 08:18:50",0.3.85,51,lumi.54ef44100065d5b3
22,"12/27/2023, 08:24:09",0.3.85,61,lumi.54ef44100065d5b3
21,"12/27/2023, 08:30:09",0.3.85,72,lumi.54ef44100065d5b3
20,"12/27/2023, 08:34:28",0.3.85,85,lumi.54ef44100065d5b3
19,"12/27/2023, 08:41:38",0.3.85,101,lumi.54ef44100065d5b3
18,"12/27/2023, 08:44:33",0.3.85,119,lumi.54ef44100065d5b3
17,"12/27/2023, 08:44:53",0.3.85,122,lumi.54ef44100065d5b3
16,"12/27/2023, 09:00:38",0.3.85,142,lumi.54ef44100065d5b3
15,"12/27/2023, 09:08:18",0.3.85,168,lumi.54ef44100065d5b3
14,"12/27/2023, 09:24:01",0.3.85,198,lumi.54ef44100065d5b3
13,"12/27/2023, 09:26:41",0.3.85,234,lumi.54ef44100065d5b3
12,"12/27/2023, 09:39:50",0.3.85,265,lumi.54ef44100065d5b3
11,"12/27/2023, 09:56:01",0.3.85,276,lumi.54ef44100065d5b3
10,"12/27/2023, 10:07:00",0.3.85,223,lumi.54ef44100065d5b3
9,"12/27/2023, 10:07:20",0.3.85,188,lumi.54ef44100065d5b3
8,"12/27/2023, 10:07:35",0.3.85,237,lumi.54ef44100065d5b3
7,"12/27/2023, 10:08:35",0.3.85,281,lumi.54ef44100065d5b3
6,"12/27/2023, 10:17:14",0.3.85,232,lumi.54ef44100065d5b3
5,"12/27/2023, 10:18:14",0.3.85,286,lumi.54ef44100065d5b3
4,"12/27/2023, 10:26:08",0.3.85,232,lumi.54ef44100065d5b3
3,"12/27/2023, 10:26:18",0.3.85,276,lumi.54ef44100065d5b3
2,"12/27/2023, 10:34:47",0.3.85,283,lumi.54ef44100065d5b3
1,"12/27/2023, 10:55:58",0.3.85,233,lumi.54ef44100065d5b3
0,"12/27/2023, 11:29:45",0.3.85,210,lumi.54ef44100065d5b3
